Datum,SPD,Grüne
1998-11-13,44.0,7.0
1998-12-11,44.0,7.0
1999-01-22,44.0,6.0
1999-02-26,42.0,6.0
1999-03-19,41.0,5.0
1999-04-16,41.0,5.0
1999-05-21,40.0,5.0
1999-06-25,38.0,5.0
1999-07-23,38.0,5.0
1999-08-20,36.0,5.0
1999-09-24,34.0,5.0
1999-10-15,33.0,6.0
1999-11-12,33.0,5.0
1999-12-10,36.0,5.0
2000-01-21,39.0,6.0
2000-02-18,42.0,7.0
2000-03-17,43.0,6.0
2000-04-14,42.0,6.0
2000-05-19,40.0,6.0
2000-06-23,38.0,6.0
2000-07-28,40.0,5.0
2000-08-25,42.0,6.0
2000-09-22,40.0,6.0
2000-10-20,41.0,6.0
2000-11-17,41.0,6.0
2000-12-15,41.0,6.0
2001-01-19,41.0,6.0
2001-02-16,43.0,5.0
2001-03-16,42.0,6.0
2001-04-06,41.0,6.0
2001-05-18,41.0,5.0
2001-06-22,41.0,5.0
2001-07-20,41.0,5.0
2001-08-24,39.0,6.0
2001-09-14,40.0,5.0
2001-10-12,41.0,5.0
2001-11-16,41.0,5.0
2001-12-14,41.0,5.0
2002-01-11,39.0,5.0
2002-01-18,38.0,5.0
2002-02-08,39.0,4.0
2002-02-22,38.0,5.0
2002-03-08,37.0,5.0
2002-03-22,36.0,6.0
2002-04-12,36.0,6.0
2002-04-26,36.0,6.0
2002-05-10,36.0,6.0
2002-05-31,35.0,6.0
2002-06-14,35.0,7.0
2002-06-28,36.0,7.0
2002-07-12,37.0,6.0
2002-07-26,36.0,6.0
2002-08-09,36.0,6.0
2002-08-16,36.0,7.0
2002-08-23,38.0,7.0
2002-08-30,38.0,7.0
2002-09-06,38.0,7.0
2002-09-13,40.0,7.0
2002-10-18,38.0,8.0
