Datum,CDU,SPD
2005-11-25,37.0,34.0
2005-12-09,38.0,34.0
2006-01-13,39.0,33.0
2006-01-27,41.0,33.0
2006-02-17,41.0,32.0
2006-03-10,41.0,32.0
2006-04-07,41.0,32.0
2006-04-28,42.0,31.0
2006-05-19,41.0,32.0
2006-06-16,39.0,32.0
2006-07-14,37.0,31.0
2006-08-18,36.0,30.0
2006-09-01,36.0,30.0
2006-09-29,33.0,31.0
2006-10-13,33.0,32.0
2006-10-27,34.0,31.0
2006-11-10,35.0,31.0
2006-11-24,36.0,31.0
2006-12-15,37.0,31.0
2007-01-12,36.0,32.0
2007-02-09,37.0,30.0
2007-03-02,37.0,31.0
2007-03-16,37.0,32.0
2007-03-30,37.0,31.0
2007-04-20,37.0,32.0
2007-05-18,38.0,32.0
2007-06-01,39.0,31.0
2007-06-22,38.0,31.0
2007-07-20,40.0,29.0
2007-08-17,40.0,29.0
2007-09-14,40.0,29.0
2007-10-05,41.0,30.0
2007-10-19,40.0,31.0
2007-11-09,40.0,30.0
2007-11-23,40.0,31.0
2007-12-14,41.0,31.0
2008-01-11,42.0,30.0
2008-02-08,41.0,30.0
2008-02-29,40.0,30.0
2008-03-14,40.0,29.0
2008-04-04,39.0,28.0
2008-04-18,40.0,27.0
2008-05-09,40.0,27.0
2008-05-30,40.0,25.0
2008-06-13,39.0,26.0
2008-07-11,39.0,26.0
2008-08-15,40.0,25.0
2008-09-12,40.0,26.0
2008-10-10,38.0,25.0
2008-10-24,38.0,25.0
2008-11-07,40.0,25.0
2008-11-21,39.0,25.0
2008-12-12,39.0,26.0
2009-01-09,40.0,26.0
2009-01-30,37.0,26.0
2009-02-13,38.0,25.0
2009-03-06,37.0,24.0
2009-03-27,37.0,25.0
2009-04-24,37.0,26.0
2009-05-08,37.0,27.0
2009-05-29,36.0,28.0
2009-06-12,37.0,25.0
2009-07-03,36.0,25.0
2009-07-24,36.0,24.0
2009-08-07,36.0,23.0
2009-08-21,37.0,23.0
2009-08-28,37.0,23.0
2009-09-04,37.0,23.0
2009-09-11,36.0,23.0
2009-09-18,36.0,25.0
2009-10-02,35.0,22.0
2009-10-16,35.0,22.0
