Datum,SPD,Grüne,FDP
2021-12-10,28.0,17.0,12.0
2022-01-14,27.0,16.0,11.0
2022-01-28,24.0,18.0,10.0
2022-02-11,25.0,16.0,9.0
2022-02-24,26.0,17.0,9.0
2022-03-11,27.0,18.0,9.0
2022-04-08,27.0,19.0,8.0
2022-04-29,25.0,21.0,9.0
2022-05-20,22.0,24.0,7.0
2022-06-17,22.0,25.0,6.0
2022-07-01,21.0,25.0,6.0
2022-07-15,21.0,25.0,6.0
2022-08-12,19.0,26.0,7.0
2022-09-09,19.0,23.0,6.0
2022-09-30,18.0,22.0,7.0
2022-10-21,19.0,21.0,6.0
2022-11-11,19.0,22.0,5.0
2022-11-25,19.0,22.0,5.0
2022-12-16,20.0,20.0,6.0
2023-01-13,20.0,21.0,6.0
2023-01-27,21.0,19.0,6.0
2023-02-17,20.0,19.0,5.0
2023-03-03,21.0,18.0,5.0
2023-03-17,21.0,19.0,5.0
2023-03-31,19.0,17.0,7.0
2023-04-21,18.0,18.0,6.0
2023-05-05,19.0,17.0,6.0
2023-05-26,20.0,16.0,6.0
2023-06-16,19.0,16.0,6.0
2023-06-30,18.0,16.0,6.0
2023-07-14,17.0,16.0,7.0
2023-08-18,19.0,15.0,7.0
2023-09-15,17.0,16.0,6.0
2023-10-20,15.0,14.0,5.0
2023-11-10,16.0,15.0,5.0
2023-11-24,15.0,15.0,5.0
2023-12-15,14.0,14.0,5.0
2024-01-12,13.0,14.0,4.0
2024-02-02,15.0,13.0,4.0
2024-02-23,15.0,14.0,4.0
