"DATE TIME (UTC)","MMSI","LATITUDE","LONGITUDE","COURSE","SPEED","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","AISTYPE","A","B","C","D","DRAUGHT","DESTINATION","ETA"
"2024-01-01 00:02:34",425000004,12.74577,43.30452,334.1,12.1,333,0,9345221,"BAGHDAD","HNBD",80,105,24,11,9,8.4,"SUZE PORT","01-05 15:00"
"2024-01-01 00:02:51",563137700,12.69388,43.28125,157.0,15.4,156,0,9272981,"KOTA HANDAL","9V7329",70,132,27,8,17,5.0,"DJJIB","01-01 08:00"
"2024-01-01 00:12:05",566473000,12.75315,43.25763,156.5,13.2,155,0,9713624,"EPIC SULA","9V2736",80,101,19,17,4,4.8,"KHOR FAKKAN","01-05 18:00"
"2024-01-01 00:51:37",352002809,12.58780,43.35765,121.0,10.2,124,0,9346720,"KIRA K","3E5096",80,228,21,22,22,14.6,"ARMED GUARDS","01-06 18:00"
"2024-01-01 01:03:42",566473000,12.59035,43.34650,119.9,13.3,119,0,9713624,"EPIC SULA","9V2736",80,101,19,17,4,4.8,"KHOR FAKKAN","01-05 18:00"
"2024-01-01 01:10:29",636021618,12.60002,43.39563,298.4,13.0,298,0,9595931,"UNICORN","5LEV6",70,161,29,14,18,11.1,"ITALY","01-10 12:00"
"2024-01-01 01:10:44",209887000,12.61348,43.38366,297.2,8.3,299,0,9375276,"LEDRA DYNAMIC","5BHV6",90,7,30,7,4,0.0,"PORT SAID","01-07 15:00"
"2024-01-01 01:29:05",253665000,12.71692,43.26703,154.4,14.7,154,0,9810939,"BONNY RIVER","LXSI",70,19,140,15,15,5.9,"MVMLE - ARMED GUARDS","01-08 06:00"
"2024-01-01 02:00:39",253665000,12.60375,43.32738,146.7,14.5,145,0,9810939,"BONNY RIVER","LXSI",70,19,140,15,15,5.9,"MVMLE - ARMED GUARDS","01-08 06:00"
"2024-01-01 02:00:58",636021618,12.74573,43.30369,335.6,12.7,333,0,9595931,"UNICORN","5LEV6",70,161,29,14,18,11.1,"ITALY","01-10 12:00"
"2024-01-01 02:06:05",209887000,12.71277,43.31138,336.5,7.9,337,0,9375276,"LEDRA DYNAMIC","5BHV6",90,7,30,7,4,0.0,"PORT SAID","01-07 15:00"
"2024-01-01 02:10:03",566473000,12.57635,43.37086,121.1,13.3,119,0,9713624,"EPIC SULA","9V2736",80,101,19,17,4,4.8,"KHOR FAKKAN","01-05 18:00"
"2024-01-01 02:55:29",636016322,12.70880,43.27588,154.3,8.5,154,0,9221334,"ARCTURUS","D5FN9",70,205,20,2,30,13.0,"AE HAM","01-07 10:00"
"2024-01-01 03:01:37",636016322,12.69585,43.28221,154.3,8.4,154,0,9221334,"ARCTURUS","D5FN9",70,205,20,2,30,13.0,"AE HAM","01-07 10:00"
