"DATE TIME (UTC)","MMSI","LATITUDE","LONGITUDE","COURSE","SPEED","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","AISTYPE","A","B","C","D","DRAUGHT","DESTINATION","ETA"
"2022-10-23 00:00:27",311048300,12.68029,43.27876,149.2,14.3,147,0,9455715,"RCC PRESTIGE","C6YX4",70,21,147,4,24,7.7,"KR BUS","11-08 05:00"
"2022-10-23 00:01:02",621819039,12.60652,43.38242,299.8,10.4,297,0,7605691,"MARKAB","J2IW",99,0,0,0,0,3.5,"ARM GUARDS ONBOARD","10-21 07:00"
"2022-10-23 00:01:38",352001452,12.70902,43.27927,154.0,10.3,155,0,9321847,"EMILY S","3E2473",80,209,35,26,16,14.9,"NEW MANGALORE","10-30 00:01"
"2022-10-23 00:01:46",374248000,12.71513,43.28851,156.9,10.0,156,0,9749738,"BULK ELECTRA","3FAO5",70,169,30,24,12,12.6,"ARM GUARD ON BOARD","10-28 10:00"
"2022-10-23 00:03:12",511518000,12.72246,43.26042,150.6,7.4,154,0,9044061,"BEEK6","T8A2604",70,86,24,10,6,6.7,"DJIBOUTI","10-23 10:30"
"2022-10-23 00:32:40",373309000,12.75159,43.24729,157.6,11.2,154,0,9902081,"NORD MELBOURNE","3FQP7",70,153,26,8,21,10.1,"FUJAIRAH","10-28 07:00"
"2022-10-23 00:40:42",538006176,12.75624,43.25740,156.7,9.6,158,0,9338565,"MANTA HATICE","V7KN2",70,155,20,16,13,5.6,"ARMED GUARDS ONBOARD","10-26 18:00"
"2022-10-23 01:00:04",511518000,12.61948,43.31596,123.4,7.5,127,0,9044061,"BEEK6","T8A2604",70,86,24,10,6,6.7,"DJIBOUTI","10-23 10:30"
"2022-10-23 01:00:11",352001452,12.56880,43.36475,118.0,10.0,120,0,9321847,"EMILY S","3E2473",80,209,35,26,16,14.9,"NEW MANGALORE","10-30 00:01"
"2022-10-23 01:01:03",373309000,12.67210,43.28489,150.9,11.1,146,0,9902081,"NORD MELBOURNE","3FQP7",70,153,26,8,21,10.1,"FUJAIRAH","10-28 07:00"
"2022-10-23 01:05:11",538006176,12.69580,43.28169,161.1,9.2,157,0,9338565,"MANTA HATICE","V7KN2",70,155,20,16,13,5.6,"ARMED GUARDS ONBOARD","10-26 18:00"
"2022-10-23 01:05:37",621819039,12.77135,43.28420,335.8,11.4,332,0,7605691,"MARKAB","J2IW",99,0,0,0,0,3.5,"ARM GUARDS ONBOARD","10-21 07:00"
"2022-10-23 01:18:15",538009384,12.75255,43.26065,151.7,9.7,155,0,9446441,"PATRIOTSHIP","V7A4666",70,254,38,28,17,16.5,"POHANG","11-14 09:00"
"2022-10-23 01:28:19",563078300,12.61458,43.39310,298.6,14.6,298,0,9848950,"MAERSK HOUSTON","9V3092",70,115,238,27,27,16.0,"SGSIN > EGSUZ","10-26 18:00"
"2022-10-23 01:34:57",636018564,12.62186,43.35994,301.4,20.7,303,0,9679892,"CMA CGM CONGO","D5QG7",71,228,72,18,30,13.5,"JEDDAH SAJED","10-24 11:00"
"2022-10-23 01:50:49",563049900,12.60839,43.39784,300.0,21.5,300,0,9699189,"SAN CLEMENTE","9V9091",71,225,75,16,32,11.6,"OMSLL>>EGSUC","10-25 21:00"
"2022-10-23 02:02:15",636018564,12.76000,43.29667,337.0,20.0,511,0,9679892,"CMA CGM CONGO","D5QG7",71,228,72,18,30,13.5,"JEDDAH SAJED","10-24 11:00"
"2022-10-23 02:02:22",538008370,12.61333,43.38167,300.0,13.0,511,0,9308833,"LOVINA","V7A2286",89,213,31,19,23,8.2,"SUEZ","10-27 08:00"
"2022-10-23 02:03:03",563078300,12.72827,43.31280,335.7,14.2,339,0,9848950,"MAERSK HOUSTON","9V3092",70,115,238,27,27,16.0,"SGSIN > EGSUZ","10-26 18:00"
"2022-10-23 02:05:40",538009384,12.63514,43.30758,155.8,9.6,152,0,9446441,"PATRIOTSHIP","V7A4666",70,254,38,28,17,16.5,"POHANG","11-14 09:00"
"2022-10-23 02:06:21",563049900,12.67188,43.33016,339.3,21.9,340,0,9699189,"SAN CLEMENTE","9V9091",71,225,75,16,32,11.6,"OMSLL>>EGSUC","10-25 21:00"
"2022-10-23 02:08:24",477098400,12.61577,43.39090,299.7,14.1,298,0,9612131,"AFRICAN VENTURE","VRKG3",70,155,25,23,7,9.8,"ARM GUARD ONBOARD","10-27 10:00"
"2022-10-23 03:02:55",372506000,12.73623,43.26263,156.0,8.6,155,0,9304370,"TAI HONESTY","3EJF9",70,164,26,16,16,12.0,"ARMED GUARD ONBOARD","10-28 12:00"
"2022-10-23 03:15:11",218350000,12.61001,43.39097,304.9,19.3,304,0,9450428,"NAGOYA EXPRESS","DGWD2",71,243,92,16,26,13.8,"INMUN >SAJED","10-24 06:00"
"2022-10-23 03:23:31",624016000,12.76139,43.25637,156.7,5.8,156,0,9617375,"FINFINE","ETFN",70,150,16,10,17,9.4,"DJIBOUTI","10-23 18:30"
"2022-10-23 03:34:53",511100597,12.62680,43.36911,307.1,16.0,301,0,9044011,"HAJ MOHAMMED","T8A3766",70,131,26,15,10,5.8,"ALADABIYA","10-27 20:30"
"2022-10-23 03:55:16",353428000,12.73680,43.27458,157.4,11.7,154,0,9467407,"MSC LAUREN","3FZR5",73,146,220,32,16,16.8," COLOMBO","10-29 18:35"
"2022-10-23 04:01:08",511100597,12.73148,43.31305,333.0,16.1,324,0,9044011,"HAJ MOHAMMED","T8A3766",70,131,26,15,10,5.8,"ALADABIYA","10-27 20:30"
"2022-10-23 04:01:36",624016000,12.70094,43.27927,157.9,6.3,157,0,9617375,"FINFINE","ETFN",70,150,16,10,17,9.4,"DJIBOUTI","10-23 18:30"
"2022-10-23 04:02:49",372506000,12.60673,43.32948,121.0,8.6,125,0,9304370,"TAI HONESTY","3EJF9",70,164,26,16,16,12.0,"ARMED GUARD ONBOARD","10-28 12:00"
"2022-10-23 04:03:33",374829000,12.75235,43.25921,160.8,8.5,156,0,9761700,"WANG DA","3EFG3",70,150,30,14,16,9.9,"SINGAPORE PEBGA","11-05 08:00"
"2022-10-23 04:15:28",353428000,12.66907,43.30440,157.6,13.7,154,0,9467407,"MSC LAUREN","3FZR5",73,146,220,32,16,16.8," COLOMBO","10-29 18:35"
"2022-10-23 04:24:52",366102000,12.76385,43.26252,156.2,13.5,153,0,9448425,"LIBERTY PROMISE","WWMZ",72,37,163,18,14,8.6,"AE JEA","10-27 11:00"
"2022-10-23 04:27:12",636015928,12.71983,43.26767,154.0,8.9,154,0,9416408,"TENACITY","D5DN7",81,150,32,13,19,11.5,"ARMED GUARD ONBOARD","10-23 09:00"
"2022-10-23 04:44:03",636019291,12.74079,43.25811,154.3,8.2,152,0,9728801,"CL ZHENJIANG","D5TV5",70,196,32,12,20,13.8,"ARMED GUARD ONBOARD","11-06 10:00"
"2022-10-23 05:00:07",636015928,12.64667,43.30200,155.0,8.5,152,0,9416408,"TENACITY","D5DN7",81,150,32,13,19,11.5,"ARMED GUARD ONBOARD","10-23 09:00"
"2022-10-23 05:01:36",636019291,12.70407,43.27606,156.0,8.4,153,0,9728801,"CL ZHENJIANG","D5TV5",70,196,32,12,20,13.8,"ARMED GUARD ONBOARD","11-06 10:00"
"2022-10-23 05:05:41",636092155,12.61416,43.38991,299.6,13.7,302,0,9540869,"PHILIPP OLDENDORFF","A8XR4",70,218,36,16,27,14.2,"ARM GAURDS ONBOARDS","10-28 04:00"
"2022-10-23 05:10:23",624016000,12.59112,43.32695,144.0,6.3,138,0,9617375,"FINFINE","ETFN",70,150,16,10,17,9.4,"DJIBOUTI","10-23 18:30"
"2022-10-23 05:10:23",366102000,12.61116,43.33642,119.1,13.0,122,0,9448425,"LIBERTY PROMISE","WWMZ",72,37,163,18,14,8.6,"AE JEA","10-27 11:00"
"2022-10-23 05:21:54",374829000,12.59121,43.35099,118.1,8.8,121,0,9761700,"WANG DA","3EFG3",70,150,30,14,16,9.9,"SINGAPORE PEBGA","11-05 08:00"
"2022-10-23 06:05:58",636019291,12.58849,43.35648,119.2,8.3,121,0,9728801,"CL ZHENJIANG","D5TV5",70,196,32,12,20,13.8,"ARMED GUARD ONBOARD","11-06 10:00"
"2022-10-23 06:30:10",538009124,12.62199,43.37124,304.5,14.4,303,0,9597642,"ACACIA","V7A4349",70,155,25,20,9,9.9,"ARMED GUARDS ONBOARD","10-27 18:00"
"2022-10-23 06:36:02",636021271,12.64747,43.35998,322.3,18.3,325,0,9708825," AL DAHNA EXPRESS","5LDC8",71,158,242,19,40,15.6,"SGSIN>EGSCN","10-26 17:17"
"2022-10-23 06:58:15",241351000,12.74733,43.24556,151.3,16.5,151,0,9627502,"MARAN GAS LINDOS","SVCB7",80,233,61,23,21,9.5,"FOR ORDERS","10-28 00:01"
"2022-10-23 07:00:31",538009124,12.72882,43.30696,336.5,15.2,339,0,9597642,"ACACIA","V7A4349",70,155,25,20,9,9.9,"ARMED GUARDS ONBOARD","10-27 18:00"
"2022-10-23 07:01:44",636021271,12.76615,43.29705,333.4,18.9,333,0,9708825," AL DAHNA EXPRESS","5LDC8",71,158,242,19,40,15.6,"SGSIN>EGSCN","10-26 17:17"
"2022-10-23 07:03:15",405000200,12.75078,43.25910,155.0,8.1,155,0,9339454,"AKIJ HERITAGE","S2AC5",70,95,95,16,16,11.2,"BD CGP","11-04 12:00"
"2022-10-23 07:04:24",241351000,12.72256,43.25955,151.3,16.4,151,0,9627502,"MARAN GAS LINDOS","SVCB7",80,233,61,23,21,9.5,"FOR ORDERS","10-28 00:01"
"2022-10-23 08:05:28",405000200,12.62243,43.32180,152.0,8.6,149,0,9339454,"AKIJ HERITAGE","S2AC5",70,95,95,16,16,11.2,"BD CGP","11-04 12:00"
"2022-10-23 08:09:07",305147000,12.61364,43.40848,299.3,13.2,300,0,9499735,"ENZIAN","V2QY9",70,95,16,8,9,4.2,"SUEZ","10-28 11:00"
"2022-10-23 09:05:18",370355000,12.60793,43.40619,299.3,17.1,301,0,9385685,"GAS ALKHALEEJ","3ESM3",80,182,43,13,23,7.5,"ARMED GUARDS ON BRD","10-24 03:00"
