"DATE TIME (UTC)","MMSI","LATITUDE","LONGITUDE","COURSE","SPEED","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","AISTYPE","A","B","C","D","DRAUGHT","DESTINATION","ETA"
"2023-03-24 00:01:34",371686000,12.63683,43.35909,320.6,12.1,326,0,9267962,"GAS ZEUS","3FIQ9",80,100,20,10,10,7.2,"SUEZ CANAL","03-27 10:00"
"2023-03-24 01:25:07",414550000,12.61900,43.37486,301.8,13.1,303,0,9331749,"KUAI BANG HAI 16","BOSS3",75,160,30,13,19,11.0,"SUDAN","03-26 02:00"
"2023-03-24 01:25:32",341681000,12.63365,43.36387,306.0,12.4,313,0,9332810,"ODYSSEUS","V4WF4",89,207,37,26,16,8.0,"ARMGUARD_ONBOARD","03-28 10:00"
"2023-03-24 01:25:47",352001758,12.61313,43.40562,305.9,12.9,307,0,9308065,"CHARVI","3E2594",80,210,64,18,30,9.0,"EGPSD>INSIK","03-27 20:00"
"2023-03-24 01:35:06",374932000,12.76065,43.25481,154.9,10.7,155,0,9230426,"PRINCESS KHADIJA","H9HR",80,156,26,14,14,7.5,"AE SHJ","03-30 01:00"
"2023-03-24 01:53:36",319020000,12.60497,43.41365,298.5,12.9,298,0,1007469,"LIGHTNING","ZCOA4",37,13,39,5,4,3.2,"ARMED SECURITY ON","03-28 06:00"
"2023-03-24 02:00:58",341681000,12.73392,43.30853,335.0,11.6,337,0,9332810,"ODYSSEUS","V4WF4",89,207,37,26,16,8.0,"ARMGUARD_ONBOARD","03-28 10:00"
"2023-03-24 02:01:03",319020000,12.61785,43.39010,299.5,12.5,300,0,1007469,"LIGHTNING","ZCOA4",37,13,39,5,4,3.2,"ARMED SECURITY ON","03-28 06:00"
"2023-03-24 02:02:49",352001758,12.71757,43.32558,337.3,11.0,340,0,9308065,"CHARVI","3E2594",80,210,64,18,30,9.0,"EGPSD>INSIK","03-27 20:00"
"2023-03-24 02:03:12",374932000,12.68232,43.29026,156.8,10.9,155,0,9230426,"PRINCESS KHADIJA","H9HR",80,156,26,14,14,7.5,"AE SHJ","03-30 01:00"
"2023-03-24 02:04:05",341821000,12.60932,43.39255,298.0,13.1,300,0,9332834,"WISDOMS DAUGHTER","V4YU4",89,203,41,27,15,8.0,"EGSUZ","03-28 11:30"
"2023-03-24 02:10:25",414550000,12.74822,43.30214,346.0,10.8,344,0,9331749,"KUAI BANG HAI 16","BOSS3",75,160,30,13,19,11.0,"SUDAN","03-26 02:00"
"2023-03-24 03:26:33",636018264,12.60757,43.40420,301.0,13.3,300,0,9198288,"YM COSMOS","D5OX7",73,0,0,0,0,13.8,"SAJED","03-25 15:00"
"2023-03-24 03:46:12",563710000,12.61791,43.38047,285.2,16.8,288,0,9372810,"POLARIS LEADER","9VHC5",70,20,160,20,12,8.8,"SA JED","03-25 16:00"
"2023-03-24 04:05:47",563710000,12.68835,43.33739,344.8,16.4,343,0,9372810,"POLARIS LEADER","9VHC5",70,20,160,20,12,8.8,"SA JED","03-25 16:00"
"2023-03-24 04:11:18",636018264,12.71547,43.31358,336.0,11.9,337,0,9198288,"YM COSMOS","D5OX7",73,0,0,0,0,13.8,"SAJED","03-25 15:00"
"2023-03-24 04:21:07",352002456,12.61581,43.39590,302.1,13.6,299,0,9411331,"CANKIRI","3E4108",80,231,43,32,16,9.4,"GUARD ON BOARD","04-14 16:00"
"2023-03-24 04:30:26",636022116,12.61411,43.40731,296.6,15.0,292,0,9196852,"MSC ALMA VII","5LHG5",70,211,93,20,20,13.8,"EGSUZ","03-27 23:30"
"2023-03-24 04:37:57",311025400,12.61764,43.38929,298.0,12.4,297,0,9445708,"SOPHIA Z","C6XX8",70,162,28,13,19,9.0,"ARMEDGUARDS ONBOARD","03-28 10:00"
"2023-03-24 04:39:27",636021886,12.60685,43.39145,298.7,16.1,296,0,9343388,"TOSA","5LGE3",89,281,52,30,30,10.7,"EGSUZ","03-27 09:00"
"2023-03-24 05:00:57",352002456,12.72432,43.31736,334.7,12.7,337,0,9411331,"CANKIRI","3E4108",80,231,43,32,16,9.4,"GUARD ON BOARD","04-14 16:00"
"2023-03-24 05:01:16",636021886,12.66854,43.32896,341.7,15.0,341,0,9343388,"TOSA","5LGE3",89,281,52,30,30,10.7,"EGSUZ","03-27 09:00"
"2023-03-24 05:01:21",636022116,12.69459,43.32015,332.7,14.2,333,0,9196852,"MSC ALMA VII","5LHG5",70,211,93,20,20,13.8,"EGSUZ","03-27 23:30"
"2023-03-24 05:05:54",636014481,12.75065,43.25825,154.0,11.8,157,0,9489302,"CAPE ALEXANDROS","A8UF2",70,250,42,18,27,18.0,"SGSIN ARMED GUARD","04-07 08:00"
"2023-03-24 05:06:14",311025400,12.68546,43.33202,334.0,11.7,337,0,9445708,"SOPHIA Z","C6XX8",70,162,28,13,19,9.0,"ARMEDGUARDS ONBOARD","03-28 10:00"
"2023-03-24 05:18:02",636092887,12.74397,43.25388,157.0,19.8,157,0,9222273,"PARIS II","D5SI7",79,226,74,30,10,9.3,"EGSUZ-CNYTN","04-05 05:00"
"2023-03-24 05:31:42",538003630,12.60407,43.41042,296.0,13.1,295,0,9439357,"OWL 5","V7SE2",80,107,21,10,10,7.0,"YANBU","03-26 19:00"
"2023-03-24 05:46:28",271040254,12.73717,43.27000,155.0,12.1,157,8,9364825,"IDC DIAMOND","TCXJ3",70,163,27,23,10,12.5,"ARMED GUARD ONBOARD","04-04 05:00"
"2023-03-24 06:01:37",271040254,12.69050,43.29083,157.0,12.1,158,8,9364825,"IDC DIAMOND","TCXJ3",70,163,27,23,10,12.5,"ARMED GUARD ONBOARD","04-04 05:00"
"2023-03-24 06:04:52",538003630,12.68108,43.33543,337.0,12.6,341,0,9439357,"OWL 5","V7SE2",80,107,21,10,10,7.0,"YANBU","03-26 19:00"
"2023-03-24 06:06:25",636014481,12.58688,43.37017,122.0,12.2,119,0,9489302,"CAPE ALEXANDROS","A8UF2",70,250,42,18,27,18.0,"SGSIN ARMED GUARD","04-07 08:00"
"2023-03-24 06:08:19",538009223,12.74479,43.26858,155.2,10.6,156,0,9362982,"LENI","V7A4474",70,201,24,14,18,13.0,"OMSLL","03-27 01:00"
"2023-03-24 06:56:23",620980000,12.61947,43.39986,301.7,9.5,321,0,7113375,"SOPHIA","D6A2988",70,62,20,5,7,5.1,"SUEZ","03-30 14:00"
"2023-03-24 07:03:55",620980000,12.63132,43.38262,308.9,9.8,328,0,7113375,"SOPHIA","D6A2988",70,62,20,5,7,5.1,"SUEZ","03-30 14:00"
"2023-03-24 07:07:52",413125000,12.75022,43.23164,155.6,18.0,156,0,9304801,"XIN YAN TAI","BPBF",71,188,92,22,18,13.0,"JEBEL ALI","03-27 23:00"
