person_title,country_title,YEAR,duration,endyear,linestr
Roosevelt Skerrit,Dominica,2004,20,2024-01-01,"2004-01-01,0,2024-01-01,20 @opacity:0.5 @color:#09bb9f"
Hsien Loong Lee,Singapore,2004,20,2024-01-01,"2004-01-01,0,2024-01-01,20 @opacity:0.5 @color:#09bb9f"
Recep Tayyip Erdogan,Turkey,2003,21,2024-01-01,"2003-01-01,0,2024-01-01,21 @opacity:0.5 @color:#09bb9f"
Shavkat Mirziyoyev,Uzbekistan,2003,21,2024-01-01,"2003-01-01,0,2024-01-01,21 @opacity:0.5 @color:#09bb9f"
Ilham Aliyev,Azerbaijan,2003,21,2024-01-01,"2003-01-01,0,2024-01-01,21 @opacity:0.5 @color:#09bb9f"
Ralph Gonsalves,Saint Vincent and the Grenadines,2001,23,2024-01-01,"2001-01-01,0,2024-01-01,23 @opacity:0.5 @color:#09bb9f"
Bashar al-Assad,Syria (Syrian Arab Republic),2000,24,2024-01-01,"2000-01-01,0,2024-01-01,24 @opacity:0.5 @color:#09bb9f"
Paul Kagame,Rwanda,2000,24,2024-01-01,"2000-01-01,0,2024-01-01,24 @opacity:0.5 @color:#09bb9f"
Vladimir Vladimirovich Putin,Russian Federation,1999,25,2024-01-01,"1999-01-01,0,2024-01-01,25 @opacity:0.5 @color:#09bb9f"
Ismail Omar Guelleh,Djibouti,1999,25,2024-01-01,"1999-01-01,0,2024-01-01,25 @opacity:0.5 @color:#09bb9f"
Denis Sassou Nguesso,Congo,1997,27,2024-01-01,"1997-01-01,0,2024-01-01,27 @opacity:0.5 @color:#09bb9f"
Alexander Lukashenko,Belarus,1994,30,2024-01-01,"1994-01-01,0,2024-01-01,30 @opacity:0.5 @color:#09bb9f"
Emomali Rahmon,Tajikistan,1992,32,2024-01-01,"1992-01-01,0,2024-01-01,32 @opacity:0.5 @color:#09bb9f"
Isaias Afwerki,Eritrea,1991,33,2024-01-01,"1991-01-01,0,2024-01-01,33 @opacity:0.5 @color:#09bb9f"
Yoweri Kaguta Museveni,Uganda,1986,38,2024-01-01,"1986-01-01,0,2024-01-01,38 @opacity:0.5 @color:#09bb9f"
Ayatollah Seyyed Ali Hoseyni Khamenei,"Iran, Islamic Republic of",1981,43,2024-01-01,"1981-01-01,0,2024-01-01,43 @opacity:0.5 @color:#09bb9f"
Teodoro Obiang Nguema Mbasogo,Equatorial Guinea,1979,45,2024-01-01,"1979-01-01,0,2024-01-01,45 @opacity:0.5 @color:#09bb9f"
Paul Biya,Cameroon,1975,49,2024-01-01,"1975-01-01,0,2024-01-01,49 @opacity:0.5 @color:#09bb9f"
