Survey Edition,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,person_title,country_title,YEAR,duration,endyear,linestr,EnglishName
Cameroon,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Paul Biya,Kamerun,1975,49,2024-01-01,"1975-01-01,0,2024-01-01,49 @opacity:0.5 @color:#66bfa2",Cameroon
Equatorial Guinea,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Teodoro Obiang Nguema Mbasogo,Äquatorial Guinea,1979,45,2024-01-01,"1979-01-01,0,2024-01-01,45 @opacity:0.5 @color:#66bfa2",Equatorial Guinea
Iran,5,6,6,6,5,5,5,6,6,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,Ayatollah Seyyed Ali Hoseyni Khamenei,Iran,1981,43,2024-01-01,"1981-01-01,0,2024-01-01,43 @opacity:0.5 @color:#66bfa2",Iran
Uganda,7,7,7,7,7,6,4,5,4,4,5,5,5,5,6,6,6,6,6,5,5,4,4,4,5,5,6,6,6,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,Yoweri Kaguta Museveni,Uganda,1986,38,2024-01-01,"1986-01-01,0,2024-01-01,38 @opacity:0.5 @color:#66bfa2",Uganda
Eritrea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Isaias Afwerki,Eritrea,1991,33,2024-01-01,"1991-01-01,0,2024-01-01,33 @opacity:0.5 @color:#66bfa2",Eritrea
Tajikistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,6,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,Emomali Rahmon,Tadschikistan,1992,32,2024-01-01,"1992-01-01,0,2024-01-01,32 @opacity:0.5 @color:#66bfa2",Tajikistan
Belarus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,5,4,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,Alexander Lukashenko,Belarus,1994,30,2024-01-01,"1994-01-01,0,2024-01-01,30 @opacity:0.5 @color:#66bfa2",Belarus
Congo (Brazzaville),5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,6,6,3,3,4,4,4,7,7,6,6,6,5,6,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,Denis Sassou Nguesso,Kongo,1997,27,2024-01-01,"1997-01-01,0,2024-01-01,27 @opacity:0.5 @color:#66bfa2",Congo (Brazzaville)
Djibouti,-,-,-,3,3,3,3,5,5,5,6,6,6,6,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,7,7,7,Ismail Omar Guelleh,Djibouti,1999,25,2024-01-01,"1999-01-01,0,2024-01-01,25 @opacity:0.5 @color:#66bfa2",Djibouti
Russia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,Vladimir Vladimirovich Putin,Russland,1999,25,2024-01-01,"1999-01-01,0,2024-01-01,25 @opacity:0.5 @color:#66bfa2",Russia
Rwanda,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Paul Kagame,Ruanda,2000,24,2024-01-01,"2000-01-01,0,2024-01-01,24 @opacity:0.5 @color:#66bfa2",Rwanda
Syria,6,6,6,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Bashar al-Assad,Syrien,2000,24,2024-01-01,"2000-01-01,0,2024-01-01,24 @opacity:0.5 @color:#66bfa2",Syria
St. Vincent and the Grenadines,-,-,-,-,-,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,Ralph Gonsalves,Saint Vincent und Grenadinen,2001,23,2024-01-01,"2001-01-01,0,2024-01-01,23 @opacity:0.5 @color:#66bfa2",St. Vincent and the Grenadines
Azerbaijan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,Ilham Aliyev,Azerbaidschan,2003,21,2024-01-01,"2003-01-01,0,2024-01-01,21 @opacity:0.5 @color:#66bfa2",Azerbaijan
Uzbekistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Shavkat Mirziyoyev,Uzbekistan,2003,21,2024-01-01,"2003-01-01,0,2024-01-01,21 @opacity:0.5 @color:#66bfa2",Uzbekistan
Turkey,2,2,2,2,2,2,5,5,4,3,3,3,2,2,3,2,2,2,4,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,Recep Tayyip Erdogan,Türkei,2003,21,2024-01-01,"2003-01-01,0,2024-01-01,21 @opacity:0.5 @color:#66bfa2",Turkey
Singapore,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,Hsien Loong Lee,Singapur,2004,20,2024-01-01,"2004-01-01,0,2024-01-01,20 @opacity:0.5 @color:#66bfa2",Singapore
Dominica,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Roosevelt Skerrit,Dominica,2004,20,2024-01-01,"2004-01-01,0,2024-01-01,20 @opacity:0.5 @color:#66bfa2",Dominica
