Survey Edition,Cameroon,Equatorial Guinea,Iran,Uganda,Eritrea,Tajikistan,Belarus,Congo (Brazzaville),Djibouti,Russia,Rwanda,Syria,St. Vincent and the Grenadines,Azerbaijan,Uzbekistan,Turkey,Singapore,Dominica
1975,6,,,,,,,,,,,,,,,,,
1976,6,,,,,,,,,,,,,,,,,
1977,7,,,,,,,,,,,,,,,,,
1978,6,,,,,,,,,,,,,,,,,
1979,6,7,,,,,,,,,,,,,,,,
1980,6,7,,,,,,,,,,,,,,,,
1981,6,7,5,,,,,,,,,,,,,,,
1982,6,7,6,,,,,,,,,,,,,,,
1983,6,7,6,,,,,,,,,,,,,,,
1984,6,7,5,,,,,,,,,,,,,,,
1985,6,7,5,,,,,,,,,,,,,,,
1986,6,7,5,5,,,,,,,,,,,,,,
1987,6,7,5,5,,,,,,,,,,,,,,
1988,6,7,5,5,,,,,,,,,,,,,,
1989,6,7,6,6,,,,,,,,,,,,,,
1990,6,7,6,6,,,,,,,,,,,,,,
1991,6,7,6,6,,,,,,,,,,,,,,
1992,6,7,6,6,6,6,,,,,,,,,,,,
1993,6,7,6,6,6,7,,,,,,,,,,,,
1994,6,7,6,5,6,7,4,,,,,,,,,,,
1995,7,7,6,5,6,7,5,,,,,,,,,,,
1996,7,7,6,4,6,7,6,,,,,,,,,,,
1997,7,7,6,4,6,6,6,7,,,,,,,,,,
1998,7,7,6,4,6,6,6,7,,,,,,,,,,
1999,7,7,6,5,7,6,6,6,4,4,,,,,,,,
2000,7,7,6,5,7,6,6,6,4,4,7,7,,,,,,
2001,7,7,6,6,7,6,6,6,4,5,7,7,2,,,,,
2002,6,6,6,6,7,6,6,5,4,5,7,7,2,,,,,
2003,6,7,6,6,7,6,6,6,4,5,7,7,2,6,7,3,,
2004,6,7,6,5,7,6,6,5,5,5,6,7,2,6,7,3,5,1
2005,6,7,6,5,7,6,7,5,5,6,6,7,2,6,7,3,5,1
2006,6,7,6,5,7,6,7,5,5,6,6,7,2,6,7,3,5,1
2007,6,7,6,5,7,6,7,6,5,6,6,7,2,6,7,3,5,1
2008,6,7,6,5,7,6,7,6,5,6,6,7,2,6,7,3,5,1
2009,6,7,6,5,7,6,7,6,5,6,6,7,2,6,7,3,5,1
2010,6,7,6,5,7,6,7,6,5,6,6,7,2,6,7,3,5,1
2011,6,7,6,5,7,6,7,6,6,6,6,7,1,6,7,3,5,1
2012,6,7,6,5,7,6,7,6,6,6,6,7,1,6,7,3,4,1
2013,6,7,6,5,7,6,7,6,6,6,6,7,1,6,7,3,4,1
2014,6,7,6,6,7,6,7,6,6,6,6,7,1,6,7,3,4,1
2015,6,7,6,6,7,6,7,6,6,6,6,7,1,6,7,3,4,1
2016,6,7,6,6,7,7,7,6,6,6,6,7,1,7,7,3,4,1
2017,6,7,6,6,7,7,7,7,6,7,6,7,1,7,7,4,4,1
2018,6,7,6,6,7,7,6,7,6,7,6,7,1,7,7,5,4,1
2019,6,7,6,6,7,7,7,7,6,7,6,7,1,7,7,5,4,1
2020,6,7,6,6,7,7,7,7,7,7,6,7,1,7,7,5,4,1
2021,6,7,6,6,7,7,7,7,7,7,6,7,1,7,7,5,4,1
2022,6,7,7,6,7,7,7,7,7,7,6,7,1,7,7,5,4,1
