person_nid,person_title,person_round,person_house,country_nid,country_title,person_firstname,person_lastname,person_firstname_local,person_lastname_local,person_bday,person_gender,person_born_abroad,person_birthplace,person_birthcountry,person_marital_stat,person_numchild,person_occupation_1,person_occupation_2,person_occupation_3,person_family_clan_link,person_family_clan_name,person_family_clan_nam_rel,person_lang_native_nid,person_lang_native_title,person_lang_native_rel,person_lang_native_other,person_lang_spoken_nid,person_lang_spoken_title,person_lang_spoken_other,person_lang_english,person_lang_french,person_lang_arabic,person_lang_spanish,person_lang_chinese,person_lang_german,person_lang_russian,person_lang_portuguese,person_lang_other,person_lang_all_count,person_unv_name_1,person_unv_name_2,person_unv_name_3,person_ug_major_all,person_ug_major_1,person_ug_major_2,person_ug_major_3,person_education,person_college_country,person_abroad,person_eduwest,person_course_of_study,person_notes,person_aff_party_nid,person_aff_party,person_party_aff_nonpartisan,person_party_aff_power,person_party_aff_position,prsn_prty_aff_position_local,prsn_prty_aff_coalition_differ,person_party_aff_pol_exp,person_office_type_1,person_office_position_1,person_office_minposarea_1,person_office_minposarea_lo,person_office_service_began_1,prsn_office_srvc_bgn_cabi_1,person_office_terms_1,person_office_pm_participate_1,person_office_howmanydays_1,prsn_office_hwmnydys_miss_1,prsn_office_cnsttncy_nid_1,prsn_office_cnsttncy_title_1,person_office_type_2,person_office_position_2,person_office_minposarea_2,person_office_service_began_2,prsn_office_srvc_bgn_cabi_2,person_office_terms_2,person_office_pm_participate_2,person_office_howmanydays_2,prsn_office_hwmnydys_miss_2,prsn_office_cnsttncy_nid__2,prsn_office_cnsttncy_title_2,person_office_type_3,person_office_position_3,person_office_minposarea_3,person_office_service_began_3,prsn_office_srvc_bgn_cabi_3,person_office_terms_3,person_office_pm_participate_3,person_office_howmanydays_3,prsn_office_hwmnydys_miss_3,prsn_office_cnsttncy_nid_3,prsn_office_cnsttncy_title_3,terms,startReign
43552,Mwai Kibaki,1,,29323,Kenya,Mwai,Kibaki,,,1931-01-01,Male,0.0,"Nyeri, Kenya",,Married,4.0,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,,,73842,Kikuyu; Gikuyu,,,"73907,73844",English|Swahili,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,,,,economics / business / management,economics / business / management,,,Post-graduate (anything except Ph.D. degree),,1.0,1.0,Economics and Political Science,,44636,Party of National Unity (PNU),No,Top ten,Party Leader,Party Leader,No,Previous Minister,Executive,President,,,2002-01-01,,42,,,,0,,Member of Parliament,,,,,7,,,,0,,,,,,,0,,,,0,,42,2002-01-01
69105,Nicolas Sarkozy,1,,69010,France,Nicolas,Sarkozy,,,1955-01-01,Male,0.0,Paris,,Married,3.0,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,Bruni,,,,Assumed,,,,,,,,,,,,,,0,,,,social sciences|law,social sciences,law,,Post-graduate (anything except Ph.D. degree),,0.0,1.0,"Law School, Political Science",,69060,The Republicans,No,Apex,,,,Political advisor,Executive,President of the French Republic,,,2007-01-01,,10,,,,0,,,,,,,0,,,,0,,,,,,,0,,,,0,,10,2007-01-01
79309,Raimundo Pereira,1,,78014,Guinea-Bissau,Raimundo,Pereira,,,1956-08-28,Male,0.0,,,Married,5.0,"Self-employed: professional (accountant, architect, lawyer, medical doctor etc.)",,,,,,,Creole,Uncertain,Creole,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,,,,law,law,,,University / college,,1.0,1.0,,,79311,African Party for the Independence of Guinea and Cape Verde,No,Top ten,Member of Bureau Politique,,No,Previous Minister,Executive,Interim President of Guinea Bissau,,,2011-01-01,,10,,,,0,,,,,,,0,,,,0,,,,,,,0,,,,0,,10,2011-01-01
24373,Dalia Grybauskaite,"1,2",,22424,Lithuania,Dalia,Grybauskaite,,,1956-01-01,Female,0.0,Vilnius,Lithuania,Single,0.0,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",International organization top management,International organization other,,,,23126,Lithuanian,,,"24811,24810",Polish|Russian,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3,,,,economics / business / management,economics / business / management,,,Ph.D.,,1.0,1.0,Ph. D. in Economics,"President of Lithuania since 2009. 	In 2014 re-elected for the second term. 
Assumed religion - while references of her attending church, no reliable statement, therefore assumed
Source: 
https://www.lrp.lt/lt/dalia-grybauskaite",0,,No,Top ten,,,,Previous Minister,Executive,President of Lithuania,,,2014-01-01,,1,,,,0,,Executive,President ,,2009-01-01,,5,,,,0,,,,,,,0,,,,0,,5,2009-01-01
24260,Benjamin Netanyahu,"1,2",,24175,Israel,Benjamin,Netanyahu,,,1949-01-01,Male,,"Tel Aviv, Israel",,Married,3.0,"Self-employed: professional (accountant, architect, lawyer, medical doctor etc.)",,,,,,24379,Hebrew|Hebrew,,Hebrew,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,,,,economics / business / management,economics / business / management,,,Post-graduate (anything except Ph.D. degree),,1.0,1.0,"M.Sc., Business Management, Massachusetts Institute of Technology",,24380,Likud,No,Apex,Leader,Yoshev Rosh,No,Previous Minister,Executive,Prime Minister,economy,Estrategiya Kalkalit|Inyanei Gimlaim,2009-01-01,,5,,,,254913,israel,Member of Parliament,,other,1988-01-01,,8,,,,254913,israel,"Cabinet, Minister",,,2009-01-01,,5,,,,0,,5,2009-01-01
69305,François Fillon,1,,69010,France,François,Fillon,,,1954-01-01,Male,0.0,Le Mans,,Married,5.0,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,,,,69087,French,,,69087,French,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,,,,law,law,,,Post-graduate (anything except Ph.D. degree),,0.0,1.0,,,69060,The Republicans,No,Apex,,,,Political advisor,Executive,Prime Minister,,,2007-01-01,,5,,,,0,,,,,,,0,,,,0,,,,,,,0,,,,0,,5,2007-01-01
4006,Binali Yildirim,"1,2",,608,Turkey,Binali,Yildirim,,,1955-01-01,Male,0.0,Erzincan,,Married,3.0,"Employed: professional (accountant, architect, lawyer, medical doctor etc.)",,,,,,618,Turkish,Assumed,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,,,,,,,,Post-graduate (anything except Ph.D. degree),,0.0,0.0,,"Source
Justice and Development Part Official Website",619,Justice and Development Party,No,No,,,,Party organization/administration,Executive,General Vice President,"fisheries, sea",Ulastirma Bakani,2017-01-01,,4,,,,258549,ERZINCAN,"Cabinet, Minister",,"posts, telecommunications",2007-01-01,,2,,,,0,,,,,,,0,,,,0,,4,2017-01-01
89458,Robert Gabriel Mugabe,1,,76327,Zimbabwe,Robert Gabriel,Mugabe,,,1924-01-01,Male,0.0,Kutama Jesuit Mission in the Zvimba District ,Zimbabwe,Married,4.0,Education: school teacher,"Full-time politician (paid by party organisation, parliament, government; think tanks; living of politics)",,,Zezuru,Assumed,"260950,260952",English|Shona|Shona,Assumed,Shona,"260950,260952",English|Shona,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,,,,other,other,,,University / college,,0.0,0.0,Law,"After a campaign marked by intimidation from all sides, mistrust from security forces and reports of full ballot boxes found on the road, the Shona majority was decisive in electing Mugabe to head the first government as prime minister on 4 March 1980. ZANU won 57 out of 80 Common Roll seats in the new parliament, with the 20 white seats all going to the Rhodesian Front.
 
Mugabe, whose political support came from his Shona-speaking homeland in the north, attempted to build Zimbabwe on a basis of an uneasy coalition with his ZAPU rivals, whose support came from the Ndebele-speaking south, and with the white minority. Mugabe sought to incorporate ZAPU into his ZANU led government and ZAPU's military wing into the army. ZAPU's leader, Joshua Nkomo, was given a series of cabinet positions in Mugabe's government. However, Mugabe was torn between this objective and pressures to meet the expectations of his own ZANU followers for a faster pace of social change.
 
In 1983, Mugabe fired Nkomo from his cabinet, triggering bitter fighting between ZAPU supporters in the Ndebele-speaking region of the country and the ruling ZANU. Mugabe accused the Ndebele tribe of plotting to overthrow him after sacking Nkomo. Between 1982 and 1985, the military crushed armed resistance from Ndebele groups in the provinces of Matabeleland and the Midlands, leaving Mugabe's rule secure. Mugabe has been accused by the BBC's Panorama programme of committing mass murder during this period of his rule, after the show investigated claims made by political activist Gary Jones that Mugabe had been instrumental in removing him and his family from his farmland. A peace accord was negotiated in 1987ZAPU merged into the Zimbabwe African National Union-Patriotic Front (ZANU-PF) on 22 December 1988. Mugabe brought Nkomo into the government once again as a vice-president.
 
President
 
In 1987, the position of Prime Minister was abolished and Mugabe assumed the new office of executive President of Zimbabwe gaining additional powers in the process. He was re-elected in 1990 and 1996, and in 2002 amid claims of widespread vote-rigging and intimidation. Mugabe's term of office expired at the end of March 2008, but he was re-elected later in 2008 in another election marred by allegations of election fraud and intimidation.
 
Mugabe has been the Chancellor of the University of Zimbabwe since Parliament passed the University of Zimbabwe Amendment Bill in November 1990
",82713,Zimbabwe African National Union-Patriotic Front,No,Top ten,President,President of Zimbabwe,,Party organization/administration,Executive,President ,,,2013-01-01,,4,,,,0,,,,,,,0,,,,0,,,,,,,0,,,,0,,4,2013-01-01
24132,María Antonieta Guillén,1,,6805,Honduras,María Antonieta,Guillén,,,1955-01-01,Female,0.0,Tegucigalpa,,Married,3.0,"Self-employed: professional (accountant, architect, lawyer, medical doctor etc.)",,,,,,11677,Spanish; Castilian,Assumed,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,,,,economics / business / management,economics / business / management,,,Post-graduate (anything except Ph.D. degree),,0.0,0.0,,Was ministry of the Honduras Institute of tourism in the administration of Rafael Leonardo Callejas (1990-1994),11673,National Party,No,Top ten,Member,Miembro,No,Political movement,Executive,1st Vice President of Honduras,,,2010-01-01,,4,,,,0,,,,,,,0,,,,0,,,,,,,0,,,,0,,4,2010-01-01
138381,Yahya Abdul-Aziz Jamus Junkung Jammeh,1,,9879,Gambia,Yahya Abdul-Aziz Jamus Junkung,Jammeh,,,1965-05-25,Male,0.0,"Kanilai Village, Foni Kansala District, Western",,Married,2.0,Military official,,,,,,,,,,134807,English,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,military,military,,,"Higher education, non university",,,,,"President Jammeh came to power in a 1994 coup d'etat. He was subsequently elected in 1996, 2001 and 2011, though the results of all three of these were criticized by the opposition.",10805,United Democratic Party,No,Apex,,,,,Executive,President,defence,,2011-01-01,,4,,,,0,,Party leader,National Chairman - Alliance For Patriotic Re-Orientation and Construction (A.P.R.C.),,1994-01-01,,0,,,,0,,"Cabinet, Minister",,,2012-01-01,,0,,,,0,,4,2011-01-01
