"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"22.10.2010","6.605,84","6.594,90","6.623,94","6.586,40","67,47M","-0,08%"
"21.10.2010","6.611,01","6.514,99","6.621,84","6.504,66","95,69M","1,33%"
"20.10.2010","6.524,55","6.470,30","6.527,85","6.461,48","95,16M","0,52%"
"19.10.2010","6.490,69","6.508,36","6.544,79","6.472,18","101,37M","-0,40%"
"18.10.2010","6.516,63","6.465,83","6.533,83","6.462,59","91,06M","0,37%"
"15.10.2010","6.492,30","6.478,00","6.512,78","6.438,78","137,13M","0,57%"
"14.10.2010","6.455,27","6.446,32","6.485,71","6.445,32","110,05M","0,32%"
"13.10.2010","6.434,52","6.339,76","6.456,27","6.335,22","148,84M","2,06%"
"12.10.2010","6.304,57","6.257,03","6.316,77","6.228,39","99,63M","-0,08%"
"11.10.2010","6.309,51","6.308,43","6.325,31","6.289,36","79,12M","0,28%"
"08.10.2010","6.291,67","6.269,48","6.295,09","6.239,43","124,53M","0,25%"
"07.10.2010","6.276,25","6.278,61","6.321,79","6.233,14","97,56M","0,09%"
"06.10.2010","6.270,73","6.248,81","6.289,56","6.242,52","111,93M","0,88%"
"05.10.2010","6.215,83","6.132,12","6.233,45","6.115,87","106,59M","1,33%"
"04.10.2010","6.134,21","6.205,00","6.210,25","6.128,54","90,48M","-1,24%"
"01.10.2010","6.211,34","6.244,06","6.293,09","6.187,22","125,51M","-0,28%"
"30.09.2010","6.229,02","6.214,02","6.339,36","6.204,69","137,41M","-0,29%"
"29.09.2010","6.246,92","6.296,28","6.326,34","6.223,14","120,08M","-0,46%"
"28.09.2010","6.276,09","6.258,20","6.311,92","6.197,96","109,27M","-0,04%"
"27.09.2010","6.278,89","6.307,87","6.324,09","6.272,17","86,12M","-0,31%"
"24.09.2010","6.298,30","6.173,89","6.310,28","6.146,42","114,75M","1,84%"
"23.09.2010","6.184,71","6.252,31","6.263,74","6.129,44","117,86M","-0,38%"
"22.09.2010","6.208,33","6.286,33","6.297,40","6.192,43","133,91M","-1,08%"
"21.09.2010","6.275,98","6.281,07","6.339,97","6.275,98","130,95M","-0,30%"
"20.09.2010","6.294,58","6.231,28","6.301,63","6.219,85","96,81M","1,37%"
"17.09.2010","6.209,76","6.297,93","6.321,20","6.185,74","232,90M","-0,64%"
"16.09.2010","6.249,65","6.255,14","6.281,10","6.233,97","96,81M","-0,20%"
"15.09.2010","6.261,87","6.282,52","6.288,20","6.227,20","104,88M","-0,22%"
"14.09.2010","6.275,41","6.261,78","6.287,78","6.231,38","112,79M","0,22%"
"13.09.2010","6.261,68","6.258,51","6.290,87","6.231,52","93,97M","0,75%"
"10.09.2010","6.214,77","6.186,22","6.224,65","6.182,56","94,00M","-0,11%"
