Monat/Jahr,Geschäftsklima.1,Geschäftslage.1,Geschäftserwartungen.1,Datum,Zuletzt,Eröffn.,Hoch,Tief,Vol.,+/- %,28daysSmoothened,diffSmoothened,Trend,daysOfTrend,Year-Month,ifoKlimaSaldoAllNeg,WirtschaftslageBinary,WirtschaftserwartungBinary
2005-01-01,1.5,-0.9,3.8,2005-01-03,4291.53,"4.260,92","4.310,30","4.251,37",,"0,83%",4202.2132142857145,5.983928571428805,1,44,2005-01-01,False,-1,1
2005-02-01,1.0,0.4,1.6,2005-02-01,4279.97,"4.256,65","4.281,05","4.249,69",,"0,59%",4248.181785714286,2.342142857143699,1,3,2005-02-01,False,1,1
2005-03-01,-3.1,-4.4,-1.8,2005-03-01,4383.62,"4.345,24","4.388,42","4.335,04",,"0,76%",4314.829642857143,5.828214285714239,1,23,2005-03-01,True,-1,-1
2005-04-01,-3.4,-3.3,-3.5,2005-04-01,4373.53,"4.348,03","4.393,20","4.347,53",,"0,57%",4352.4853571428575,0.5021428571435536,0,0,2005-04-01,True,-1,-1
2005-05-01,-4.7,-3.7,-5.6,2005-05-02,4224.02,"4.208,63","4.235,64","4.205,05",,"0,94%",4300.844642857143,-2.583571428571304,-1,-12,2005-05-01,True,-1,-1
2005-06-01,-4.6,-4.7,-4.5,2005-06-01,4527.17,"4.467,32","4.530,07","4.467,04",,"1,49%",4314.640357142857,10.86178571428536,1,6,2005-06-01,True,-1,-1
2005-07-01,-0.8,-4.5,3.0,2005-07-01,4617.07,"4.584,44","4.623,80","4.579,51",,"0,67%",4548.271428571429,7.8725000000004,1,28,2005-07-01,False,-1,1
2005-08-01,1.2,-2.3,4.8,2005-08-01,4890.85,"4.882,39","4.912,39","4.878,17",,"0,09%",4699.791428571429,9.6875,1,49,2005-08-01,False,-1,1
2005-09-01,2.9,1.0,4.9,2005-09-01,4842.94,"4.846,66","4.874,89","4.816,67",,"0,27%",4882.345,0.008571428572395234,0,0,2005-09-01,False,1,1
2005-10-01,6.3,2.1,10.6,2005-10-03,5082.07,"5.060,99","5.083,56","5.050,22",,"0,75%",4927.523214285714,5.932857142856847,1,6,2005-10-01,False,1,1
2005-11-01,7.4,6.6,8.2,2005-11-01,4922.55,"4.922,91","4.938,39","4.907,69",,"-0,13%",4959.691071428571,2.6264285714287325,1,2,2005-11-01,False,1,1
2005-12-01,7.6,5.7,9.6,2005-12-01,5266.55,"5.210,54","5.266,62","5.208,49",,"1,41%",5058.4375,13.02714285714319,1,14,2005-12-01,False,1,1
2006-01-01,10.9,9.1,12.7,2006-01-02,5449.98,"5.410,24","5.451,57","5.409,28",,"0,77%",5314.412857142857,9.830714285714748,1,35,2006-01-01,False,1,1
2006-02-01,13.5,12.5,14.5,2006-02-01,5726.53,"5.662,05","5.733,56","5.643,40",,"0,92%",5491.870000000001,11.723214285714675,1,57,2006-02-01,False,1,1
2006-03-01,14.4,14.6,14.2,2006-03-01,5866.61,"5.806,96","5.867,59","5.796,41",,"1,22%",5705.624285714285,18.48535714285572,1,77,2006-03-01,False,1,1
2006-04-01,14.1,14.7,13.5,2006-04-03,6024.05,"5.989,08","6.028,14","5.978,46",,"0,90%",5867.255357142857,5.78535714285681,1,100,2006-04-01,False,1,1
