Datum,Zuletzt,Eröffn.,Hoch,Tief,Vol.,+/- %,28daysSmoothened,diffSmoothened
2023-01-02,14069.26,"13.992,71","14.095,91","13.976,44","34,98M","1,05%",14223.60642857143,-12.610357142857538
2023-01-03,14181.67,"14.116,07","14.293,87","14.083,76","57,91M","0,80%",14214.823571428571,-8.78285714285812
2023-01-04,14490.78,"14.266,98","14.492,78","14.264,60","76,22M","2,18%",14213.081428571428,-1.7421428571433353
2023-01-05,14436.31,"14.451,23","14.501,60","14.403,73","60,95M","-0,38%",14209.328928571427,-3.7525000000005093
2023-01-06,14610.02,"14.476,72","14.610,23","14.388,98","55,43M","1,20%",14217.423928571428,8.095000000001164
2023-01-09,14792.83,"14.650,73","14.832,89","14.628,61","64,98M","1,25%",14233.044642857143,15.620714285714712
2023-01-10,14774.60,"14.741,97","14.790,82","14.692,74","57,44M","-0,12%",14246.528928571428,13.484285714284852
2023-01-11,14947.91,"14.805,40","14.965,47","14.794,99","66,37M","1,17%",14262.872142857144,16.343214285716385
2023-01-12,15058.30,"14.972,28","15.095,03","14.934,51","65,97M","0,74%",14281.761785714287,18.889642857142462
2023-01-13,15086.52,"15.063,21","15.132,37","15.041,16","66,45M","0,19%",14304.58,22.81821428571311
2023-01-16,15134.04,"15.112,05","15.153,19","15.083,94","42,10M","0,31%",14332.824642857144,28.244642857143845
2023-01-17,15187.07,"15.130,03","15.269,71","15.083,95","57,91M","0,35%",14365.891785714286,33.067142857142244
2023-01-18,15181.80,"15.182,95","15.250,36","15.156,89","58,26M","-0,03%",14398.650357142858,32.758571428572395
2023-01-19,14920.36,"15.115,55","15.134,07","14.906,27","64,17M","-1,72%",14418.280357142856,19.62999999999738
2023-01-20,15033.56,"14.986,52","15.034,43","14.940,68","64,03M","0,76%",14444.242142857142,25.961785714285725
2023-01-23,15102.95,"15.077,40","15.145,90","15.022,83","39,90M","0,46%",14465.85142857143,21.60928571428849
2023-01-24,15093.11,"15.140,50","15.147,45","15.022,55","48,34M","-0,07%",14488.455357142857,22.603928571426877
2023-01-25,15081.64,"15.095,72","15.114,41","14.969,65","53,59M","-0,08%",14527.577142857142,39.12178571428558
2023-01-26,15132.85,"15.146,29","15.151,54","15.068,72","62,00M","0,34%",14571.855,44.2778571428571
2023-01-27,15150.03,"15.115,75","15.186,49","15.077,62","55,14M","0,11%",14614.967857142856,43.11285714285623
2023-01-30,15126.08,"15.070,30","15.161,07","14.988,98","54,66M","-0,16%",14659.304285714286,44.33642857143059
2023-01-31,15128.27,"15.081,17","15.136,22","14.993,59","57,05M","0,01%",14696.10607142857,36.80178571428405
2023-02-01,15180.74,"15.125,12","15.222,34","15.107,83","57,10M","0,35%",14741.344285714285,45.238214285715
2023-02-02,15509.19,"15.275,00","15.520,97","15.264,31","122,98M","2,16%",14797.353571428572,56.00928571428631
