Monat/Jahr,Geschäftsklima.1,Geschäftslage.1,Geschäftserwartungen.1,Datum,Zuletzt,Eröffn.,Hoch,Tief,Vol.,+/- %,28daysSmoothened,diffSmoothened,Trend,daysOfTrend,Year-Month,ifoKlimaSaldoAllNeg
2023-01-01,-3.2,15.1,-19.9,2023-01-02,14069.26,"13.992,71","14.095,91","13.976,44","34,98M","1,05%",14223.60642857143,-12.610357142857538,-1,-9,2023-01-01,False
2023-02-01,-1.3,14.5,-15.9,2023-02-01,15180.74,"15.125,12","15.222,34","15.107,83","57,10M","0,35%",14741.344285714285,45.238214285715,1,19,2023-02-01,False
2023-03-01,2.6,17.6,-11.3,2023-03-01,15305.02,"15.399,91","15.478,84","15.254,11","72,24M","-0,39%",15328.69607142857,9.69499999999789,1,39,2023-03-01,False
2023-04-01,3.5,16.7,-9.0,2023-04-03,15580.92,"15.623,45","15.659,35","15.553,90","70,89M","-0,31%",15287.687142857143,6.465357142857101,1,3,2023-04-01,False
2023-05-01,-0.2,16.2,-15.4,2023-05-02,15726.94,"15.950,36","16.011,56","15.707,55","80,23M","-1,23%",15598.345000000001,28.341428571429788,1,21,2023-05-01,False
2023-06-01,-6.2,13.7,-24.2,2023-06-01,15853.66,"15.744,01","15.863,41","15.734,86","55,20M","1,21%",15915.230357142858,-0.999999999996362,0,0,2023-06-01,False
2023-07-01,-8.8,8.2,-24.3,2023-07-03,16081.04,"16.187,91","16.209,29","16.070,49","52,05M","-0,41%",16010.3725,8.532499999999345,1,1,2023-07-01,False
2023-08-01,-12.2,2.7,-25.9,2023-08-01,16240.40,"16.414,79","16.430,66","16.240,40","63,46M","-1,26%",16044.190357142856,9.008571428568757,1,4,2023-08-01,False
2023-09-01,-12.1,2.0,-25.2,2023-09-01,15840.34,"15.936,34","15.984,59","15.840,25","54,05M","-0,67%",15906.153214285714,-13.258928571429351,-1,-11,2023-09-01,False
2023-10-01,-10.0,3.1,-22.2,2023-10-02,15247.21,"15.439,96","15.476,38","15.192,01","61,42M","-0,91%",15659.475,-17.185714285713402,-1,-11,2023-10-01,False
2023-11-01,-9.5,3.6,-21.8,2023-11-01,14923.27,"14.851,96","14.949,58","14.786,32","63,59M","0,76%",15100.510357142857,-22.643571428570795,-1,-33,2023-11-01,False
2023-12-01,-11.4,1.7,-23.7,2023-12-01,16397.52,"16.296,92","16.399,06","16.279,45","68,14M","1,12%",15504.803214285714,54.199285714286816,1,17,2023-12-01,False
2024-01-01,-13.9,-1.9,-25.1,2024-01-02,16769.36,"16.828,75","16.963,47","16.648,80","59,89M","0,11%",16498.05892857143,31.001071428574505,1,36,2024-01-01,True
2024-02-01,-12.7,-1.9,-23.0,2024-02-01,16859.04,"16.834,13","16.915,92","16.821,60","89,45M","-0,26%",16712.426428571427,4.499642857139406,1,7,2024-02-01,True
2024-03-01,-8.1,0.6,-16.4,2024-03-01,17735.07,"17.793,47","17.816,52","17.690,89","85,78M","0,32%",17114.052142857145,39.57071428571726,1,28,2024-03-01,False
