Datum,28daysSmoothened,daysOfTrend
2005-01-03,4202.2132142857145,44
2005-01-04,4208.539285714286,45
2005-01-05,4213.2871428571425,46
2005-01-06,4218.308214285715,47
2005-01-07,4224.098571428572,48
2005-01-10,4229.826785714286,49
2005-01-11,4234.541428571429,50
2005-01-12,4235.355357142857,0
2005-01-13,4235.203214285714,0
2005-01-14,4236.042142857143,1
2005-01-17,4237.885,2
2005-01-18,4239.245357142857,3
2005-01-19,4240.823928571428,4
2005-01-20,4243.324642857143,5
2005-01-21,4244.722857142858,0
2005-01-24,4244.103214285714,0
2005-01-25,4244.197857142857,1
2005-01-26,4244.2132142857145,0
2005-01-27,4243.595357142857,0
2005-01-28,4244.293214285714,1
2005-01-31,4245.839642857142,2
2005-02-01,4248.181785714286,3
2005-02-02,4250.147142857143,4
2005-02-03,4251.219285714285,5
2005-02-04,4254.930714285714,6
2005-02-07,4258.665,7
2005-02-08,4263.080714285714,8
2005-02-09,4266.5475,9
2005-02-10,4268.350357142857,10
2005-02-11,4271.825357142857,11
2005-02-14,4276.4025,12
2005-02-15,4280.012857142857,13
2005-02-16,4281.8832142857145,14
2005-02-17,4284.108571428571,15
2005-02-18,4287.732142857143,16
2005-02-21,4292.893571428571,17
2005-02-22,4296.860357142857,18
2005-02-23,4299.656785714286,19
2005-02-24,4301.756071428571,20
2005-02-25,4305.253571428571,21
2005-02-28,4309.001428571429,22
2005-03-01,4314.829642857143,23
2005-03-02,4321.248571428571,24
2005-03-03,4327.369285714286,25
2005-03-04,4334.139642857143,26
2005-03-07,4341.7814285714285,27
2005-03-08,4348.2132142857145,28
2005-03-09,4354.42,29
2005-03-10,4357.378214285714,30
2005-03-11,4360.253928571428,31
2005-03-14,4362.789285714286,32
2005-03-15,4366.576785714286,0
2005-03-16,4365.499285714286,-1
2005-03-17,4363.698214285714,-2
2005-03-18,4362.119285714286,-3
2005-03-21,4360.091071428572,-4
2005-03-22,4359.329642857143,-5
2005-03-23,4356.808214285714,-6
2005-03-24,4355.279642857143,-7
2005-03-29,4353.488928571429,-8
2005-03-30,4352.7300000000005,-9
2005-03-31,4351.983214285714,0
2005-04-01,4352.4853571428575,0
2005-04-04,4352.058571428572,0
2005-04-05,4353.465714285715,1
2005-04-06,4355.912857142857,2
2005-04-07,4358.956785714286,3
2005-04-08,4360.8153571428575,4
2005-04-11,4362.443928571429,0
2005-04-12,4362.033214285714,0
2005-04-13,4362.471071428571,1
2005-04-14,4363.498928571428,0
2005-04-15,4359.525000000001,-1
2005-04-18,4351.4575,-2
2005-04-19,4344.604285714287,-3
2005-04-20,4337.569285714286,-4
2005-04-21,4332.427142857143,-5
2005-04-22,4327.518214285715,-6
2005-04-25,4323.220357142857,-7
2005-04-26,4317.722857142857,-8
2005-04-27,4313.433928571429,-9
2005-04-28,4308.511785714286,-10
2005-04-29,4303.428214285715,-11
2005-05-02,4300.844642857143,-12
2005-05-03,4298.160714285715,-13
2005-05-04,4296.273214285715,-14
2005-05-05,4294.698571428571,-15
2005-05-06,4293.240357142858,-16
2005-05-09,4291.272142857143,-17
2005-05-10,4287.785000000001,-18
2005-05-11,4283.164642857143,-19
2005-05-12,4280.509642857142,-20
2005-05-13,4277.405714285715,-21
2005-05-16,4273.227142857143,-22
2005-05-17,4268.3075,-23
