,DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,NAVSTAT,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA,AISTYPE_Class,byday
0,2024-01-01 00:02:34,425000004,12.74577,43.30452,334.1,12.1,333,0,9345221,BAGHDAD,HNBD,80,105,24,11,9,8.4,SUZE PORT,01-05 15:00,8,2024-01-01
1,2024-01-01 00:02:51,563137700,12.69388,43.28125,157.0,15.4,156,0,9272981,KOTA HANDAL,9V7329,70,132,27,8,17,5.0,DJJIB,01-01 08:00,7,2024-01-01
2,2024-01-01 00:12:05,566473000,12.75315,43.25763,156.5,13.2,155,0,9713624,EPIC SULA,9V2736,80,101,19,17,4,4.8,KHOR FAKKAN,01-05 18:00,8,2024-01-01
3,2024-01-01 00:51:37,352002809,12.5878,43.35765,121.0,10.2,124,0,9346720,KIRA K,3E5096,80,228,21,22,22,14.6,ARMED GUARDS,01-06 18:00,8,2024-01-01
5,2024-01-01 01:10:29,636021618,12.60002,43.39563,298.4,13.0,298,0,9595931,UNICORN,5LEV6,70,161,29,14,18,11.1,ITALY,01-10 12:00,7,2024-01-01
6,2024-01-01 01:10:44,209887000,12.61348,43.38366,297.2,8.3,299,0,9375276,LEDRA DYNAMIC,5BHV6,90,7,30,7,4,0.0,PORT SAID,01-07 15:00,9,2024-01-01
7,2024-01-01 01:29:05,253665000,12.71692,43.26703,154.4,14.7,154,0,9810939,BONNY RIVER,LXSI,70,19,140,15,15,5.9,MVMLE - ARMED GUARDS,01-08 06:00,7,2024-01-01
12,2024-01-01 02:55:29,636016322,12.7088,43.27588,154.3,8.5,154,0,9221334,ARCTURUS,D5FN9,70,205,20,2,30,13.0,AE HAM,01-07 10:00,7,2024-01-01
14,2024-01-01 03:37:25,352002172,12.73127,43.26447,155.7,10.2,156,0,9298519,TAI HONOR,3E4112,70,162,28,20,12,10.9,ARM GUARDS ON BOARD,01-24 08:00,7,2024-01-01
16,2024-01-01 04:45:57,477139900,12.6189,43.36752,299.9,18.9,303,0,9757852,COSCO KILIMANJARO,VRRF5,71,157,209,31,21,15.8,SA JED,01-02 19:00,7,2024-01-01
17,2024-01-01 04:50:24,538008713,12.6071,43.40234,300.7,14.5,302,0,9867619,AITOLOS,V7A2681,80,204,46,25,19,13.8,EG AIS,01-05 07:00,8,2024-01-01
19,2024-01-01 05:20:04,477767900,12.74459,43.26371,155.6,12.0,157,0,9610743,BARROW ISLAND,VRMK7,70,168,22,21,11,12.1,SG SIN,01-13 16:00,7,2024-01-01
22,2024-01-01 06:10:24,636018513,12.60511,43.4092,297.6,14.0,298,0,9541318,LILA SHANGHAI,A8WC5,70,195,34,11,21,7.2,ARMED GUARD O/B,01-05 12:00,7,2024-01-01
23,2024-01-01 06:25:10,538004332,12.71914,43.27581,160.4,10.5,155,0,9594638,STAR CLEO,V7WL7,70,162,28,18,14,11.9,ARMED GUARDS ONBOARD,01-08 06:30,7,2024-01-01
24,2024-01-01 06:25:43,636022477,12.72403,43.26068,156.0,10.7,154,0,9263916,SOYIA,5LIZ4,80,144,29,22,11,11.1,SOHAR,12-06 12:00,8,2024-01-01
28,2024-01-01 08:33:07,626292000,12.72726,43.26676,150.5,10.9,154,0,9290335,JUMBO,TRAU8,89,230,45,20,28,15.1,ARM_GURAD_ONBOARD,01-08 06:00,8,2024-01-01
30,2024-01-01 09:19:36,636017012,12.62306,43.3816,302.6,14.0,301,0,9724867,JOLANDA,D5IW8,70,247,45,26,19,10.2,EG SUZ,01-05 12:00,7,2024-01-01
31,2024-01-01 11:40:31,305718000,12.74964,43.25637,156.0,13.1,157,0,9504724,BBC AMETHYST,V2FL9,70,11,143,10,13,6.4,CHENNAI,01-10 00:30,7,2024-01-01
32,2024-01-01 11:49:17,538010545,12.75929,43.26232,162.5,12.4,162,0,9950090,CAPE BYRON,V7A6200,70,131,41,4,24,7.1,ARMED GUARD ON BOARD,01-06 18:00,7,2024-01-01
35,2024-01-01 12:48:55,636014310,12.60915,43.3963,300.0,14.9,299,0,9422445,SCF SURGUT,A8SW8,89,230,44,15,33,9.3,ARM GUARDS ONBOARD,01-06 00:00,8,2024-01-01
36,2024-01-01 13:03:54,538009930,12.64081,43.35948,316.9,12.7,324,0,9601194,KING PHILIPPOS,V7A5356,80,205,45,30,14,14.0, SUEZ-EGYPT,01-05 11:00,8,2024-01-01
38,2024-01-01 13:22:33,352999898,12.735,43.26755,158.6,12.5,157,0,9966049,PRINCESA GUAYARMINA,3E2351,70,38,39,9,3,5.5,ARMED GUARD ONBOARD,01-12 16:00,7,2024-01-01
39,2024-01-01 13:25:37,229717000,12.60557,43.41186,294.8,13.2,294,0,9692832,CAPTAIN JOHN,9HA3545,80,210,41,30,15,14.0,SUEZ,01-05 20:00,8,2024-01-01
40,2024-01-01 13:34:59,630001026,12.60543,43.41059,297.7,9.5,294,8,6829082,MAYSA,J5AD3,70,61,17,4,8,4.4,DJIBOUTI,12-25 12:00,7,2024-01-01
41,2024-01-01 13:37:34,405000390,12.72532,43.25773,154.6,12.0,154,0,9928853,MEGHNA PROGRESS,S2CL6,70,171,29,24,12,12.3,ARM GUARD ONBOARD,01-15 21:00,7,2024-01-01
42,2024-01-01 13:41:14,624015000,12.72525,43.26888,156.3,10.3,154,0,9617387,ASSOSA,ETAO,70,150,16,10,17,9.5,DJIBOUTI,01-01 17:00,7,2024-01-01
43,2024-01-01 13:41:57,636023107,12.60963,43.3929,299.0,16.4,299,0,9447809,OCEANIC MOON,5LLZ4,81,143,31,19,9,10.2,EGSCN,01-06 09:00,8,2024-01-01
50,2024-01-01 14:26:49,636022834,12.60657,43.40865,298.0,13.6,297,0,9482847,NAVIG8 MARTINEZ,A8XG4,89,190,38,9,23,13.7,ARMED GUARDS ONBOARD,01-05 16:00,8,2024-01-01
51,2024-01-01 15:00:01,370355000,12.62451,43.36708,298.6,15.7,302,0,9385685,GAS ALKHALEEJ,3ESM3,80,182,43,13,23,7.7,YANBU,01-04 10:00,8,2024-01-01
53,2024-01-01 15:01:28,636021493,12.75817,43.25315,155.0,12.0,156,0,9292199,BESIKTAS DARDANELLES,5LEF2,80,229,45,23,27,12.9,ARMED GUARD ON BOARD,01-23 12:00,8,2024-01-01
54,2024-01-01 16:02:57,538010489,12.71157,43.27855,154.0,13.3,155,0,9286023,BEKS WIND,V7A6114,80,191,37,10,23,11.4,ARM GUARD ON BOARD,01-06 12:00,8,2024-01-01
55,2024-01-01 16:09:59,210014000,12.61597,43.39188,302.0,12.1,299,0,9278430,PANAMAX BREEZE,5BFY4,70,30,195,31,1,7.8,SUEZ,01-05 23:00,7,2024-01-01
56,2024-01-01 16:11:51,636012855,12.73189,43.2659,156.1,12.3,155,0,9312884,NS COLUMBUS,A8IK2,89,201,43,17,25,14.7,ARM GUARDED,01-14 06:30,8,2024-01-01
57,2024-01-01 17:02:58,636022172,12.75781,43.25975,155.3,9.3,511,0,9221229,VENIA,5LHM8,70,246,42,29,16,17.4,JAIGARH,01-10 08:00,7,2024-01-01
61,2024-01-01 18:20:04,271045353,12.74432,43.26098,155.0,12.0,155,0,9804148,T.SEMAHAT,TCA4692,80,231,46,24,24,15.3,ARMED SECURITY,01-14 11:00,8,2024-01-01
62,2024-01-01 18:24:55,538010421,12.63685,43.36652,317.9,12.3,317,0,9595670,SAFEEN AL SAFA,V7A6015,79,197,32,19,13,6.9,AQABA,01-05 18:00,7,2024-01-01
65,2024-01-01 19:00:14,419526000,12.75527,43.25339,155.1,11.5,155,0,9289506,JAG PAHEL,AUEQ,89,148,34,15,17,11.0,ARM GUARDS ON BOARD,01-07 17:00,8,2024-01-01
66,2024-01-01 19:19:16,403581000,12.611,43.39175,303.6,12.7,304,0,9306809,NCC TABUK,HZAG,80,148,35,10,22,11.2,SAJED,01-03 21:00,8,2024-01-01
67,2024-01-01 19:41:49,473017200,12.7134,43.43569,165.8,5.8,511,15,0,AL HASSAN 0172,,70,0,0,0,0,0.0,,,7,2024-01-01
69,2024-01-01 20:13:48,477098900,12.63268,43.36625,312.4,11.8,316,0,9583823,HONY FUTURE,VRKM7,70,160,30,9,23,11.8,EGSUZ,01-06 12:00,7,2024-01-01
