,DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,NAVSTAT,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA,AISTYPE_Class,byday
0,2023-10-23 00:01:31,352002037,12.69167,43.28,158.0,6.0,511,0,9287883,ASPHALT ALLIANCE,3E2200,80,91,15,15,2,6.0,PORT KALANG,11-08 05:00,8,2023-10-23
1,2023-10-23 00:33:46,414643000,12.6047,43.40882,304.8,13.3,305,0,9638472,JIANG YUAN HANG ZHOU,BPAJ5,70,172,25,12,20,6.7, GUARD,10-22 20:00,7,2023-10-23
2,2023-10-23 00:54:34,563757000,12.75516,43.25743,156.9,10.4,159,0,9305300,MAERSK UTAH,9V3588,70,219,73,16,16,12.7,SAJED>>OMSLV,10-26 03:00,7,2023-10-23
5,2023-10-23 01:10:04,257928000,12.73945,43.25519,162.8,13.7,159,0,9630755,CLIPPER QUITO,LAPW7,80,188,37,11,25,11.5,SAYNB>CNZUH,11-06 15:00,8,2023-10-23
6,2023-10-23 01:13:50,636015019,12.6073,43.40575,297.5,19.1,298,0,9484936,EXPRESS ROME,A8YC2,71,257,92,27,19,12.9,EGSUZ,10-25 19:00,7,2023-10-23
8,2023-10-23 01:31:44,671828000,12.74825,43.25363,157.2,7.2,511,0,7615036,BANYAS 1,5VEO4,70,63,9,7,6,4.5,BERBERA,10-23 13:00,7,2023-10-23
11,2023-10-23 02:24:37,538004446,12.6057,43.41536,297.6,13.8,297,0,9595955,SSI GLORIOUS,V7XC5,70,160,30,9,23,6.7,ARM GUARDS ONBOARD,10-27 10:00,7,2023-10-23
14,2023-10-23 04:33:34,205554000,12.6286,43.36079,327.7,12.7,335,0,9416848,MINERAL NINGBO,ONGA,70,258,34,30,15,9.6,EGSUZ,09-27 18:00,7,2023-10-23
15,2023-10-23 04:44:44,431073000,12.72706,43.2674,154.1,14.2,153,0,9806081,ONE CYGNUS,7KEP,70,142,222,40,11,14.0,AE JEA,10-28 03:00,7,2023-10-23
16,2023-10-23 04:55:02,538010450,12.63057,43.35898,312.3,13.6,316,0,9391440,BULL SHARK,V7A6057,80,151,32,22,10,11.1,A,10-25 12:00,8,2023-10-23
20,2023-10-23 05:12:24,255806100,12.73821,43.26401,157.5,12.7,154,0,9430935,AS SICILIA,CQIY2,71,162,18,8,20,9.6,AEJEA,10-28 03:00,7,2023-10-23
21,2023-10-23 05:36:49,311000458,12.61824,43.37079,297.4,20.0,295,0,9736810,GLOVIS SIGMA,C6CF6,70,33,167,10,26,9.9,SA JED,10-24 15:00,7,2023-10-23
22,2023-10-23 05:37:38,538004336,12.60341,43.41216,298.6,13.4,300,0,9621792,STAR PYXIS,V7WM3,79,161,29,11,21,10.8,SUEZ,10-27 12:00,7,2023-10-23
23,2023-10-23 05:40:34,255806241,12.75847,43.25274,160.2,9.8,155,0,9504308,CEBIHAN,CQAP7,70,167,23,11,21,13.2,ARMED GUARD ON BOARD,11-05 12:00,7,2023-10-23
24,2023-10-23 05:52:25,477510700,12.61271,43.39567,299.8,14.2,301,0,9738521,GREAT COMFORT,VRNO7,70,170,30,11,22,7.5,ARM GUARDS ON BOARD,10-26 18:00,7,2023-10-23
25,2023-10-23 05:58:55,215497000,12.60596,43.40056,304.6,12.3,306,0,9528043,DAYTONA,9HA2745,80,208,41,27,17,8.0,ARMED GUARDS ONBOARD,10-27 18:00,8,2023-10-23
31,2023-10-23 06:20:31,241527000,12.75793,43.25279,154.1,8.9,511,0,9354985,MEGALOCHARI  VII,SVA7807,52,14,17,6,5,5.2,ARMED GUARD ON BOARD,10-23 17:00,5,2023-10-23
33,2023-10-23 06:37:09,241870000,12.69174,43.28072,153.2,8.8,150,8,9764465,IRAKLIS Z,SVB4375,52,17,15,8,5,6.2,ARMED GUARD ON BOARD,10-23 17:00,5,2023-10-23
