,DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,NAVSTAT,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA,AISTYPE_Class,byday
0,2022-03-24 00:00:53,636018938,12.58633,43.37155,119.0,11.2,119,0,9350800,ANDROS NAVIGATOR,D5SC8,70,260,30,30,17,14.4,ARMED GUARD ONBOARD,03-29 06:00,7,2022-03-24
1,2022-03-24 00:02:05,215217000,12.60214,43.32471,133.7,19.0,131,0,9410741,CMA CGM AQUILA,9HA5018,71,273,90,18,28,11.7,CNYSA,04-05 18:00,7,2022-03-24
2,2022-03-24 00:02:27,371464000,12.59244,43.34936,117.8,7.7,120,0,9194804,MALIHA,3FGM8,80,0,0,0,0,4.8,FUJAIRAH,04-01 01:00,8,2022-03-24
3,2022-03-24 00:02:37,371143000,12.65168,43.3013,156.0,9.9,155,0,9328560,LT OCEAN STAR,3EPF3,70,195,30,17,15,13.6,ARMED GUARD ONBOARD,04-06 18:00,7,2022-03-24
4,2022-03-24 00:08:51,566780000,12.61272,43.33172,148.9,13.3,148,0,9348168,MAERSK IZMIR,9V2004,71,163,70,23,10,10.2,SA JED >OM SLL,03-26 08:30,7,2022-03-24
5,2022-03-24 00:28:45,624015000,12.75491,43.25914,157.2,9.1,159,0,9617387,ASSOSA,ETAO,70,150,16,10,17,9.9,DJIBOUTI,03-24 12:00,7,2022-03-24
6,2022-03-24 00:36:46,357463000,12.74735,43.24893,157.4,18.4,160,0,9820855,EVER GRADE,3FZS6,70,142,257,21,38,15.3,LKCMB,03-28 15:30,7,2022-03-24
7,2022-03-24 01:01:32,538006499,12.60683,43.40599,298.7,13.6,298,0,9718753,RUSTAQ SILVER,V7NS9,80,147,36,25,7,9.8,SGSIN > EGSUZ,03-28 05:00,8,2022-03-24
10,2022-03-24 01:10:25,371829000,12.72864,43.25678,154.9,19.0,157,0,9832729,EVER GREET,3FLF4,70,142,257,21,38,12.4,MY PKG,03-31 14:00,7,2022-03-24
11,2022-03-24 01:17:02,636014250,12.74698,43.25997,155.0,10.4,156,0,9410210,TATAKI,A8SM5,81,230,44,17,33,15.8,ARMS GUARD ONBOARD,03-24 11:00,8,2022-03-24
12,2022-03-24 01:33:49,636020895,12.60552,43.41149,299.6,12.4,299,0,9823534,AL KHTAM,5LBF9,80,206,44,14,30,14.8,SUEZ,03-28 04:00,8,2022-03-24
13,2022-03-24 01:35:38,538008544,12.74938,43.25838,161.0,9.4,511,0,9290919,VICTORIOUS,V7A2490,80,148,35,13,19,10.3,ARMEDGUARD OB,03-24 09:00,8,2022-03-24
17,2022-03-24 02:06:36,273414540,12.75091,43.25021,155.4,10.9,156,0,9327322,MILENA,UHFB,70,110,10,6,9,7.2,ARMED GUARDS ONBOARD,03-30 13:00,7,2022-03-24
18,2022-03-24 02:12:38,566927000,12.74986,43.2575,153.7,10.3,157,0,9611010,GLOVIS MAGELLAN,9V9722,70,161,29,12,20,12.5,GUARDS O/B INPAV,03-30 12:00,7,2022-03-24
19,2022-03-24 02:22:10,477121200,12.73112,43.25299,157.9,17.8,159,0,9776212,OOCL SCANDINAVIA,VRRB8,70,145,255,23,36,14.7,EGSCN>SGSIN,04-01 12:00,7,2022-03-24
23,2022-03-24 03:08:10,636021257,12.64845,43.35694,326.2,14.2,332,0,9389813,SANTA MARIA,5LDB2,70,200,25,17,15,7.2,PORT SAID,03-28 12:00,7,2022-03-24
24,2022-03-24 05:57:22,314487000,12.66995,43.29632,154.0,12.4,155,0,9595204,OMNIA,8PAS7,70,154,32,6,22,11.2,IN HZR,03-21 19:00,7,2022-03-24
25,2022-03-24 06:10:07,538002999,12.74582,43.25864,153.4,11.8,152,0,9386421,JOHNNY CASH,V7NQ3,70,196,28,16,16,11.5,KR USN,04-15 18:30,7,2022-03-24
27,2022-03-24 06:20:00,353666000,12.61781,43.38864,302.0,17.2,304,0,9230488,MSC MICHAELA,HOEZ,79,14,290,20,20,15.1,SUEZ,03-26 20:30,7,2022-03-24
28,2022-03-24 06:27:03,566693000,12.70536,43.2691,153.8,14.5,154,0,9608300,MORSTON,9V9144,80,185,40,13,23,11.6,SIN GUSONG PILOT,04-05 10:00,8,2022-03-24
29,2022-03-24 06:44:28,372104000,12.73667,43.2561,153.4,19.3,154,0,9302138,ONE HANNOVER,3EIC8,71,260,76,30,16,13.3,SG SIN PWBGA,04-03 02:00,7,2022-03-24
30,2022-03-24 06:51:23,621819056,12.75613,43.25888,159.8,5.1,158,0,7210848,VENTURER,J2J0,90,15,25,4,5,4.2,ARMED GUARDS ONBOARD,03-25 08:00,9,2022-03-24
32,2022-03-24 07:02:04,636020326,12.74663,43.25204,156.6,19.3,157,0,9450387,BREMEN,D5WM8,71,244,90,27,16,10.4,SGSIN,04-02 00:01,7,2022-03-24
36,2022-03-24 07:25:46,566429000,12.75718,43.25168,155.5,11.2,155,0,9636632,MAERSK ADRIATIC,9V3388,89,149,35,7,20,11.0,AE FJR,03-30 16:00,8,2022-03-24
37,2022-03-24 07:50:56,373732000,12.74039,43.25357,154.6,13.4,154,0,9499436,ORCUN C,3FVP6,70,148,28,19,11,6.1,ARM GUARDS ON BOARD,04-05 06:00,7,2022-03-24
38,2022-03-24 08:04:49,259100000,12.73162,43.26843,154.1,13.6,154,0,9330783,MH LANGOEY,LAOT8,80,117,27,20,4,5.4,FUJAIRAH,03-30 22:00,8,2022-03-24
42,2022-03-24 08:35:29,538009770,12.61267,43.3933,287.7,17.5,287,0,9086746,AL WAKRAH,V7A5142,80,238,60,14,32,11.1,EG SUZ,03-27 18:00,8,2022-03-24
43,2022-03-24 08:38:19,211382280,12.60739,43.41251,294.0,19.5,294,0,9229843,NINGBO EXPRESS,DHEB,79,246,74,21,21,14.5,SAJED,03-25 15:00,7,2022-03-24
44,2022-03-24 08:50:56,566637000,12.74899,43.26117,154.9,13.8,157,0,9638616,PAC CAPELLA,9V9785,70,163,17,7,20,11.0,ARMED GUARDS ONBOARD,04-08 02:00,7,2022-03-24
45,2022-03-24 08:56:31,636092661,12.61469,43.38536,307.4,12.0,309,0,9151864,OKEE AUGUST,D5JR8,73,153,17,12,13,9.1,ERMSW,03-25 10:00,7,2022-03-24
46,2022-03-24 08:56:31,477108600,12.60851,43.40774,297.3,10.8,297,0,9451343,DA TONG YUN,VRJL3,70,150,16,10,17,7.2,EG SUZ,03-29 00:00,7,2022-03-24
52,2022-03-24 09:48:35,255805897,12.75198,43.25135,154.8,16.6,155,0,9720500,MSC SASHA,CQYR,70,109,191,16,32,14.1,DJJIB ARMED GUARD,03-24 16:00,7,2022-03-24
55,2022-03-24 10:16:29,414185000,12.61468,43.39611,302.9,11.7,304,0,9436109,CHANG HANG HUI HAI,BFBB9,70,170,30,10,22,10.7,SUEZ CANAL,03-28 20:00,7,2022-03-24
56,2022-03-24 11:04:32,636020741,12.62079,43.3809,301.4,12.0,300,8,9336490, ARISTOS,5LAM4,89,194,34,20,12,14.0,SUEZ CANAL,03-28 17:00,8,2022-03-24
58,2022-03-24 11:08:17,636014863,12.74634,43.25855,155.6,13.1,156,0,9472086,SOFIA,A8WY7,79,161,29,13,19,11.0,CHITTAGONG,04-06 07:00,7,2022-03-24
60,2022-03-24 12:15:29,477105300,12.74241,43.26518,153.2,16.6,155,0,9301794,SEASPAN JAKARTA,VRBR5,71,187,73,9,23,12.2,SALALAH,03-26 15:00,7,2022-03-24
61,2022-03-24 12:45:41,218566000,12.60833,43.405,299.0,14.0,511,0,9613018,LUDWIGSHAFEN EXPRESS,DDOR2,71,141,225,29,19,15.6,JEDDAH,03-28 07:00,7,2022-03-24
63,2022-03-24 13:05:23,371076000,12.60198,43.40735,293.1,12.4,295,0,9757187,MILANO BRIDGE,3FAY4,70,142,223,33,18,15.5,JEDDAH,03-26 15:00,7,2022-03-24
64,2022-03-24 13:20:00,413125000,12.76166,43.26833,157.7,20.4,158,0,9304801,XIN YAN TAI,BPBF,71,188,92,22,18,10.4,ABU DHABI,03-28 07:00,7,2022-03-24
65,2022-03-24 13:20:41,419000849,12.73498,43.27135,157.0,12.3,158,0,9281932,JAG PRANAV,AWEX,80,149,34,18,14,11.9,ARM GUARD ON BOARD,03-29 20:00,8,2022-03-24
66,2022-03-24 13:44:26,314609000,12.75243,43.25638,154.0,11.0,155,0,9302463,JAOHAR UK,8PBH9,70,136,30,11,17,9.8,IN IXY,03-31 12:00,7,2022-03-24
69,2022-03-24 14:24:21,538005348,12.73446,43.2645,155.5,12.9,154,0,9409522,SONGA PEACE,V7CY5,83,115,22,19,5,10.3,ARMED GUARDS ONBOARD,03-31 06:00,8,2022-03-24
70,2022-03-24 14:41:32,566705000,12.717,43.26795,155.0,16.2,154,0,9601314,APL DUBLIN,9V9404,71,259,88,25,20,12.8,MYPKG,04-02 20:00,7,2022-03-24
73,2022-03-24 15:08:02,563654000,12.62575,43.37383,300.0,12.8,301,0,9299422,MAERSK BERING,9VJK2,80,137,38,24,5,9.3,RAVENNA,03-04 19:00,8,2022-03-24
74,2022-03-24 15:55:34,341257000,12.75342,43.25344,155.4,12.3,155,0,9053919,URANUS,  V4NI4,79,100,16,10,8,6.8,ARMED GAURD ON BOARD,03-31 11:00,7,2022-03-24
75,2022-03-24 16:06:32,241763000,12.6132,43.3954,300.1,12.7,299,0,9886641,MIAOULIS 21,SVDN3,80,239,35,27,21,16.4,EG SUZ,03-28 18:00,8,2022-03-24
77,2022-03-24 16:33:06,228415700,12.60329,43.40204,306.6,17.8,307,0,9884473,ELISA AQUILA,FMQQ,80,233,64,3,44,9.6,EGSUZ,03-27 18:00,8,2022-03-24
78,2022-03-24 16:40:45,566984000,12.60958,43.40635,300.7,11.4,301,0,9611022,GLOVIS MAINE,,70,160,30,12,20,10.5,SUEZ CANAL,03-23 01:00,7,2022-03-24
79,2022-03-24 16:50:01,356112000,12.6748,43.29662,154.8,22.1,154,0,9305714,MSC INES,3EFZ3,70,260,88,21,21,9.7,CNZOS,04-05 17:00,7,2022-03-24
83,2022-03-24 17:12:16,538008134,12.63092,43.37217,303.2,14.5,305,0,9717216,CAP SAN LAZARO,V7XV9,74,131,201,24,24,14.0,JEDDAH,03-26 10:30,7,2022-03-24
85,2022-03-24 17:33:32,240797000,12.62572,43.3889,303.0,14.1,304,0,9405423,SERENEA,SVAC6,80,230,44,22,26,9.3,SGSIN=>JOAQB,03-28 05:00,8,2022-03-24
86,2022-03-24 17:53:31,477736500,12.70094,43.27746,156.3,11.3,155,0,9947354,FOREST 6,VRUK3,70,24,110,15,7,5.0,DJIBOUTI,03-25 02:30,7,2022-03-24
89,2022-03-24 18:10:33,248999000,12.74983,43.25383,155.0,10.9,152,0,9567946,SERENE THEODORA,9HA4908,70,161,29,10,22,11.5,SA YNB >DJ JIB,03-25 04:00,7,2022-03-24
91,2022-03-24 19:35:56,209997000,12.60998,43.40231,298.1,18.0,298,0,9877145,GAIL BHUWAN,5BNK5,81,233,65,25,23,10.2,EG SUZ,03-28 09:00,8,2022-03-24
92,2022-03-24 19:55:30,257665000,12.71915,43.27168,155.6,15.7,155,0,9731042,CLIPPER VENUS,LATU7,84,160,39,9,24,7.7,EG SUZ>SA RAZ,03-30 06:00,8,2022-03-24
95,2022-03-24 20:14:30,218361000,12.74998,43.26634,155.0,18.5,155,0,9450399,PRAGUE EXPRESS,DGZR2,71,249,86,16,26,13.9,AE JEA,03-28 21:00,7,2022-03-24
96,2022-03-24 20:33:26,414728000,12.60517,43.41081,297.0,11.6,298,0,9614062,TAO LIN WAN,BPGO,80,210,34,21,21,14.0,ARM GUARD ON BOARD,05-29 04:00,8,2022-03-24
97,2022-03-24 20:43:50,671402000,12.60731,43.405,305.8,9.2,511,0,7388231,ALBARAKA1,5VCH8,70,15,91,8,8,0.0,,03-27 16:00,7,2022-03-24
98,2022-03-24 20:43:55,538004772,12.74968,43.25807,154.5,12.5,154,0,9324148,DALIAN STAR D,V7YZ6,70,169,11,16,16,6.2,PK BQM,03-30 18:00,7,2022-03-24
99,2022-03-24 20:55:22,352001129,12.75355,43.25138,155.1,15.9,155,0,9166704,SOO SHIN,SSD,70,20,158,12,10,6.9,CNWEI,04-11 12:00,7,2022-03-24
104,2022-03-24 21:21:54,636014869,12.62144,43.3939,300.0,12.0,299,0,9588469,NORDIC ZENITH,A8WZ7,80,228,46,22,26,17.0,EGSUZ,03-29 06:00,8,2022-03-24
105,2022-03-24 21:35:32,352001071,12.63168,43.36455,327.5,8.6,336,0,9516557,AYA,3E2440,70,86,18,12,5,5.6,TR DRC,04-04 10:00,7,2022-03-24
109,2022-03-24 22:25:34,636015559,12.74389,43.26039,154.4,11.2,158,0,9476927,ULTRA GUJARAT,D5BM6,70,175,25,25,11,12.2,GANGAVARAM,04-02 00:00,7,2022-03-24
110,2022-03-24 22:32:47,563032700,12.60807,43.40742,303.6,17.0,305,0,9303534,MAERSK SAIGON,9V5630,71,258,74,22,22,12.2,EGSZC,03-27 21:00,7,2022-03-24
111,2022-03-24 22:39:51,518998366,12.60108,43.38251,321.3,14.6,319,0,8606109,HALIM M,E5U4346,70,99,26,10,10,5.5,DJIBOUTI,03-07 10:00,7,2022-03-24
112,2022-03-24 22:52:42,373599000,12.75098,43.27126,155.8,13.2,155,0,9339868,TSS PEARL,3FSL5,79,175,16,14,14,10.8,ADEN,03-25 10:00,7,2022-03-24
113,2022-03-24 22:55:17,636019720,12.74272,43.26043,157.6,9.6,158,0,9640126,FOREST PARK,D5VV4,83,114,27,8,17,10.1,BIN QASIM,03-31 01:00,8,2022-03-24
119,2022-03-24 23:09:20,636092896,12.69325,43.27415,154.4,20.7,152,0,9683867,CCNI ANGOL,D5GZ4,79,227,73,11,38,9.6,MYTPP,04-01 13:00,7,2022-03-24
