,DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,NAVSTAT,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA,AISTYPE_Class,byday
0,2024-03-24 00:06:08,613003901,12.75059,43.26409,155.3,7.6,511,0,9254422,OSTRA,TJMC168,89,12,133,11,11,9.8,KFK,03-30 12:00,8,2024-03-24
1,2024-03-24 00:12:50,538009223,12.73063,43.26151,150.8,9.6,150,0,9362982,LENI,V7A4474,70,201,24,14,18,13.2,BIK IRAN,03-31 06:00,7,2024-03-24
2,2024-03-24 00:26:58,538007541,12.61087,43.39418,300.1,12.9,299,0,9567439,NS QINGDAO,V7UM6,70,161,29,16,16,12.9,EGYPT/CHINESE CREW,03-28 12:00,7,2024-03-24
3,2024-03-24 00:35:48,356576000,12.75885,43.25261,154.7,9.7,157,0,9493638,THE FINDER,3FLQ,79,192,33,10,22,13.4,ARMS GUARD ONBOARD,03-31 06:00,7,2024-03-24
8,2024-03-24 01:18:11,577474000,12.60629,43.40382,298.0,11.1,511,0,9145126,ANKA SKY,YJWX2,70,75,10,6,7,5.6,TURKISH CREW ONBOARD,03-29 12:00,7,2024-03-24
9,2024-03-24 02:06:07,538005368,12.75146,43.25845,156.3,9.6,156,0,9209116,AGNES,V7DC9,70,193,32,19,13,10.8,UMM QASR(IRAQ),03-31 09:00,7,2024-03-24
11,2024-03-24 02:55:46,351095000,12.61075,43.40445,302.0,11.7,302,0,9244087,JAGUAR 1,3FKG5,70,130,25,10,14,8.1,SUEZ EG,03-30 12:00,7,2024-03-24
14,2024-03-24 04:18:11,620999092,12.7403,43.26338,154.4,6.6,158,0,9061588,ATLANTIC 22,D6A3097,70,132,26,10,15,9.5,DJIBOUTI/SYRIANCREW,03-24 13:00,7,2024-03-24
15,2024-03-24 05:00:53,636022445,12.6105,43.39445,298.9,16.1,301,0,9426051,ROZA,5LIV4,70,169,60,28,10,7.5,RU ULU,04-12 16:20,7,2024-03-24
17,2024-03-24 05:04:47,477390100,12.76007,43.25389,152.5,7.5,156,0,9695224,HUANGHAI STRUGGLER,VRNH2,70,149,17,13,14,11.2,ALL CREW CHINESE,04-10 08:00,7,2024-03-24
18,2024-03-24 05:43:23,563092500,12.74632,43.26401,158.1,7.6,159,0,9456460,INCE AKDENIZ,9V3373,70,161,29,14,18,12.8,ARMED GUARD ON BOARD,03-18 15:00,7,2024-03-24
22,2024-03-24 06:39:29,352002878,12.73463,43.26575,152.6,5.8,154,0,9463528,GLORY STAR 1,3E4656,80,118,24,17,6,4.7,"FUJAIRAH,UAE",04-01 13:00,8,2024-03-24
23,2024-03-24 06:59:30,248826000,12.75281,43.25094,156.9,7.5,158,0,9577446,ELINA B.,9HA2530,79,164,32,10,22,11.2,GRDS OB_RUSSIAN CREW,04-03 15:00,7,2024-03-24
29,2024-03-24 08:27:57,352002305,12.75798,43.25058,156.5,8.3,152,0,9220988,YASSIN BEY,HOA7635,79,152,20,13,14,10.7,"MUMBAI,INDIA",03-30 21:00,7,2024-03-24
31,2024-03-24 09:13:46,626418000,12.61953,43.38645,301.0,13.8,301,0,9422445,SCF SURGUT,TRBK9,89,230,44,15,33,9.3,ARMED GUARDS ONBOARD,03-28 06:00,8,2024-03-24
32,2024-03-24 09:34:31,229609000,12.65125,43.33824,336.3,14.9,340,0,9286592,THALASSINI,9HA3445,70,190,39,21,11,6.5,ARMED GUARDS ON BOAR,03-29 04:30,7,2024-03-24
34,2024-03-24 10:56:42,624016000,12.72558,43.27024,155.6,8.8,153,0,9617375,FINFINE,ETFN,70,150,16,10,17,10.1,DJIBOUTI,03-24 17:30,7,2024-03-24
37,2024-03-24 12:56:25,511101140,12.70731,43.277,157.7,18.0,157,0,9377561,INTERSEA TRAVELER,T8A4404,70,196,20,17,13,10.4,MYPKG&NO LINK ISRAEL,04-02 08:00,7,2024-03-24
39,2024-03-24 13:22:47,636022042,12.75676,43.24875,156.1,11.1,156,0,9277759,LEA I,5LGX3,80,192,37,22,10,12.8,"FUJAIRAH,UAE",03-29 13:00,8,2024-03-24
40,2024-03-24 13:52:40,538005598,12.62128,43.39573,303.4,14.4,304,0,9299616,NS XIAMEN,V7FH8,79,185,40,24,9,7.3,PORT SAID,03-29 18:00,7,2024-03-24
41,2024-03-24 13:52:47,477455400,12.61796,43.38079,302.0,14.0,305,0,9261786,TAI HARVEST,VRTC7,70,160,30,12,20,10.9,ALL CHINESE ON BOARD,03-28 19:00,7,2024-03-24
45,2024-03-24 15:14:46,538006238,12.75754,43.25403,158.4,8.1,156,0,9700213,D&K ABDUL RAZZAK KHA,V7KX8,80,146,37,12,20,8.1,AE FJR,01-30 10:00,8,2024-03-24
46,2024-03-24 15:35:03,538010776,12.71869,43.25187,162.0,16.2,160,0,9419785,WADI DUKA,V7A7412,70,179,52,10,21,8.5,INNSA NO ISRAEL CONN,03-29 00:30,7,2024-03-24
47,2024-03-24 15:39:10,312325000,12.69598,43.27358,150.0,11.0,150,0,9231509,TREND,V3MR6,80,227,47,21,27,15.0,"CHINESECREW,ARMGUARD",03-30 18:00,8,2024-03-24
51,2024-03-24 16:19:08,240221000,12.61161,43.38542,301.0,15.6,300,0,9271353,OLYMPIC FUTURE,SYQH,80,232,42,17,30,7.9,ARMED GUARDS ONBOARD,03-30 12:00,8,2024-03-24
52,2024-03-24 16:39:58,636021266,12.71047,43.2768,153.3,15.6,152,0,9719862,SIMBA,5LDC3,70,195,76,14,29,12.0,PORT KLANG,04-02 04:00,7,2024-03-24
55,2024-03-24 18:04:23,352003605,12.71902,43.28182,155.2,10.1,155,0,9290373,BESIKTAS BOSPHORUS,3E5237,80,229,45,40,10,15.7,TURKISH CR/ARMED GRD,03-30 13:00,8,2024-03-24
56,2024-03-24 18:21:33,626244000,12.72595,43.26935,158.0,9.0,155,0,9321691,SAI BABA,TRAO6,80,231,43,17,31,14.8,"VADINAR,INDIA",03-31 18:00,8,2024-03-24
59,2024-03-24 20:12:31,626360000,12.74602,43.2564,156.1,9.0,156,0,9292204,ADYGEYA,TRBD7,89,201,43,17,25,14.7,RU NVS > IN PRT,04-04 20:30,8,2024-03-24
61,2024-03-24 21:30:10,636014250,12.60523,43.41083,299.0,15.3,299,0,9410210,TATAKI,A8SM5,80,230,44,17,33,9.0,"BASHAYER,SUDAN",03-30 04:00,8,2024-03-24
63,2024-03-24 23:20:01,636018294,12.61522,43.39408,287.5,12.1,300,0,9249180,NEW FRIENDSHIP,D5PB6,85,202,42,16,26,13.4,"SUEZ, EGYPT",03-29 16:00,8,2024-03-24
64,2024-03-24 23:42:48,352001758,12.71867,43.26367,155.7,10.3,156,0,9308065,CHARVI,3E2594,80,210,64,18,30,16.2,SIKKA,03-31 12:00,8,2024-03-24
65,2024-03-24 23:44:02,626403000,12.61133,43.3232,129.2,9.7,130,0,9511387,OLYMPIYSKY PROSPECT,TRBJ2,80,209,41,26,18,14.1,CNZHA,04-11 08:00,8,2024-03-24
66,2024-03-24 23:44:07,636014381,12.72447,43.27168,155.0,7.9,154,0,9207778,ANNA S,A8TM3,70,195,30,15,17,0.0,BIK IRAN,04-02 18:00,7,2024-03-24
69,2024-03-25 00:00:20,636020697,12.60423,43.40979,294.6,15.5,295,0,9931563,PILECKI,5LAG7,70,185,15,15,17,8.3,CHINESE VESSEL&OWNER,03-29 16:00,7,2024-03-25
73,2024-03-25 01:28:07,256099000,12.74749,43.25752,155.1,10.6,159,0,9718583,KIRAN CASPIAN,9HA3817,70,180,20,8,24,13.4,ARMED GUARD ONBOARD,04-02 18:00,7,2024-03-25
74,2024-03-25 01:36:30,511101129,12.61398,43.4002,302.0,14.4,303,0,9250531,PYTHON,T8A4394,80,203,41,15,27,8.0,RU ULU,04-09 12:00,8,2024-03-25
75,2024-03-25 01:42:06,636014503,12.74272,43.25526,156.3,11.8,158,0,9476654,AMAZON,A8UI8,89,235,40,32,18,15.7,VIZAG INDIA,04-04 08:00,8,2024-03-25
76,2024-03-25 01:54:18,352003527,12.62315,43.37588,302.7,13.2,305,0,9269233,SEAPOWER II,3E5179,70,200,25,10,22,7.0,"GUARDS O/B,RUS CARGO",04-05 12:00,7,2024-03-25
77,2024-03-25 01:58:36,352002084,12.72052,43.27287,153.0,10.5,152,0,9389112,GINGKO,3E3768,70,163,27,22,10,12.5,CN ALL CHINESE CREW,04-08 08:00,7,2024-03-25
