"DATE TIME (UTC)","MMSI","LATITUDE","LONGITUDE","COURSE","SPEED","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","AISTYPE","A","B","C","D","DRAUGHT","DESTINATION","ETA"
"2023-01-01 00:01:17",357170000,12.70820,43.26973,155.5,12.6,154,0,9177430,"AH SHIN","3FBO9",70,17,183,22,10,7.9,"SINGAPORE","01-11 15:00"
"2023-01-01 00:05:07",636014114,12.60378,43.33515,122.2,8.2,121,0,9419357,"IASONAS","A8RJ6",80,207,43,15,29,13.0,"SINGAPORE","01-13 12:00"
"2023-01-01 00:37:38",255806356,12.65009,43.35156,332.8,17.2,335,0,9892509,"UHL FIERCE","CQED9",70,16,134,19,7,8.3,"SUEZ CANAL","01-04 01:00"
"2023-01-01 01:03:13",255806356,12.75740,43.30003,333.6,16.3,332,0,9892509,"UHL FIERCE","CQED9",70,16,134,19,7,8.3,"SUEZ CANAL","01-04 01:00"
"2023-01-01 01:33:49",563610000,12.61800,43.38373,309.5,19.7,310,0,9367592,"MORNING NINNI","9VHC3",70,20,160,9,23,9.2,"SA JED","01-02 17:00"
"2023-01-01 01:35:00",355087000,12.60464,43.41267,298.9,14.7,302,0,9882736,"ORIENTAL DAPHNE","3ELP6",80,117,20,7,15,9.5,"ARM GUARD ON BOARD","01-05 08:00"
"2023-01-01 02:00:01",355087000,12.67659,43.33710,336.9,15.8,340,0,9882736,"ORIENTAL DAPHNE","3ELP6",80,117,20,7,15,9.5,"ARM GUARD ON BOARD","01-05 08:00"
"2023-01-01 02:00:12",563610000,12.74509,43.31429,335.4,19.1,334,0,9367592,"MORNING NINNI","9VHC3",70,20,160,9,23,9.2,"SA JED","01-02 17:00"
"2023-01-01 02:30:50",249593000,12.74301,43.26109,154.8,6.5,157,0,9383869,"SARASOTA A","9HA4305",89,215,29,20,22,14.3,"INVAD","01-07 21:30"
"2023-01-01 02:59:25",229667000,12.64401,43.35485,324.0,14.7,331,0,9423267,"UNO","9HA5553",70,195,34,12,26,7.7,"SG SIN>EG SUZ","01-06 06:00"
"2023-01-01 03:06:04",249593000,12.68500,43.28667,153.0,6.0,511,0,9383869,"SARASOTA A","9HA4305",89,215,29,20,22,14.3,"INVAD","01-07 21:30"
"2023-01-01 03:30:55",271002613,12.70685,43.28878,159.0,11.5,161,0,9404950,"OTTOMAN EQUITY","TCTG7",81,220,49,10,36,13.5,"EGPSD>INSIK","01-06 03:00"
"2023-01-01 03:52:41",227999999,12.73992,43.25200,149.1,15.9,151,0,0,"FRENCH-WARSHIP","",35,0,0,0,0,0.0,"",""
"2023-01-01 04:04:09",249593000,12.60042,43.33949,119.2,6.4,122,0,9383869,"SARASOTA A","9HA4305",89,215,29,20,22,14.3,"INVAD","01-07 21:30"
"2023-01-01 04:43:10",636022415,12.75036,43.25663,156.7,7.5,159,0,9591428,"LC CONSTANCE","5LIR3",70,198,31,19,13,14.4,"IN KRI ARMED GUARDS","01-11 12:00"
"2023-01-01 05:20:40",538005614,12.73042,43.27225,150.9,11.4,153,0,9667564,"MONSOON","V7FL8",80,185,41,14,23,11.8,"VN VUT","01-13 17:00"
"2023-01-01 05:33:41",636013470,12.72475,43.26827,154.0,9.1,157,0,9360025,"ERMIONE","A8NE9",70,161,29,21,12,12.7,"ARMED GUARDS ONBOARD","01-04 05:00"
"2023-01-01 05:58:56",240542000,12.61960,43.37107,301.0,11.3,301,0,9312145,"SOUNION","SWGE",80,230,44,31,19,15.3,"SUEZ","01-05 08:00"
"2023-01-01 06:01:35",636013470,12.65872,43.29855,156.0,9.4,155,0,9360025,"ERMIONE","A8NE9",70,161,29,21,12,12.7,"ARMED GUARDS ONBOARD","01-04 05:00"
"2023-01-01 06:13:57",538005614,12.58845,43.37431,121.4,12.4,121,0,9667564,"MONSOON","V7FL8",80,185,41,14,23,11.8,"VN VUT","01-13 17:00"
"2023-01-01 06:16:36",240542000,12.67318,43.33308,336.0,11.5,338,0,9312145,"SOUNION","SWGE",80,230,44,31,19,15.3,"SUEZ","01-05 08:00"
"2023-01-01 06:20:49",636022415,12.57578,43.37792,118.8,8.6,118,0,9591428,"LC CONSTANCE","5LIR3",70,198,31,19,13,14.4,"IN KRI ARMED GUARDS","01-11 12:00"
"2023-01-01 06:55:31",352001131,12.75000,43.25333,156.0,8.0,511,0,9217462,"ABK EAGLE","3E3410",70,108,22,16,5,7.5,"SA-DMN","01-08 10:00"
"2023-01-01 07:01:57",636018594,12.61928,43.38633,300.5,13.8,301,0,9374595,"MSC ARIA III","A8PI5",70,201,14,15,15,7.9,"JEDDAH","01-03 06:00"
"2023-01-01 07:02:03",352001131,12.73664,43.26160,155.7,8.5,156,0,9217462,"ABK EAGLE","3E3410",70,108,22,16,5,7.5,"SA-DMN","01-08 10:00"
"2023-01-01 07:02:38",371632000,12.75824,43.26466,155.2,9.6,156,0,7326893,"MAWASHI EXPRESS","3EDN7",70,30,165,16,17,10.0,"IQ UQR","01-08 20:00"
"2023-01-01 07:10:12",370011000,12.61037,43.39233,290.0,18.7,292,0,9334234,"GRAND VICTORY","3ERC7",70,30,170,22,10,9.5,"JO AQJ","01-04 07:00"
"2023-01-01 07:12:51",255806335,12.73948,43.25372,163.2,12.8,162,0,9857169,"MSC ARIES","CQEB4",70,112,254,36,15,14.8,"ABU DHABI","01-07 07:00"
"2023-01-01 07:39:51",511100185,12.73240,43.24639,155.0,3.7,154,0,9043134,"AMAL II","T8A3282",70,0,0,0,0,6.2,"DJ JIB","01-02 11:00"
"2023-01-01 08:03:16",352001131,12.60058,43.32700,128.1,9.2,127,0,9217462,"ABK EAGLE","3E3410",70,108,22,15,6,7.5,"SA-DMN","01-08 10:00"
"2023-01-01 08:03:54",311000840,12.74759,43.27438,158.7,16.5,158,0,8700280,"AMERA","C6EA7",69,44,160,26,3,7.2,"OMSLL","01-03 04:00"
"2023-01-01 08:04:04",511100185,12.70752,43.25860,153.8,4.3,152,0,9043134,"AMAL II","T8A3282",70,0,0,0,0,6.2,"DJ JIB","01-02 11:00"
"2023-01-01 08:04:25",248699000,12.75148,43.24780,155.0,14.5,157,0,9350032,"APL FLORIDA","9HA4766",79,220,73,25,15,11.1,"PKBQM","01-06 09:00"
"2023-01-01 08:05:50",371632000,12.60107,43.34833,129.5,10.7,128,0,7326893,"MAWASHI EXPRESS","3EDN7",70,30,165,16,17,10.0,"IQ UQR","01-08 20:00"
"2023-01-01 08:05:59",255806335,12.57832,43.35603,119.2,13.7,119,0,9857169,"MSC ARIES","CQEB4",70,112,254,36,15,14.8,"ABU DHABI","01-07 07:00"
"2023-01-01 08:06:29",341200000,12.73817,43.27228,155.2,6.8,154,0,8112902,"ELYSIUM","V4MG4",69,20,44,9,4,3.5,"ARMED GUARD SALALAH.","01-07 16:00"
"2023-01-01 08:18:15",538002921,12.74287,43.26391,158.3,17.2,156,0,9337731,"TEMBEK","V7MX8",80,262,53,15,35,9.8,"QA RLF","01-06 00:00"
"2023-01-01 08:38:27",210510000,12.62094,43.38552,298.9,13.6,300,0,9880946,"PETER PAN","5BBY6",60,50,179,24,7,6.7,"ARMED GUARDS O BOARD","01-03 07:00"
"2023-01-01 08:52:32",309955000,12.72796,43.26467,154.9,18.2,153,0,9318503,"ISTRA ACE","C6WE7",70,24,152,16,16,7.7,"SG SIN EBGB","01-09 20:00"
"2023-01-01 09:00:42",309955000,12.68951,43.28291,155.4,18.3,153,0,9318503,"ISTRA ACE","C6WE7",70,24,152,16,16,7.7,"SG SIN EBGB","01-09 20:00"
"2023-01-01 09:05:56",210510000,12.70330,43.33480,333.7,13.3,335,0,9880946,"PETER PAN","5BBY6",60,50,179,24,7,6.7,"ARMED GUARDS O BOARD","01-03 07:00"
"2023-01-01 09:07:35",511100185,12.63269,43.29499,158.2,4.4,151,0,9043134,"AMAL II","T8A3282",70,0,0,0,0,6.2,"DJ JIB","01-02 11:00"
"2023-01-01 09:09:08",341200000,12.64510,43.35970,117.8,7.1,108,0,8112902,"ELYSIUM","V4MG4",69,20,44,9,4,3.5,"ARMED GUARD OB OMAN","01-07 16:00"
"2023-01-01 09:14:39",305302000,12.75957,43.25803,155.4,12.9,156,0,9433327,"BBC AUSTRIA","V2DQ3",70,106,14,18,2,7.1,"PEBGA","01-13 06:00"
"2023-01-01 09:29:03",538007438,12.75540,43.26609,155.1,16.9,155,0,9798399,"GLOVIS SAFETY","V7DS5",70,15,215,18,14,10.0,"XINSHA","12-28 21:00"
"2023-01-01 09:51:36",636017577,12.61501,43.38669,298.5,17.7,298,0,9754965,"MSC REEF","D5LQ2",70,145,253,35,24,16.4,"KING ABDULLAH","01-03 03:00"
"2023-01-01 10:00:41",305302000,12.60628,43.32720,120.9,12.3,118,0,9433327,"BBC AUSTRIA","V2DQ3",70,106,14,18,2,7.1,"PEBGA","01-13 06:00"
"2023-01-01 10:02:17",235108533,12.75083,43.25623,153.9,12.7,154,0,9683075,"KMARIN RESTRAINT","2ICI6",89,202,48,21,23,12.6,"SGSIN","01-12 19:00"
"2023-01-01 10:02:42",538007438,12.61159,43.33715,140.7,16.8,137,0,9798399,"GLOVIS SAFETY","V7DS5",70,15,215,18,14,10.0,"XINSHA","12-28 21:00"
"2023-01-01 10:02:57",511100185,12.57323,43.33410,126.0,4.6,128,0,9043134,"AMAL II","T8A3282",70,0,0,0,0,6.2,"DJ JIB","01-02 11:00"
"2023-01-01 10:04:21",636017577,12.65680,43.34447,335.0,16.2,336,0,9754965,"MSC REEF","D5LQ2",70,145,253,35,24,16.4,"KING ABDULLAH","01-03 03:00"
"2023-01-01 10:17:23",477168300,12.71948,43.25974,155.0,17.3,156,0,9750256,"PAN AFRICA","VRQC5",81,240,50,21,26,11.3,"FOR ORDERS","01-18 00:01"
"2023-01-01 10:27:09",305034000,12.74855,43.26241,154.0,12.9,155,0,9347853,"BBC DIRECTION","V2CL3",70,109,11,16,4,5.5,"ARM GUARDS ON BOARD","01-07 04:00"
"2023-01-01 10:28:34",613670000,12.61757,43.37615,297.3,12.1,298,0,9206671,"ELBRUS","TJMC964",85,200,46,40,3,9.5,"SUEZ ARMED GUARD OB","01-06 07:00"
"2023-01-01 10:29:40",477669300,12.64942,43.35262,309.4,10.6,318,0,9261657,"SHANDONG  ZIHE","VRPT8",82,160,15,11,20,10.8,"ARMED GUARD- JEDDAH","01-03 08:00"
"2023-01-01 10:51:05",477548500,12.73039,43.26630,157.2,9.9,157,0,9726530,"EMERALD BAISHA","VROQ4",70,200,29,23,9,13.3,"SINGAPORE","01-14 20:00"
"2023-01-01 11:00:32",353463000,12.60802,43.39466,301.1,12.0,303,0,9309514,"G HARMONY","3EPH6",70,176,13,14,14,8.0,"SUZE","01-06 08:00"
"2023-01-01 11:01:25",235108533,12.58289,43.37819,121.5,13.0,120,0,9683075,"KMARIN RESTRAINT","2ICI6",89,202,48,21,23,12.6,"SGSIN","01-12 19:00"
"2023-01-01 11:07:57",477548500,12.68668,43.28660,155.7,10.0,157,0,9726530,"EMERALD BAISHA","VROQ4",70,200,29,23,9,13.3,"SINGAPORE","01-14 20:00"
"2023-01-01 11:19:10",305034000,12.59099,43.35639,115.4,12.6,115,0,9347853,"BBC DIRECTION","V2CL3",70,109,11,16,4,5.5,"ARM GUARDS ON BOARD","01-07 04:00"
"2023-01-01 11:21:09",613670000,12.75989,43.29346,338.0,12.3,338,0,9206671,"ELBRUS","TJMC964",85,200,46,40,3,9.5,"SUEZ ARMED GUARD OB","01-06 07:00"
