"DATE TIME (UTC)","MMSI","LATITUDE","LONGITUDE","COURSE","SPEED","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","AISTYPE","A","B","C","D","DRAUGHT","DESTINATION","ETA"
"2023-10-23 00:01:31",352002037,12.69167,43.28000,158.0,6.0,511,0,9287883,"ASPHALT ALLIANCE","3E2200",80,91,15,15,2,6.0,"PORT KALANG","11-08 05:00"
"2023-10-23 00:33:46",414643000,12.60470,43.40882,304.8,13.3,305,0,9638472,"JIANG YUAN HANG ZHOU","BPAJ5",70,172,25,12,20,6.7," GUARD","10-22 20:00"
"2023-10-23 00:54:34",563757000,12.75516,43.25743,156.9,10.4,159,0,9305300,"MAERSK UTAH","9V3588",70,219,73,16,16,12.7,"SAJED>>OMSLV","10-26 03:00"
"2023-10-23 01:02:31",414643000,12.68086,43.33486,332.4,13.4,335,0,9638472,"JIANG YUAN HANG ZHOU","BPAJ5",70,172,25,12,20,6.7," GUARD","10-22 20:00"
"2023-10-23 01:03:09",563757000,12.73168,43.26708,158.4,10.4,160,0,9305300,"MAERSK UTAH","9V3588",70,219,73,16,16,12.7,"SAJED>>OMSLV","10-26 03:00"
"2023-10-23 01:10:04",257928000,12.73945,43.25519,162.8,13.7,159,0,9630755,"CLIPPER QUITO","LAPW7",80,188,37,11,25,11.5,"SAYNB>CNZUH","11-06 15:00"
"2023-10-23 01:13:50",636015019,12.60730,43.40575,297.5,19.1,298,0,9484936,"EXPRESS ROME","A8YC2",71,257,92,27,19,12.9,"EGSUZ","10-25 19:00"
"2023-10-23 01:17:02",352002037,12.58690,43.36856,125.2,6.8,121,0,9287883,"ASPHALT ALLIANCE","3E2200",80,91,15,15,2,6.0,"PORT KALANG","11-08 05:00"
"2023-10-23 01:31:44",671828000,12.74825,43.25363,157.2,7.2,511,0,7615036,"BANYAS 1","5VEO4",70,63,9,7,6,4.5,"BERBERA","10-23 13:00"
"2023-10-23 02:03:30",563757000,12.58161,43.35649,120.4,10.7,121,0,9305300,"MAERSK UTAH","9V3588",70,219,73,16,16,12.7,"SAJED>>OMSLV","10-26 03:00"
"2023-10-23 02:04:08",671828000,12.68693,43.28013,160.2,8.1,511,0,7615036,"BANYAS 1","5VEO4",70,63,9,7,6,4.5,"BERBERA","10-23 13:00"
"2023-10-23 02:24:37",538004446,12.60570,43.41536,297.6,13.8,297,0,9595955,"SSI GLORIOUS","V7XC5",70,160,30,9,23,6.7,"ARM GUARDS ONBOARD","10-27 10:00"
"2023-10-23 03:00:29",538004446,12.70577,43.32473,332.1,13.7,334,0,9595955,"SSI GLORIOUS","V7XC5",70,160,30,9,23,6.7,"ARM GUARDS ONBOARD","10-27 10:00"
"2023-10-23 03:00:53",671828000,12.58994,43.34519,120.4,7.5,511,0,7615036,"BANYAS 1","5VEO4",70,63,9,7,6,4.5,"BERBERA","10-23 13:00"
"2023-10-23 04:33:34",205554000,12.62860,43.36079,327.7,12.7,335,0,9416848,"MINERAL NINGBO","ONGA",70,258,34,30,15,9.6,"EGSUZ","09-27 18:00"
"2023-10-23 04:44:44",431073000,12.72706,43.26740,154.1,14.2,153,0,9806081,"ONE CYGNUS","7KEP",70,142,222,40,11,14.0,"AE JEA","10-28 03:00"
"2023-10-23 04:55:02",538010450,12.63057,43.35898,312.3,13.6,316,0,9391440,"BULL SHARK","V7A6057",80,151,32,22,10,11.1,"A","10-25 12:00"
"2023-10-23 05:00:26",431073000,12.67115,43.29505,154.7,14.2,154,0,9806081,"ONE CYGNUS","7KEP",70,142,222,40,11,14.0,"AE JEA","10-28 03:00"
"2023-10-23 05:01:51",538010450,12.65255,43.34703,338.1,13.5,338,0,9391440,"BULL SHARK","V7A6057",80,151,32,22,10,11.1,"A","10-25 12:00"
"2023-10-23 05:02:43",205554000,12.72574,43.31659,331.0,13.5,333,0,9416848,"MINERAL NINGBO","ONGA",70,258,34,30,15,9.6,"EGSUZ","09-27 18:00"
"2023-10-23 05:12:24",255806100,12.73821,43.26401,157.5,12.7,154,0,9430935,"AS SICILIA","CQIY2",71,162,18,8,20,9.6,"AEJEA","10-28 03:00"
"2023-10-23 05:36:49",311000458,12.61824,43.37079,297.4,20.0,295,0,9736810,"GLOVIS SIGMA","C6CF6",70,33,167,10,26,9.9,"SA JED","10-24 15:00"
"2023-10-23 05:37:38",538004336,12.60341,43.41216,298.6,13.4,300,0,9621792,"STAR PYXIS","V7WM3",79,161,29,11,21,10.8,"SUEZ","10-27 12:00"
"2023-10-23 05:40:34",255806241,12.75847,43.25274,160.2,9.8,155,0,9504308,"CEBIHAN","CQAP7",70,167,23,11,21,13.2,"ARMED GUARD ON BOARD","11-05 12:00"
"2023-10-23 05:52:25",477510700,12.61271,43.39567,299.8,14.2,301,0,9738521,"GREAT COMFORT","VRNO7",70,170,30,11,22,7.5,"ARM GUARDS ON BOARD","10-26 18:00"
"2023-10-23 05:58:55",215497000,12.60596,43.40056,304.6,12.3,306,0,9528043,"DAYTONA","9HA2745",80,208,41,27,17,8.0,"ARMED GUARDS ONBOARD","10-27 18:00"
"2023-10-23 06:01:08",311000458,12.73628,43.30699,337.9,19.8,335,0,9736810,"GLOVIS SIGMA","C6CF6",70,33,167,10,26,9.9,"SA JED","10-24 15:00"
"2023-10-23 06:01:13",255806241,12.70760,43.27662,154.5,9.7,155,0,9504308,"CEBIHAN","CQAP7",70,167,23,11,21,13.2,"ARMED GUARD ON BOARD","11-05 12:00"
"2023-10-23 06:01:25",538004336,12.66316,43.34548,332.7,13.8,336,0,9621792,"STAR PYXIS","V7WM3",79,161,29,11,21,10.8,"SUEZ","10-27 12:00"
"2023-10-23 06:07:56",215497000,12.62416,43.37511,307.2,12.4,308,0,9528043,"DAYTONA","9HA2745",80,208,41,27,17,8.0,"ARMED GUARDS ONBOARD","10-27 18:00"
"2023-10-23 06:11:45",255806100,12.57418,43.37821,119.4,12.6,118,0,9430935,"AS SICILIA","CQIY2",71,162,18,8,20,9.6,"AEJEA","10-28 03:00"
"2023-10-23 06:20:31",241527000,12.75793,43.25279,154.1,8.9,511,0,9354985,"MEGALOCHARI  VII","SVA7807",52,14,17,6,5,5.2,"ARMED GUARD ON BOARD","10-23 17:00"
"2023-10-23 06:34:35",477510700,12.75261,43.30684,336.3,14.3,337,0,9738521,"GREAT COMFORT","VRNO7",70,170,30,11,22,7.5,"ARM GUARDS ON BOARD","10-26 18:00"
"2023-10-23 06:37:09",241870000,12.69174,43.28072,153.2,8.8,150,8,9764465,"IRAKLIS Z","SVB4375",52,17,15,8,5,6.2,"ARMED GUARD ON BOARD","10-23 17:00"
"2023-10-23 07:03:03",255806241,12.58267,43.37401,120.8,9.7,122,0,9504308,"CEBIHAN","CQAP7",70,167,23,11,21,13.2,"ARMED GUARD ON BOARD","11-05 12:00"
"2023-10-23 07:11:53",241527000,12.64125,43.30886,153.7,8.8,511,0,9354985,"MEGALOCHARI  VII","SVA7807",52,14,17,6,5,5.2,"ARMED GUARD ON BOARD","10-23 17:00"
"2023-10-23 07:13:29",241870000,12.61405,43.32164,129.8,8.7,127,8,9764465,"IRAKLIS Z","SVB4375",52,17,15,8,5,6.2,"ARMED GUARD ON BOARD","10-23 17:00"
"2023-10-23 07:28:33",566179000,12.62317,43.37748,305.2,14.9,309,0,9576765,"RUDOLF SCHULTE","9V9152",80,142,36,5,23,9.3,"ARMED GUADS ON BOARD","10-27 16:00"
"2023-10-23 07:50:02",211119000,12.73770,43.25952,152.9,15.9,153,0,9540118,"BERLIN EXPRESS","DIVZ2",70,115,285,30,31,13.5,"ESALG > SGSIN","11-01 02:00"
"2023-10-23 07:50:02",215510000,12.60489,43.40905,299.7,12.6,300,0,9865116,"SPARTO","9HA5150",80,204,46,25,19,14.3,"AERUW>EGSCN","10-27 08:00"
"2023-10-23 08:01:20",211119000,12.69266,43.28269,153.6,15.9,153,0,9540118,"BERLIN EXPRESS","DIVZ2",70,115,285,30,31,13.5,"ESALG > SGSIN","11-01 02:00"
"2023-10-23 08:03:02",566179000,12.74765,43.30676,336.7,15.0,333,0,9576765,"RUDOLF SCHULTE","9V9152",80,142,36,5,23,9.3,"ARMED GUADS ON BOARD","10-27 16:00"
"2023-10-23 08:07:09",215510000,12.64216,43.36013,315.9,12.9,318,0,9865116,"SPARTO","9HA5150",80,204,46,25,19,14.3,"AERUW>EGSCN","10-27 08:00"
"2023-10-23 08:23:57",247275300,12.62630,43.37726,300.9,13.8,299,0,9419553,"FOUR WIND","IBUN",80,207,42,17,27,12.6,"IN SIK>EG SUZ","10-27 17:00"
"2023-10-23 08:32:55",372975000,12.74871,43.23902,159.8,11.9,160,0,9512173,"CHEMROUTE OASIS","3FUW9",80,130,29,17,10,9.8,"ARMED GUARDS ONBOARD","10-28 06:00"
"2023-10-23 08:35:48",538003405,12.64163,43.35612,323.7,15.6,325,0,9422067,"GENCO HADRIAN","V7QN8",70,250,38,29,16,9.3,"ARMGUARD ON BOARD","10-27 06:00"
"2023-10-23 08:37:21",354199000,12.74428,43.26369,154.8,9.0,157,0,9581174,"HL GLADSTONE","3FMN",70,253,39,13,32,15.5,"ARMED GUARD ON BOARD","11-18 12:00"
"2023-10-23 09:01:01",354199000,12.68971,43.28658,158.3,8.9,158,0,9581174,"HL GLADSTONE","3FMN",70,253,39,13,32,15.5,"ARMED GUARD ON BOARD","11-18 12:00"
"2023-10-23 09:01:43",247275300,12.74956,43.30019,335.0,13.8,333,0,9419553,"FOUR WIND","IBUN",80,207,42,17,27,12.6,"IN SIK>EG SUZ","10-27 17:00"
"2023-10-23 09:06:41",372975000,12.65301,43.29306,145.5,11.8,145,0,9512173,"CHEMROUTE OASIS","3FUW9",80,130,29,17,10,9.8,"ARMED GUARDS ONBOARD","10-28 06:00"
"2023-10-23 09:08:16",538003405,12.77412,43.29987,333.5,15.9,332,0,9422067,"GENCO HADRIAN","V7QN8",70,250,38,29,16,9.3,"ARMGUARD ON BOARD","10-27 06:00"
"2023-10-23 09:36:22",518998649,12.60574,43.40472,300.8,14.5,300,0,9331153,"GALIAN 2","E5U4629",80,209,40,26,18,8.0,"EG SUZ","10-27 10:00"
"2023-10-23 10:04:51",518998649,12.68889,43.32633,335.8,15.2,336,0,9331153,"GALIAN 2","E5U4629",80,209,40,26,18,8.0,"EG SUZ","10-27 10:00"
"2023-10-23 10:17:29",248185000,12.76184,43.25708,156.1,9.9,157,0,9486013,"ZOGRAFIA","9HA2233",70,163,27,4,28,12.0,"SINGAPORE","11-05 09:00"
"2023-10-23 10:30:19",355142000,12.74059,43.26223,153.4,8.8,154,0,9642203,"OMISHIMA ISLAND","3FCZ5",70,171,28,7,25,13.1,"ARMED GUARD ONBOARD","11-07 08:00"
"2023-10-23 10:32:10",636022308,12.61346,43.39689,300.0,13.4,300,0,9363039,"SIVOTA","5LID6",70,251,41,25,20,15.0,"EG SUZ","10-27 20:00"
"2023-10-23 11:01:11",355142000,12.67210,43.29362,156.5,8.7,154,0,9642203,"OMISHIMA ISLAND","3FCZ5",70,171,28,7,25,13.1,"ARMED GUARD ONBOARD","11-07 08:00"
"2023-10-23 11:01:26",636022308,12.69974,43.32638,332.6,14.0,331,0,9363039,"SIVOTA","5LID6",70,251,41,25,20,15.0,"EG SUZ","10-27 20:00"
"2023-10-23 11:02:33",636014629,12.75402,43.25423,156.4,8.0,157,0,9420124,"ZHONG MAY","A8VM5",70,251,41,29,16,15.3,"GANGAVARAM","11-03 17:30"
"2023-10-23 11:04:09",538005513,12.61896,43.38916,300.6,13.6,298,0,9690846,"STI BROADWAY","V7EQ4",80,216,40,22,21,14.3,"SUEZ","10-27 13:00"
"2023-10-23 11:10:58",248185000,12.62724,43.31797,152.0,9.8,148,0,9486013,"ZOGRAFIA","9HA2233",70,163,27,4,28,12.0,"SINGAPORE","11-05 09:00"
"2023-10-23 11:24:11",538090563,12.74493,43.25358,156.6,9.3,157,0,9151917,"BARRIER","V7A4185",71,130,19,12,12,8.7,"DJJIB","10-23 19:00"
"2023-10-23 11:24:45",636021692,12.60080,43.39953,300.0,14.0,298,0,9262900,"MINERVA LYDIA","5LFF7",80,146,34,12,20,8.5,"ARMED GUARDS ONBOARD","10-28 06:00"
"2023-10-23 11:58:59",354432000,12.75867,43.25587,154.0,8.3,155,0,9249271,"NOTA APP","3FBJ2",79,167,22,13,19,12.2,"MINA SAUD","10-31 06:00"
"2023-10-23 12:00:06",636021692,12.71047,43.31477,336.0,14.8,337,0,9262900,"MINERVA LYDIA","5LFF7",80,146,34,12,20,8.5,"ARMED GUARDS ONBOARD","10-28 06:00"
"2023-10-23 12:01:43",636014629,12.63042,43.31234,151.1,8.2,147,0,9420124,"ZHONG MAY","A8VM5",70,251,41,29,16,15.3,"GANGAVARAM","11-03 17:30"
"2023-10-23 12:02:44",538090563,12.65200,43.29160,159.4,9.4,157,0,9151917,"BARRIER","V7A4185",71,130,19,12,12,8.7,"DJJIB","10-23 19:00"
"2023-10-23 12:06:10",354432000,12.74310,43.26310,155.0,8.3,155,0,9249271,"NOTA APP","3FBJ2",79,167,22,13,19,12.2,"MINA SAUD","10-31 06:00"
"2023-10-23 12:11:20",566473000,12.61291,43.38798,301.7,16.2,300,0,9713624,"EPIC SULA","9V2736",80,101,19,17,4,6.8,"JOAQJ","10-27 05:00"
"2023-10-23 12:16:27",431003000,12.60690,43.40776,301.2,16.5,301,0,9806079,"ONE APUS","7KEG",71,142,222,40,11,14.5,"EG SUZ","10-26 19:30"
"2023-10-23 12:54:51",319120100,12.60835,43.40355,297.2,14.7,297,0,9680114,"STOLT LOYALTY","ZGEY4",80,154,31,18,14,10.3,"FOR_ORDERS","10-27 15:00"
"2023-10-23 12:56:06",538010691,12.75706,43.25500,156.6,8.6,156,0,9551703,"TITANAS","V7A7270",70,160,30,23,9,12.1,"ARMED GUARDS ONBOARD","11-09 23:00"
