"DATE TIME (UTC)","MMSI","LATITUDE","LONGITUDE","COURSE","SPEED","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","AISTYPE","A","B","C","D","DRAUGHT","DESTINATION","ETA"
"2022-03-24 00:00:53",636018938,12.58633,43.37155,119.0,11.2,119,0,9350800,"ANDROS NAVIGATOR","D5SC8",70,260,30,30,17,14.4,"ARMED GUARD ONBOARD","03-29 06:00"
"2022-03-24 00:02:05",215217000,12.60214,43.32471,133.7,19.0,131,0,9410741,"CMA CGM AQUILA","9HA5018",71,273,90,18,28,11.7,"CNYSA","04-05 18:00"
"2022-03-24 00:02:27",371464000,12.59244,43.34936,117.8,7.7,120,0,9194804,"MALIHA","3FGM8",80,0,0,0,0,4.8,"FUJAIRAH","04-01 01:00"
"2022-03-24 00:02:37",371143000,12.65168,43.30130,156.0,9.9,155,0,9328560,"LT OCEAN STAR","3EPF3",70,195,30,17,15,13.6,"ARMED GUARD ONBOARD","04-06 18:00"
"2022-03-24 00:08:51",566780000,12.61272,43.33172,148.9,13.3,148,0,9348168,"MAERSK IZMIR","9V2004",71,163,70,23,10,10.2,"SA JED >OM SLL","03-26 08:30"
"2022-03-24 00:28:45",624015000,12.75491,43.25914,157.2,9.1,159,0,9617387,"ASSOSA","ETAO",70,150,16,10,17,9.9,"DJIBOUTI","03-24 12:00"
"2022-03-24 00:36:46",357463000,12.74735,43.24893,157.4,18.4,160,0,9820855,"EVER GRADE","3FZS6",70,142,257,21,38,15.3,"LKCMB","03-28 15:30"
"2022-03-24 01:01:32",538006499,12.60683,43.40599,298.7,13.6,298,0,9718753,"RUSTAQ SILVER","V7NS9",80,147,36,25,7,9.8,"SGSIN > EGSUZ","03-28 05:00"
"2022-03-24 01:04:36",357463000,12.62015,43.31538,147.7,18.5,148,0,9820855,"EVER GRADE","3FZS6",70,142,257,21,38,15.3,"LKCMB","03-28 15:30"
"2022-03-24 01:09:34",624015000,12.65680,43.30000,158.5,9.5,157,0,9617387,"ASSOSA","ETAO",70,150,16,10,17,9.9,"DJIBOUTI","03-24 12:00"
"2022-03-24 01:10:25",371829000,12.72864,43.25678,154.9,19.0,157,0,9832729,"EVER GREET","3FLF4",70,142,257,21,38,12.4,"MY PKG","03-31 14:00"
"2022-03-24 01:17:02",636014250,12.74698,43.25997,155.0,10.4,156,0,9410210,"TATAKI","A8SM5",81,230,44,17,33,15.8,"ARMS GUARD ONBOARD","03-24 11:00"
