country,name,lat,lon,notes,Unnamed: 5,Unnamed: 6,Unnamed: 7
Afghanistan,Bagram Ab,34.946222,69.264639,2014 agreement allows U.S. troops to remain at Bagram Air Base and at least eight more major installations through 2024.,Former,FormerLat,FormerLon
Afghanistan,Kandahar Airfield,31.506807,65.847511,,,,
Afghanistan,Mazar-E-Sharif,36.707497,67.209892,,,,
Afghanistan,Gardez,33.625017,69.23584,,,,
Afghanistan,Kabul,34.534477,69.150352,,,,
Afghanistan,Herat,34.345236,62.205234,,,,
Afghanistan,Shindand,33.306995,62.136453,,,,
Afghanistan,Sharab,31.537207,64.230651,,,,
Afghanistan,Jalalabad,34.3983,70.500641,,,,
American Samoa,American Samoa,-14.1646,-170.4202,"Now a small base, the military has had a presence since annexating the unicorporatedterritory in 1899",,,
Ascension Island,Ascension Island,-7.946717,-14.355916,"Air Force base with space tracking and radar functions"""," Northwest Cape""",-21.882527,114.1333
Australia,Alice Springs,-25.274398,133.77514,Facilities include a major spy base in Pine Gap and a growing marine presence in Darwin.,,,
Australia,"Darwin, Robertson Barracks",-12445.0,130.974444,,,,
The Bahamas,Andros Island,24.706381,-78.019539,Hosts the Navy's Atlantic Undersea Test and Evaluation Center. ,,,
Bahrain,Manama,26.216667,50.583333,See Al Jaz. Map for 3 locs,,,
Bahrain,Naval Support Activity Bahrain (Al Jufayr),26.211111,50.601111,"Home of Navys Middle East operations, U.S. offered tepid criticism during Bahrains violent crackdown on prodemocracy protesters.",,,
Bahrain,Isa Air Base,25.918333,50.590556,,,,
Bahrain,Mina Salman,26201.0,50607.0,prepo,,,
Belgium,Brussels,50.85034,4.35171,"Chievres, Brussels, and other locations host important bases for NATO and other operations.",,,
Belgium,Chievres,50.58597,3.80609,,,,
Belgium,Chievres Ab,50.577499,3.84,,,,
Belgium,Florennes,50.250551,4.605113,,,,
Belgium,Kleine-Brogel,51.1329,5.4536,,,,
Belgium,Mons,50.454241,3.956659,NATO Supreme Headquarters Allied Powers Europe (SHAPE),,,
British Indian Ocean Territory,Diego Garcia ,-7.1848,72244.0,"U.S., U.K. exiled Chagossian people to create base on U.K. territory; played key role in recent U.S. wars.",,,
Bulgaria,Novo Selo Training Area,42.720278,26.591944,"Novo Selo Training Area, upwards of $50 million has built some 76 facilities on 135 acres. 2006 agreement.",,,
Cambodia,"Navy Med Research Unit 2, Pnom Pehn",11.55,104.916667,ESTAB'D IN 1970, formerly in Jakarta,,
