JAHR,AnfangMITTEL 83 %,ABWEICHUNG 83 %,AnfangMITTEL 100 %,ABWEICHUNG 100 %,Blühende,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Anfang100,Ende100,Anfang2024,Ende2024,Dauer2024
2023,12.04.,1 Tag,16.04.,2 Tage,2023.0,29.04.,5 Tage,06.05.,6 Tage,2023-04-16,2023-05-06,2024-04-16,2024-05-06,20 days
2022,10.04.,-1 Tag,14.04.,0 Tage,2022.0,27.04.,3 Tage,04.05.,4 Tage,2022-04-14,2022-05-04,2024-04-14,2024-05-04,20 days
2021,12.04.,1 Tag,16.04.,2 Tage,2021.0,30.04.,6 Tage,08.05.,8 Tage,2021-04-16,2021-05-08,2024-04-16,2024-05-08,22 days
2020,03.04.,-8 Tage,06.04.,-8 Tage,2020.0,20.04.,-4 Tage,26.04.,-4 Tage,2020-04-06,2020-04-26,2024-04-06,2024-04-26,20 days
2019,02.04.,-9 Tage,06.04.,-8 Tage,2019.0,21.04.,-3 Tage,27.04.,-3 Tage,2019-04-06,2019-04-27,2024-04-06,2024-04-27,21 days
2018,12.04.,1 Tag,14.04.,0 Tage,2018.0,23.04.,-1 Tag,29.04.,-1 Tag,2018-04-14,2018-04-29,2024-04-14,2024-04-29,15 days
2017,02.04.,-9 Tage,05.04.,-9 Tage,2017.0,17.04.,-7 Tage,26.04.,-4 Tage,2017-04-05,2017-04-26,2024-04-05,2024-04-26,21 days
2016,09.04.,-2 Tage,12.04.,-2 Tage,2016.0,26.04.,2 Tage,03.05.,3 Tage,2016-04-12,2016-05-03,2024-04-12,2024-05-03,21 days
2015,15.04.,4 Tage,17.04.,3 Tage,2015.0,26.04.,2 Tage,02.05.,2 Tage,2015-04-17,2015-05-02,2024-04-17,2024-05-02,15 days
2014,29.03.,-13 Tage,31.03.,-14 Tage,2014.0,12.04.,-12 Tage,19.04.,-11 Tage,2014-03-31,2014-04-19,2024-03-31,2024-04-19,19 days
2013,21.04.,10 Tage,23.04.,9 Tage,2013.0,02.05.,8 Tage,07.05.,7 Tage,2013-04-23,2013-05-07,2024-04-23,2024-05-07,14 days
2012,05.04.,-6 Tage,09.04.,-5 Tage,2012.0,23.04.,-1 Tag,29.04.,-1 Tag,2012-04-09,2012-04-29,2024-04-09,2024-04-29,20 days
2011,06.04.,-5 Tage,08.04.,-6 Tage,2011.0,19.04.,-5 Tage,25.04.,-5 Tage,2011-04-08,2011-04-25,2024-04-08,2024-04-25,17 days
2010,10.04.,-1 Tag,13.04.,-1 Tag,2010.0,25.04.,1 Tag,30.04.,0 Tage,2010-04-13,2010-04-30,2024-04-13,2024-04-30,17 days
2009,09.04.,-2 Tage,10.04.,-4 Tage,2009.0,18.04.,-6 Tage,23.04.,-7 Tage,2009-04-10,2009-04-23,2024-04-10,2024-04-23,13 days
2008,13.04.,2 Tage,16.04.,2 Tage,2008.0,29.04.,5 Tage,05.05.,5 Tage,2008-04-16,2008-05-05,2024-04-16,2024-05-05,19 days
2007,06.04.,-5 Tage,08.04.,-6 Tage,2007.0,20.04.,-4 Tage,24.04.,-6 Tage,2007-04-08,2007-04-24,2024-04-08,2024-04-24,16 days
2006,22.04.,11 Tage,24.04.,10 Tage,2006.0,02.05.,8 Tage,07.05.,7 Tage,2006-04-24,2006-05-07,2024-04-24,2024-05-07,13 days
2005,11.04.,0 Tage,14.04.,0 Tage,2005.0,23.04.,-1 Tag,29.04.,-1 Tag,2005-04-14,2005-04-29,2024-04-14,2024-04-29,15 days
2004,08.04.,-3 Tage,11.04.,-3 Tage,,,,,,2004-04-11,,2024-04-11,,
2003,13.04.,2 Tage,16.04.,2 Tage,,,,,,2003-04-16,,2024-04-16,,
2002,03.04.,-8 Tage,07.04.,-7 Tage,,,,,,2002-04-07,,2024-04-07,,
2001,17.04.,6 Tage,21.04.,7 Tage,,,,,,2001-04-21,,2024-04-21,,
2000,12.04.,1 Tag,15.04.,1 Tag,,,,,,2000-04-15,,2024-04-15,,
1999,08.04.,-3 Tage,12.04.,-2 Tage,,,,,,1999-04-12,,2024-04-12,,
1998,08.04.,-3 Tage,12.04.,-2 Tage,,,,,,1998-04-12,,2024-04-12,,
1997,07.04.,-4 Tage,13.04.,-1 Tag,,,,,,1997-04-13,,2024-04-13,,
1996,21.04.,10 Tage,23.04.,9 Tage,,,,,,1996-04-23,,2024-04-23,,
1995,18.04.,7 Tage,21.04.,7 Tage,,,,,,1995-04-21,,2024-04-21,,
1994,16.04.,5 Tage,20.04.,6 Tage,,,,,,1994-04-20,,2024-04-20,,
1993,17.04.,6 Tage,19.04.,5 Tage,,,,,,1993-04-19,,2024-04-19,,
1992,20.04.,9 Tage,23.04.,9 Tage,,,,,,1992-04-23,,2024-04-23,,
