,JAHR,Anfang2024,Ende2024,Dauer2024
0,2023,2024-04-16,2024-05-06,20
1,2022,2024-04-14,2024-05-04,20
2,2021,2024-04-16,2024-05-08,22
3,2020,2024-04-06,2024-04-26,20
4,2019,2024-04-06,2024-04-27,21
5,2018,2024-04-14,2024-04-29,15
6,2017,2024-04-05,2024-04-26,21
7,2016,2024-04-12,2024-05-03,21
8,2015,2024-04-17,2024-05-02,15
9,2014,2024-03-31,2024-04-19,19
10,2013,2024-04-23,2024-05-07,14
11,2012,2024-04-09,2024-04-29,20
12,2011,2024-04-08,2024-04-25,17
13,2010,2024-04-13,2024-04-30,17
14,2009,2024-04-10,2024-04-23,13
15,2008,2024-04-16,2024-05-05,19
16,2007,2024-04-08,2024-04-24,16
17,2006,2024-04-24,2024-05-07,13
18,2005,2024-04-14,2024-04-29,15
