Frage 3: Welchen Politiker oder welche Politikerin sollte das Handelsblatt unbedingt interviewen? (Freitext),count
Robert Habeck,109
Habeck,103
Alice Weidel,98
Olaf Scholz,89
Friedrich Merz,88
Scholz,75
Christian Lindner,54
Sarah Wagenknecht,54
Pistorius,53
Boris Pistorius,47
Donald Trump,47
Merz,40
Sahra Wagenknecht,39
Lindner,36
Markus Söder,34
Hendrik Wüst,33
Söder,25
Putin,21
Trump,21
Carsten Linnemann,21
Wagenknecht,20
Wüst,19
Bundeskanzler Scholz,18
Hans-Georg Maaßen,17
Keinen,15
Frau Wagenknecht,14
Boris Palmer,14
Ursula von der Leyen,14
Björn Höcke,13
Angela Merkel,13
Baerbock,13
Weidel,12
Annalena Baerbock,12
Lauterbach,11
Maaßen,11
keinen,11
Herrn Habeck,11
Norbert Röttgen,11
Hans Georg Maaßen,10
Ricarda Lang,10
Harbeck,9
Joe Biden,9
Herrn Pistorius,8
Daniel Günther,8
Strack-Zimmermann,8
Gregor Gysi,8
 -,8
Frau Weidel,8
Linnemann,7
Kamala Harris,7
Cem Özdemir,7
Sara Wagenknecht,7
Marie-Agnes Strack-Zimmermann,7
Bundeskanzler,7
Röttgen,7
Höcke,7
Aiwanger,6
Meloni,6
Volker Wissing,6
Herrn Höcke,6
Boris Rhein,6
Karl Lauterbach,6
Strack Zimmermann,6
Hubert Aiwanger,6
Herrn Scholz,6
Bettina Stark-Watzinger,6
Kevin Kühnert,5
Michael Kretschmer,5
Gerhard Schröder,5
Macron,5
habeck,5
Hubertus Heil,5
Den Bundeskanzler,5
Lars Klingbeil,5
Kanzler Scholz,5
Emmanuel Macron,5
Merkel,5
Bundeskanzler Olaf Scholz,5
Maassen,4
Bosbach,4
Herrn Söder,4
S. Wagenknecht,4
Martin Sonneborn,4
Wladimir Putin,4
Vladimir Putin,4
Linda Teuteberg,4
Manuel Hagel,4
Agnes Strack-Zimmermann,4
F. Merz,4
Herrn Lindner,4
Friedrich März,4
Friedrich merz,4
Ilse Aigner,4
Finanzminister Lindner,4
Winfried Kretschmann,4
Kretschmann,4
Kubicki,4
Frau Merkel,4
Tino Chrupalla,4
Dr. Alice Weidel,4
Frau Baerbock,4
Konstantin Kuhle,4
BK Scholz,3
"Habeck,",3
Sigmar Gabriel,3
Wolfgang Bosbach,3
Von der Leyen,3
Frau Dr. Weidel,3
Dr. Hans-Georg Maaßen,3
./.,3
Habeck und Lindner,3
weidel,3
Felix Banaszak,3
Keine,3
MP Wüst,3
Präsident Macron,3
Emanuel Macron,3
Gabriel Attal,3
Fabio De Masi,3
SCHOLZ,3
Michelle Obama,3
Alle,3
Biden,3
Olaf scholz,3
Habek,3
"die bürgermeister*innen der gemeinden des Modellvorhabens LANDSTADT Bayern des StMB; 
die bürgermeister*innen diverser projekte der ExWoSt-Midellvorhaben des BBSR",3
Gerhard Baum,3
Robert Harbeck,3
Verteidigungsminister,3
?,3
März,3
D. Trump,3
Bernie Sanders,3
Massen,3
Dr. Norbert Röttgen,3
