Frage 3: Welchen Politiker oder welche Politikerin sollte das Handelsblatt unbedingt interviewen? (Freitext),count
Olaf Scholz,21
Habeck,20
Scholz,18
Alice Weidel,15
Lindner,14
Friedrich Merz,14
Pistorius,12
Trump,10
Merz,9
Robert Habeck,9
Söder,9
Christian Lindner,8
Donald Trump,8
Sarah Wagenknecht,7
Markus Söder,7
Putin,7
Sahra Wagenknecht,7
Baerbock,6
Hendrik Wüst,5
Gregor Gysi,5
Boris Pistorius,5
Harbeck,4
Keinen,4
Ricarda Lang,4
Bodo Ramelow,3
Wüst,3
Weidel,3
Karl Lauterbach,3
Angela Merkel,3
