Frage 3: Welchen Politiker oder welche Politikerin sollte das Handelsblatt unbedingt interviewen? (Freitext),count
Alice Weidel,30
Habeck,25
Robert Habeck,25
Sarah Wagenknecht,24
Olaf Scholz,24
Friedrich Merz,24
Boris Pistorius,16
Christian Lindner,15
Lindner,15
Markus Söder,13
Pistorius,13
Scholz,12
Donald Trump,9
Sahra Wagenknecht,9
Merz,9
Söder,8
Keinen,6
Wüst,5
Ricarda Lang,5
Baerbock,5
Hendrik Wüst,5
Sahara Wagenknecht,4
Carsten Linnemann,4
Daniel Günther,4
Herrn Pistorius,3
Macron,3
Annalena Baerbock,3
Volker Wissing,3
Wagenknecht,3
Björn Höcke,3
Weidel,3
Hans-Georg Maaßen,3
Bundeskanzler Scholz,3
Boris Rhein,3
Dr. Alice Weidel,3
Hans Georg Maaßen,3
Gregor Gysi,3
Sarah wagenknecht,3
Norbert Röttgen,3
keinen,3
Robert Habek,3
