rasterColumn,count,sum,mean,sum_area_weighted
viirs_nas_201201,4030,193179.6,47.93538,110829.25
viirs_nas_201202,4079,143313.1,35.13437,82220.29
viirs_nas_201203,4045,128835.1,31.85046,73914.11
viirs_nas_201204,3926,84636.7,21.558,48557
viirs_nas_201205,,,
viirs_nas_201206,,,
viirs_nas_201207,,,
viirs_nas_201208,4056,72865.3,17.96482,41803.62
viirs_nas_201209,4051,70718.3,17.457,40571.86
viirs_nas_201210,4067,78998.4,19.42424,45322.25
viirs_nas_201211,3294,80060.8,24.30504,45931.76
viirs_nas_201212,3894,144796.8,37.18459,83071.51
viirs_nas_201301,3900,130747.8,33.52508,75011.44
viirs_nas_201302,3954,140320.6,35.48827,80503.46
viirs_nas_201303,3906,175856.4,45.02212,100890.74
viirs_nas_201304,4100,77796.2,18.97468,44632.53
viirs_nas_201305,,,
viirs_nas_201306,,,
viirs_nas_201307,,,
viirs_nas_201308,4099,88606.4,21.61659,50834.46
viirs_nas_201309,4084,82642.6,20.2357,47412.96
viirs_nas_201310,4083,81731,20.01739,46889.97
viirs_nas_201311,4023,86404.2,21.47755,49571.03
viirs_nas_201312,4056,159291.6,39.27308,91387.33
viirs_nas_201401,4055,196219.1,48.38942,112573.04
viirs_nas_201402,4007,174555.4,43.56262,100144.34
viirs_nas_201403,4035,105836.2,26.22954,60719.38
viirs_nas_201404,4056,123768.3,30.51487,71007.23
viirs_nas_201405,,,
viirs_nas_201406,,,
viirs_nas_201407,,,
viirs_nas_201408,4096,82020.7,20.02458,47056.17
viirs_nas_201409,4096,83345.2,20.34795,47816.05
viirs_nas_201410,4070,87549.6,21.51096,50228.16
viirs_nas_201411,4070,114443.4,28.11877,65657.43
viirs_nas_201412,4004,137530.1,34.34818,78902.52
viirs_nas_201501,4006,131121.5,32.73128,75225.84
viirs_nas_201502,4058,118407.9,29.17888,67931.91
viirs_nas_201503,4080,103438.8,25.35265,59343.97
viirs_nas_201504,4100,91467,22.30902,52475.62
viirs_nas_201505,2569,97027.4,37.76855,55665.68
viirs_nas_201506,,,
viirs_nas_201507,,,
viirs_nas_201508,4079,93773.3,22.98929,53798.77
viirs_nas_201509,4091,76860.4,18.78768,44095.65
viirs_nas_201510,4019,98088.8,24.40627,56274.62
viirs_nas_201511,4065,239086.7,58.81592,137166.65
viirs_nas_201512,4030,155876.4,38.67901,89427.99
viirs_nas_201601,3938,140048.5,35.56336,80347.36
viirs_nas_201602,4059,145346.6,35.80847,83386.93
viirs_nas_201603,3962,126483.7,31.9242,72565.08
viirs_nas_201604,4100,131851.7,32.15895,75644.76
viirs_nas_201605,589,8269.2,14.03939,4744.13
viirs_nas_201606,,,
viirs_nas_201607,,,
viirs_nas_201608,4099,90827,22.15833,52108.44
viirs_nas_201609,4092,73168.2,17.88079,41977.4
viirs_nas_201610,4066,132060,32.47909,75764.27
viirs_nas_201611,4006,203173,50.71717,116562.57
viirs_nas_201612,4032,158327.8,39.26781,90834.39
viirs_nas_201701,4020,153363.2,38.15005,87986.14
viirs_nas_201702,3922,155152.4,39.55951,89012.63
viirs_nas_201703,4078,132457.5,32.481,75992.32
viirs_nas_201704,4069,141024.9,34.65837,80907.53
viirs_nas_201705,,,
viirs_nas_201706,,,
viirs_nas_201707,,,
viirs_nas_201708,4088,77771.2,19.02427,44618.19
viirs_nas_201709,4092,72790,17.78837,41760.42
viirs_nas_201710,3995,96126.3,24.06165,55148.71
viirs_nas_201711,3794,103014.8,27.15203,59100.72
viirs_nas_201712,4032,152983.6,37.94236,87768.36
viirs_nas_201801,4052,175632.1,43.34455,100762.06
viirs_nas_201802,4040,192141.7,47.55983,110233.79
viirs_nas_201803,4051,162989.8,40.23446,93509.03
viirs_nas_201804,4097,129779,31.67659,74455.63
viirs_nas_201805,,,
viirs_nas_201806,,,
viirs_nas_201807,,,
viirs_nas_201808,4100,79807,19.46512,45786.15
viirs_nas_201809,4094,93608.3,22.86475,53704.1
viirs_nas_201810,4093,110261.3,26.93899,63258.11
viirs_nas_201811,4030,140365.4,34.83012,80529.16
viirs_nas_201812,4070,187470,46.06143,107553.59
viirs_nas_201901,3991,180654.3,45.26542,103643.35
viirs_nas_201902,3983,183896,46.17022,105503.15
viirs_nas_201903,4072,144624.2,35.51675,82972.48
