rasterColumn,count,sum,mean,sum_area_weighted
viirs_nas_201201,2983,197428.8,66.18465,110985.93
viirs_nas_201202,3145,134676.9,42.82254,75709.52
viirs_nas_201203,3143,84240.3,26.80251,47356.25
viirs_nas_201204,3143,74996.2,23.86134,42159.62
viirs_nas_201205,,,
viirs_nas_201206,,,
viirs_nas_201207,,,
viirs_nas_201208,3121,64738.4,20.74284,36393.13
viirs_nas_201209,3141,58436.7,18.60449,32850.58
viirs_nas_201210,3134,61168.2,19.51761,34386.11
viirs_nas_201211,2795,89352.7,31.96877,50230.22
viirs_nas_201212,2941,171162.3,58.19867,96220.04
viirs_nas_201301,2929,101072.8,34.50761,56818.75
viirs_nas_201302,2797,121168.2,43.32077,68115.52
viirs_nas_201303,3062,111068.4,36.27315,62437.85
viirs_nas_201304,3143,78114.1,24.85336,43912.37
viirs_nas_201305,,,
viirs_nas_201306,,,
viirs_nas_201307,,,
viirs_nas_201308,3076,74700.7,24.28501,41993.5
viirs_nas_201309,3145,60199.4,19.1413,33841.5
viirs_nas_201310,3138,67349.3,21.46249,37860.86
viirs_nas_201311,3140,129534.2,41.25293,72818.52
viirs_nas_201312,2659,168980,63.55021,94993.24
viirs_nas_201401,3002,150279.9,50.05993,84480.85
viirs_nas_201402,3048,152168.9,49.92418,85542.77
viirs_nas_201403,3144,73439.9,23.35875,41284.73
viirs_nas_201404,3145,81007.8,25.75765,45539.08
viirs_nas_201405,,,
viirs_nas_201406,,,
viirs_nas_201407,,,
viirs_nas_201408,3145,75861.8,24.1214,42646.22
viirs_nas_201409,3145,65638.1,20.87062,36898.9
viirs_nas_201410,3143,105575.2,33.59058,59349.81
viirs_nas_201411,3143,105696,33.62902,59417.72
viirs_nas_201412,3136,160423.3,51.15539,90183.04
viirs_nas_201501,3142,133024.3,42.33746,74780.5
viirs_nas_201502,3141,107463.9,34.21328,60411.55
viirs_nas_201503,3142,97911.7,31.16222,55041.72
viirs_nas_201504,3145,75776.6,24.09431,42598.32
viirs_nas_201505,,,
viirs_nas_201506,,,
viirs_nas_201507,,,
viirs_nas_201508,3145,67967.4,21.61126,38208.33
viirs_nas_201509,3145,60949.5,19.37981,34263.17
viirs_nas_201510,3144,69289.2,22.03855,38951.39
viirs_nas_201511,3144,138478.2,44.04523,77846.45
viirs_nas_201512,3117,121363,38.93584,68225.03
viirs_nas_201601,3134,194505.4,62.06299,109342.52
viirs_nas_201602,3138,153216.7,48.82623,86131.8
viirs_nas_201603,3145,65840.2,20.93488,37012.51
viirs_nas_201604,3142,73334.1,23.33994,41225.26
viirs_nas_201605,,,
viirs_nas_201606,,,
viirs_nas_201607,,,
viirs_nas_201608,3143,70226.9,22.34391,39478.52
viirs_nas_201609,3145,61308.5,19.49396,34464.98
viirs_nas_201610,3145,81440.5,25.89523,45782.32
viirs_nas_201611,2691,80042.7,29.74459,44996.54
viirs_nas_201612,3053,81200.2,26.59686,45647.24
viirs_nas_201701,2983,109614.3,36.74633,61620.41
viirs_nas_201702,3092,88348.9,28.57338,49665.93
viirs_nas_201703,3145,75738.2,24.0821,42576.74
viirs_nas_201704,3145,73213.8,23.27943,41157.63
viirs_nas_201705,,,
viirs_nas_201706,,,
viirs_nas_201707,,,
viirs_nas_201708,3145,68927.2,21.91644,38747.89
viirs_nas_201709,3091,53479.7,17.30175,30063.97
viirs_nas_201710,3144,62343.3,19.82929,35046.7
viirs_nas_201711,3086,70632,22.88788,39706.25
viirs_nas_201712,3019,106019.9,35.11756,59599.8
viirs_nas_201801,3062,167660.4,54.75519,94251.42
viirs_nas_201802,3068,126894.2,41.36056,71334.43
viirs_nas_201803,3143,77139,24.54311,43364.21
viirs_nas_201804,3145,79766.4,25.36293,44841.22
viirs_nas_201805,,,
viirs_nas_201806,,,
viirs_nas_201807,,,
viirs_nas_201808,3145,65537.9,20.83876,36842.57
viirs_nas_201809,3145,54934.7,17.46731,30881.91
viirs_nas_201810,3145,64206.4,20.41539,36094.06
viirs_nas_201811,3123,127758.6,40.90893,71820.35
viirs_nas_201812,3070,176715,57.56189,99341.52
viirs_nas_201901,3082,144816.1,46.9877,81409.34
viirs_nas_201902,3118,201058,64.483,113026.1
viirs_nas_201903,3144,79704.2,25.35121,44806.25
viirs_nas_201904,3143,80764.7,25.69669,45402.42
viirs_nas_201905,,,
viirs_nas_201906,,,
viirs_nas_201907,,,
viirs_nas_201908,3145,76460.6,24.3118,42982.84
viirs_nas_201909,3145,68194.3,21.6834,38335.88
viirs_nas_201910,3145,71235.7,22.65046,40045.63
viirs_nas_201911,3136,121423.7,38.71929,68259.15
viirs_nas_201912,3085,132380.5,42.91102,74418.59
viirs_nas_202001,3069,146855,47.85109,82555.52
viirs_nas_202002,3090,153627.2,49.71754,86362.56
viirs_nas_202003,3141,102268.2,32.55912,57490.76
viirs_nas_202004,3145,80353.4,25.54957,45171.2
viirs_nas_202005,,,
viirs_nas_202006,,,
viirs_nas_202007,,,
viirs_nas_202008,3145,75044,23.86137,42186.49
viirs_nas_202009,3145,63253.3,20.11234,35558.27
viirs_nas_202010,3119,75497,24.20551,42441.15
viirs_nas_202011,3144,99859.1,31.7618,56136.46
viirs_nas_202012,2996,168536.3,56.25377,94743.81
viirs_nas_202101,2974,152552.1,51.29526,85758.19
viirs_nas_202102,2967,146267.2,49.29801,82225.09
viirs_nas_202103,3138,104491.9,33.29888,58740.82
viirs_nas_202104,3143,82370.9,26.20773,46305.35
viirs_nas_202105,,,
viirs_nas_202106,,,
viirs_nas_202107,,,
viirs_nas_202108,3145,77047,24.49825,43312.49
viirs_nas_202109,3145,66553.1,21.16156,37413.27
viirs_nas_202110,3145,72506.7,23.05459,40760.13
viirs_nas_202111,3030,129210.9,42.64386,72636.78
viirs_nas_202112,3046,171078.8,56.16507,96173.1
viirs_nas_202201,3068,158436.7,51.64169,89066.25
viirs_nas_202202,3044,149841.1,49.22507,84234.18
viirs_nas_202203,3144,103110.9,32.79609,57964.48
viirs_nas_202204,3144,91472.4,29.09427,51421.82
viirs_nas_202205,,,
viirs_nas_202206,,,
viirs_nas_202207,,,
viirs_nas_202208,3141,81684.1,26.00576,45919.27
viirs_nas_202209,3145,71201.1,22.63946,40026.18
viirs_nas_202210,3145,78027.5,24.81002,43863.68
viirs_nas_202211,3143,94609.8,30.10175,53185.53
viirs_nas_202212,3050,218104.6,71.5097,122608.97
viirs_nas_202301,3029,181970.5,60.0761,102295.94
viirs_nas_202302,2950,172349.2,58.42346,96887.26
viirs_nas_202303,3145,116584.4,37.06976,65538.7
viirs_nas_202304,3141,126887.6,40.3972,71330.72
viirs_nas_202305,,,
viirs_nas_202306,,,
viirs_nas_202307,,,
viirs_nas_202308,3145,79318.7,25.22057,44589.54
viirs_nas_202309,3145,72540.6,23.06537,40779.19
viirs_nas_202310,3145,77764.7,24.72645,43715.95
viirs_nas_202311,3111,183759.6,59.0677,103301.69
viirs_nas_202312,3023,212035.1,70.14062,119196.96
viirs_nas_202401,3076,194556.7,63.2499,109371.36
viirs_nas_202402,3098,195909.5,63.23741,110131.84
viirs_nas_202403,3117,164947.1,52.91854,92726.12
