rasterColumn,count,sum,mean,sum_area_weighted
viirs_nas_201201,3888,173757.9,44.69082,102715.95
viirs_nas_201202,3844,120143.2,31.25473,71021.94
viirs_nas_201203,3881,105185,27.10255,62179.49
viirs_nas_201204,3889,55389.9,14.24271,32743.41
viirs_nas_201205,,,
viirs_nas_201206,,,
viirs_nas_201207,,,
viirs_nas_201208,3887,72866,18.74608,43074.3
viirs_nas_201209,3882,58583.6,15.09109,34631.35
viirs_nas_201210,3890,57959.5,14.89961,34262.41
viirs_nas_201211,3694,52830.4,14.30168,31230.38
viirs_nas_201212,3871,69412.1,17.93131,41032.55
viirs_nas_201301,3519,70630.9,20.0713,41753.04
viirs_nas_201302,3611,52543.4,14.55093,31060.72
viirs_nas_201303,3778,90927.4,24.0676,53751.19
viirs_nas_201304,3883,93266.6,24.01921,55134
viirs_nas_201305,,,
viirs_nas_201306,,,
viirs_nas_201307,,,
viirs_nas_201308,3890,74415,19.12982,43989.98
viirs_nas_201309,3890,59890.4,15.39599,35403.85
viirs_nas_201310,3665,63056.9,17.20516,37275.71
viirs_nas_201311,3745,65829.8,17.57805,38914.89
viirs_nas_201312,3515,136208.3,38.75058,80518.73
viirs_nas_201401,3837,61021.4,15.90341,36072.44
viirs_nas_201402,3721,80315.3,21.58433,47477.91
viirs_nas_201403,3890,78732.1,20.23961,46542.01
viirs_nas_201404,3890,77759.7,19.98964,45967.18
viirs_nas_201405,,,
viirs_nas_201406,,,
viirs_nas_201407,,,
viirs_nas_201408,3890,69797.4,17.94278,41260.32
viirs_nas_201409,3890,68271.5,17.55051,40358.29
viirs_nas_201410,3889,83322.5,21.42517,49255.6
viirs_nas_201411,3845,64313.6,16.72655,38018.6
viirs_nas_201412,3765,109964.9,29.20714,65005.1
viirs_nas_201501,3710,141503.2,38.14102,83648.77
viirs_nas_201502,3696,79216.7,21.43309,46828.48
viirs_nas_201503,3889,84704.7,21.78059,50072.68
viirs_nas_201504,3890,75259.5,19.34692,44489.21
viirs_nas_201505,,,
viirs_nas_201506,,,
viirs_nas_201507,,,
viirs_nas_201508,3890,71006.7,18.25365,41975.19
viirs_nas_201509,3890,68017.6,17.48524,40208.2
viirs_nas_201510,3890,69680.4,17.9127,41191.15
viirs_nas_201511,3836,86639.6,22.58592,51216.48
viirs_nas_201512,3805,95440.2,25.08284,56418.91
viirs_nas_201601,3753,117206.5,31.23008,69285.92
viirs_nas_201602,3814,94858,24.871,56074.74
viirs_nas_201603,3880,88140.7,22.71668,52103.85
viirs_nas_201604,3890,75600.4,19.43455,44690.73
viirs_nas_201605,,,
viirs_nas_201606,,,
viirs_nas_201607,,,
viirs_nas_201608,3890,62536.5,16.07622,36968.08
viirs_nas_201609,3890,55452.5,14.25514,32780.42
viirs_nas_201610,3890,59404.4,15.27105,35116.56
viirs_nas_201611,3785,84800.8,22.40444,50129.49
viirs_nas_201612,3704,88097.7,23.78448,52078.43
viirs_nas_201701,3785,82453.6,21.78431,48741.95
viirs_nas_201702,3740,76062.6,20.33759,44963.95
viirs_nas_201703,3889,82423,21.19388,48723.87
viirs_nas_201704,3884,73910.7,19.02953,43691.87
viirs_nas_201705,,,
viirs_nas_201706,,,
viirs_nas_201707,,,
viirs_nas_201708,3890,69410.7,17.84337,41031.72
viirs_nas_201709,3890,58686.4,15.08648,34692.12
viirs_nas_201710,3859,56752,14.7064,33548.61
viirs_nas_201711,3796,54489.3,14.3544,32211.03
viirs_nas_201712,3456,88571.4,25.6283,52358.46
viirs_nas_201801,3654,78877.7,21.58667,46628.08
viirs_nas_201802,3816,105862.7,27.7418,62580.1
viirs_nas_201803,3819,107733.7,28.20992,63686.14
viirs_nas_201804,3890,78924.5,20.28907,46655.75
viirs_nas_201805,,,
viirs_nas_201806,,,
viirs_nas_201807,,,
viirs_nas_201808,3890,68500.6,17.60941,40493.72
viirs_nas_201809,3890,59254.7,15.23257,35028.06
viirs_nas_201810,3890,62203.7,15.99067,36771.35
viirs_nas_201811,3890,72215.9,18.5645,42690
viirs_nas_201812,3685,153425.2,41.63506,90696.39
viirs_nas_201901,3413,81652.1,23.92385,48268.15
viirs_nas_201902,3636,71383.9,19.63254,42198.17
viirs_nas_201903,3889,96015.4,24.68897,56758.93
viirs_nas_201904,3890,80978.3,20.81704,47869.84
viirs_nas_201905,,,
viirs_nas_201906,,,
viirs_nas_201907,,,
viirs_nas_201908,3890,71955.4,18.49753,42536.01
viirs_nas_201909,3890,64190.6,16.50144,37945.89
viirs_nas_201910,3889,60370,15.52327,35687.37
viirs_nas_201911,3890,67698.6,17.40324,40019.62
viirs_nas_201912,3889,53538.2,13.76657,31648.79
viirs_nas_202001,3856,108678.4,28.18423,64244.59
viirs_nas_202002,3863,115027.9,29.77683,67998.06
viirs_nas_202003,3890,74105,19.05013,43806.73
viirs_nas_202004,3890,73117.8,18.79635,43223.15
viirs_nas_202005,,,
viirs_nas_202006,,,
viirs_nas_202007,,,
viirs_nas_202008,3890,71478.7,18.37499,42254.21
viirs_nas_202009,3890,63135.3,16.23015,37322.06
viirs_nas_202010,3890,65000.9,16.70974,38424.9
viirs_nas_202011,3890,64053.6,16.46622,37864.9
viirs_nas_202012,3885,146784.5,37.78237,86770.78
viirs_nas_202101,3767,104763,27.81072,61930.02
viirs_nas_202102,3810,189956.5,49.85735,112291.65
viirs_nas_202103,3882,139957.3,36.05289,82734.92
viirs_nas_202104,3890,103563.1,26.6229,61220.71
viirs_nas_202105,,,
viirs_nas_202106,,,
viirs_nas_202107,,,
viirs_nas_202108,3890,62730.5,16.12609,37082.76
viirs_nas_202109,3890,53957.7,13.87087,31896.77
viirs_nas_202110,3890,57885.6,14.88062,34218.73
viirs_nas_202111,3261,115549,35.43361,68306.1
viirs_nas_202112,3736,97638.8,26.13458,57718.6
viirs_nas_202201,3556,136809.4,38.47283,80874.06
viirs_nas_202202,3763,65347.6,17.36583,38629.84
viirs_nas_202203,3878,99958.2,25.77571,59089.69
viirs_nas_202204,3890,79153.6,20.34797,46791.18
viirs_nas_202205,,,
viirs_nas_202206,,,
viirs_nas_202207,,,
viirs_nas_202208,3890,70617,18.15347,41744.82
viirs_nas_202209,3890,59603.5,15.32224,35234.25
viirs_nas_202210,3890,65504.8,16.83928,38722.77
viirs_nas_202211,3863,79378.3,20.54836,46924.01
viirs_nas_202212,3790,90336.8,23.83557,53402.06
viirs_nas_202301,3821,138672,36.29207,81975.13
viirs_nas_202302,3493,86236.7,24.68843,50978.31
viirs_nas_202303,3843,115175.4,29.97018,68085.25
viirs_nas_202304,3890,93122.2,23.93887,55048.63
viirs_nas_202305,,,
viirs_nas_202306,,,
viirs_nas_202307,,,
viirs_nas_202308,3890,71775.6,18.45131,42429.72
viirs_nas_202309,3890,70239.4,18.0564,41521.6
viirs_nas_202310,3889,80132.4,20.60489,47369.79
viirs_nas_202311,3879,104159.1,26.85205,61573.03
viirs_nas_202312,3493,143737.5,41.15016,84969.57
viirs_nas_202401,3591,119832.7,33.37029,70838.39
viirs_nas_202402,3701,100382.8,27.12316,59340.69
viirs_nas_202403,3875,108312.5,27.95161,64028.29
