rasterColumn,count,sum,mean,sum_area_weighted
viirs_nas_201201,4201,131974.4,31.415,80021.36
viirs_nas_201202,4206,84200.7,20.01919,51054.25
viirs_nas_201203,4154,78809.8,18.97203,47785.54
viirs_nas_201204,4173,62641.4,15.01112,37981.99
viirs_nas_201205,2600,52586,20.22538,31885
viirs_nas_201206,,,
viirs_nas_201207,410,9319.3,22.73,5650.66
viirs_nas_201208,4205,59494.9,14.14861,36074.14
viirs_nas_201209,4207,52170.3,12.40083,31632.94
viirs_nas_201210,4205,46723.4,11.11139,28330.27
viirs_nas_201211,3766,33416.2,8.87313,20261.58
viirs_nas_201212,4165,79624.1,19.11743,48279.28
viirs_nas_201301,4144,95088,22.94595,57655.66
viirs_nas_201302,4191,96924,23.1267,58768.9
viirs_nas_201303,4208,80695.4,19.17666,48928.85
viirs_nas_201304,4221,59905.2,14.19218,36322.92
viirs_nas_201305,4185,82673.8,19.75479,50128.43
viirs_nas_201306,,,
viirs_nas_201307,,,
viirs_nas_201308,4210,62042,14.73682,37618.55
viirs_nas_201309,4172,54122.3,12.97275,32816.52
viirs_nas_201310,4171,56710,13.59626,34385.54
viirs_nas_201311,4182,58983.9,14.10423,35764.3
viirs_nas_201312,4060,71016.1,17.49165,43059.9
viirs_nas_201401,4159,82051.1,19.72856,49750.87
viirs_nas_201402,4158,71564.5,17.21128,43392.42
viirs_nas_201403,4211,88260.8,20.95958,53516.06
viirs_nas_201404,4201,72191.5,17.18436,43772.6
viirs_nas_201405,1263,5195.8,4.11386,3150.42
viirs_nas_201406,,,
viirs_nas_201407,,,
viirs_nas_201408,4211,59776.8,14.19539,36245.07
viirs_nas_201409,4216,55903.5,13.25984,33896.53
viirs_nas_201410,4143,56169,13.55757,34057.51
viirs_nas_201411,4215,62241,14.76655,37739.21
viirs_nas_201412,4196,96000.9,22.87915,58209.19
viirs_nas_201501,4190,107465.9,25.64819,65160.88
viirs_nas_201502,4204,84350,20.06422,51144.78
viirs_nas_201503,4221,76475.8,18.11793,46370.34
viirs_nas_201504,4221,60949.9,14.43968,36956.36
viirs_nas_201505,3417,61943.7,18.12809,37558.94
viirs_nas_201506,,,
viirs_nas_201507,,,
viirs_nas_201508,4216,59307.7,14.06729,35960.63
viirs_nas_201509,4222,55941.8,13.25007,33919.75
viirs_nas_201510,4209,63850.6,15.17002,38715.17
viirs_nas_201511,4093,129515.4,31.64315,78530.37
viirs_nas_201512,3928,104441.6,26.589,63327.12
viirs_nas_201601,4046,93508.4,23.11132,56697.89
viirs_nas_201602,4198,79574.7,18.95538,48249.33
viirs_nas_201603,4198,93213.7,22.20431,56519.2
viirs_nas_201604,4220,68853.2,16.31592,41748.45
viirs_nas_201605,3492,63391.3,18.15329,38436.68
viirs_nas_201606,,,
viirs_nas_201607,,,
viirs_nas_201608,4207,56810.4,13.50378,34446.42
viirs_nas_201609,4215,48532.3,11.51419,29427.08
viirs_nas_201610,4181,66501.4,15.90562,40322.46
viirs_nas_201611,4196,74025.3,17.64187,44884.5
viirs_nas_201612,4092,105390.5,25.75525,63902.48
viirs_nas_201701,4036,77630.2,19.23444,47070.3
viirs_nas_201702,3812,72888.1,19.1207,44194.97
viirs_nas_201703,4214,97505.6,23.13849,59121.55
viirs_nas_201704,4218,71576.5,16.9693,43399.7
viirs_nas_201705,3128,76434.3,24.43552,46345.18
viirs_nas_201706,,,
viirs_nas_201707,,,
viirs_nas_201708,4221,60635.3,14.36515,36765.61
viirs_nas_201709,4213,52967.8,12.57247,32116.5
viirs_nas_201710,4187,65660.2,15.68192,39812.41
viirs_nas_201711,4073,49801.3,12.22718,30196.52
viirs_nas_201712,4075,83581,20.51067,50678.51
viirs_nas_201801,4166,75831.6,18.2025,45979.73
viirs_nas_201802,4167,89380.1,21.44951,54194.73
viirs_nas_201803,4160,85453.5,20.54171,51813.88
