rasterColumn,count,sum,mean,sum_area_weighted
viirs_nas_201201,233,692.2,2.97082,399.5
viirs_nas_201202,234,510.3,2.18077,294.52
viirs_nas_201203,234,459.5,1.96368,265.2
viirs_nas_201204,234,418.9,1.79017,241.77
viirs_nas_201205,,,
viirs_nas_201206,,,
viirs_nas_201207,,,
viirs_nas_201208,234,358.9,1.53376,207.14
viirs_nas_201209,234,315.9,1.35,182.32
viirs_nas_201210,234,300.6,1.28462,173.49
viirs_nas_201211,234,183.2,0.78291,105.73
viirs_nas_201212,232,401.1,1.72888,231.49
viirs_nas_201301,233,344.7,1.4794,198.94
viirs_nas_201302,234,439.7,1.87906,253.77
viirs_nas_201303,234,536.8,2.29402,309.81
viirs_nas_201304,234,416.5,1.77991,240.38
viirs_nas_201305,61,169.3,2.77541,97.71
viirs_nas_201306,,,
viirs_nas_201307,,,
viirs_nas_201308,234,365.8,1.56325,211.12
viirs_nas_201309,234,333.7,1.42607,192.59
viirs_nas_201310,234,289.7,1.23803,167.2
viirs_nas_201311,234,308.2,1.31709,177.88
viirs_nas_201312,234,355.6,1.51966,205.23
viirs_nas_201401,226,203.6,0.90088,117.51
viirs_nas_201402,231,250.7,1.08528,144.69
viirs_nas_201403,232,297.6,1.28276,171.76
viirs_nas_201404,234,440.8,1.88376,254.41
viirs_nas_201405,234,866.1,3.70128,499.86
viirs_nas_201406,,,
viirs_nas_201407,,,
viirs_nas_201408,234,475.5,2.03205,274.43
viirs_nas_201409,234,394,1.68376,227.39
viirs_nas_201410,231,404.6,1.75152,233.51
viirs_nas_201411,234,513.4,2.19402,296.31
viirs_nas_201412,233,563,2.41631,324.93
viirs_nas_201501,234,582.5,2.48932,336.19
viirs_nas_201502,233,607.6,2.60773,350.67
viirs_nas_201503,234,596.1,2.54744,344.04
viirs_nas_201504,234,485.6,2.07521,280.26
viirs_nas_201505,,,
viirs_nas_201506,,,
viirs_nas_201507,,,
viirs_nas_201508,234,437.2,1.86838,252.33
viirs_nas_201509,234,447.5,1.91239,258.27
viirs_nas_201510,234,451.4,1.92906,260.52
viirs_nas_201511,234,468.4,2.00171,270.33
viirs_nas_201512,230,437.8,1.90348,252.67
viirs_nas_201601,229,482.4,2.10655,278.41
viirs_nas_201602,226,529.5,2.34292,305.6
viirs_nas_201603,234,474,2.02564,273.57
viirs_nas_201604,234,531.2,2.27009,306.58
viirs_nas_201605,,,
viirs_nas_201606,,,
viirs_nas_201607,,,
viirs_nas_201608,234,485.6,2.07521,280.26
viirs_nas_201609,234,444.5,1.89957,256.54
viirs_nas_201610,234,448.6,1.91709,258.91
viirs_nas_201611,234,484.3,2.06966,279.51
viirs_nas_201612,234,515.8,2.20427,297.69
viirs_nas_201701,232,517.5,2.2306,298.67
viirs_nas_201702,198,473.4,2.39091,273.22
viirs_nas_201703,234,634.4,2.71111,366.14
viirs_nas_201704,234,738.4,3.15556,426.16
viirs_nas_201705,,,
viirs_nas_201706,,,
viirs_nas_201707,,,
viirs_nas_201708,234,536.2,2.29145,309.46
viirs_nas_201709,234,475.8,2.03333,274.61
viirs_nas_201710,234,445.2,1.90256,256.94
viirs_nas_201711,234,467.9,1.99957,270.05
viirs_nas_201712,228,628.7,2.75746,362.85
viirs_nas_201801,232,550.7,2.37371,317.83
viirs_nas_201802,231,713.8,3.09004,411.97
viirs_nas_201803,233,776.3,3.33176,448.04
viirs_nas_201804,234,607.7,2.59701,350.73
viirs_nas_201805,228,533.7,2.34079,308.02
viirs_nas_201806,,,
viirs_nas_201807,,,
viirs_nas_201808,234,533.1,2.27821,307.68
