rasterColumn,count,sum,mean,sum_area_weighted
viirs_nas_201201,3,18.9,6.3,16.65
viirs_nas_201202,3,15.8,5.26667,13.92
viirs_nas_201203,3,10.1,3.36667,8.9
viirs_nas_201204,3,9.1,3.03333,8.02
viirs_nas_201205,,,
viirs_nas_201206,,,
viirs_nas_201207,,,
viirs_nas_201208,3,5.7,1.9,5.02
viirs_nas_201209,3,3.9,1.3,3.44
viirs_nas_201210,3,4,1.33333,3.52
viirs_nas_201211,3,3.4,1.13333,3
viirs_nas_201212,3,9.6,3.2,8.46
viirs_nas_201301,3,3.2,1.06667,2.82
viirs_nas_201302,3,8.5,2.83333,7.49
viirs_nas_201303,3,9.1,3.03333,8.02
viirs_nas_201304,3,7.4,2.46667,6.52
viirs_nas_201305,,,
viirs_nas_201306,,,
viirs_nas_201307,,,
viirs_nas_201308,3,7.2,2.4,6.34
viirs_nas_201309,3,6.6,2.2,5.81
viirs_nas_201310,3,6.1,2.03333,5.37
viirs_nas_201311,3,5.4,1.8,4.76
viirs_nas_201312,3,11.7,3.9,10.31
viirs_nas_201401,3,6.3,2.1,5.55
viirs_nas_201402,3,7.7,2.56667,6.78
viirs_nas_201403,3,6.8,2.26667,5.99
viirs_nas_201404,3,9.1,3.03333,8.02
viirs_nas_201405,,,
viirs_nas_201406,,,
viirs_nas_201407,,,
viirs_nas_201408,3,14,4.66667,12.33
viirs_nas_201409,3,5.7,1.9,5.02
viirs_nas_201410,3,5.8,1.93333,5.11
viirs_nas_201411,3,7.2,2.4,6.34
viirs_nas_201412,3,11.2,3.73333,9.87
viirs_nas_201501,3,14.3,4.76667,12.6
viirs_nas_201502,3,9.6,3.2,8.46
viirs_nas_201503,3,10,3.33333,8.81
viirs_nas_201504,3,9.8,3.26667,8.63
viirs_nas_201505,,,
viirs_nas_201506,,,
viirs_nas_201507,,,
viirs_nas_201508,3,11.9,3.96667,10.48
viirs_nas_201509,3,6.2,2.06667,5.46
viirs_nas_201510,3,5.3,1.76667,4.67
viirs_nas_201511,3,9.3,3.1,8.19
viirs_nas_201512,3,7.1,2.36667,6.25
viirs_nas_201601,3,6.6,2.2,5.81
viirs_nas_201602,3,14.1,4.7,12.42
viirs_nas_201603,3,16.4,5.46667,14.45
viirs_nas_201604,3,13.2,4.4,11.63
viirs_nas_201605,,,
viirs_nas_201606,,,
viirs_nas_201607,,,
viirs_nas_201608,3,10.7,3.56667,9.43
viirs_nas_201609,3,6.8,2.26667,5.99
viirs_nas_201610,3,7.5,2.5,6.61
viirs_nas_201611,2,3.3,1.65,2.91
viirs_nas_201612,3,6.5,2.16667,5.73
viirs_nas_201701,2,3,1.5,2.64
viirs_nas_201702,2,3.1,1.55,2.73
viirs_nas_201703,3,9.8,3.26667,8.63
viirs_nas_201704,3,9.7,3.23333,8.54
viirs_nas_201705,,,
viirs_nas_201706,,,
viirs_nas_201707,,,
viirs_nas_201708,3,10.3,3.43333,9.07
viirs_nas_201709,3,6.7,2.23333,5.9
viirs_nas_201710,3,10.2,3.4,8.99
viirs_nas_201711,3,8.2,2.73333,7.22
viirs_nas_201712,2,3.7,1.85,3.26
viirs_nas_201801,3,9.9,3.3,8.72
viirs_nas_201802,2,5.1,2.55,4.49
viirs_nas_201803,2,7.4,3.7,6.52
viirs_nas_201804,3,17.6,5.86667,15.5
viirs_nas_201805,,,
viirs_nas_201806,,,
viirs_nas_201807,,,
viirs_nas_201808,3,15.3,5.1,13.48
viirs_nas_201809,3,7.4,2.46667,6.52
viirs_nas_201810,3,7.8,2.6,6.87
viirs_nas_201811,3,9.5,3.16667,8.37
viirs_nas_201812,3,11,3.66667,9.69
viirs_nas_201901,3,12.3,4.1,10.84
viirs_nas_201902,3,8.7,2.9,7.66
viirs_nas_201903,3,24.6,8.2,21.67
viirs_nas_201904,3,12.8,4.26667,11.28
viirs_nas_201905,,,
viirs_nas_201906,,,
viirs_nas_201907,,,
viirs_nas_201908,3,20.3,6.76667,17.88
viirs_nas_201909,3,10.7,3.56667,9.43
viirs_nas_201910,3,9.1,3.03333,8.02
viirs_nas_201911,3,14.3,4.76667,12.6
viirs_nas_201912,3,16,5.33333,14.09
viirs_nas_202001,3,10.5,3.5,9.25
viirs_nas_202002,3,25.4,8.46667,22.38
viirs_nas_202003,3,11.1,3.7,9.78
viirs_nas_202004,3,10,3.33333,8.81
viirs_nas_202005,,,
viirs_nas_202006,,,
viirs_nas_202007,,,
viirs_nas_202008,3,9.1,3.03333,8.02
viirs_nas_202009,3,7,2.33333,6.17
viirs_nas_202010,3,9.8,3.26667,8.63
viirs_nas_202011,3,13.3,4.43333,11.72
viirs_nas_202012,3,9.5,3.16667,8.37
viirs_nas_202101,3,9.6,3.2,8.46
viirs_nas_202102,3,10.6,3.53333,9.34
viirs_nas_202103,2,4.3,2.15,3.79
viirs_nas_202104,3,13.7,4.56667,12.07
viirs_nas_202105,,,
viirs_nas_202106,,,
viirs_nas_202107,,,
viirs_nas_202108,3,12.9,4.3,11.36
viirs_nas_202109,3,9.6,3.2,8.46
viirs_nas_202110,3,10.4,3.46667,9.16
viirs_nas_202111,3,9.5,3.16667,8.37
viirs_nas_202112,3,32.6,10.86667,28.72
viirs_nas_202201,1,1,1,0.88
viirs_nas_202202,2,7.4,3.7,6.52
viirs_nas_202203,3,23.2,7.73333,20.44
viirs_nas_202204,3,20.4,6.8,17.97
viirs_nas_202205,,,
viirs_nas_202206,,,
viirs_nas_202207,,,
viirs_nas_202208,3,13.4,4.46667,11.8
viirs_nas_202209,3,9.3,3.1,8.19
viirs_nas_202210,3,11.6,3.86667,10.22
viirs_nas_202211,3,13.9,4.63333,12.24
viirs_nas_202212,3,19.3,6.43333,17
viirs_nas_202301,3,8.4,2.8,7.4
viirs_nas_202302,3,25.6,8.53333,22.55
viirs_nas_202303,3,23,7.66667,20.26
viirs_nas_202304,3,17.7,5.9,15.59
viirs_nas_202305,,,
viirs_nas_202306,,,
viirs_nas_202307,,,
viirs_nas_202308,3,11.8,3.93333,10.39
viirs_nas_202309,3,13.5,4.5,11.89
viirs_nas_202310,3,11.9,3.96667,10.48
viirs_nas_202311,3,17.1,5.7,15.06
viirs_nas_202312,3,19.2,6.4,16.91
viirs_nas_202401,2,8.7,4.35,7.66
viirs_nas_202402,3,14,4.66667,12.33
viirs_nas_202403,3,22.2,7.4,19.56
