rasterColumn,count,sum,mean,sum_area_weighted
viirs_nas_201201,20341,1067332.5,52.47198,605210.43
viirs_nas_201202,20371,935564.1,45.92627,530493.68
viirs_nas_201203,20378,939474.6,46.10239,532711.06
viirs_nas_201204,20419,584818.9,28.64092,331610.34
viirs_nas_201205,171,125.9,0.73626,71.39
viirs_nas_201206,,,
viirs_nas_201207,,,
viirs_nas_201208,20383,610018,29.92778,345899.01
viirs_nas_201209,20411,543425.7,26.62416,308139.12
viirs_nas_201210,20385,509490.5,24.9934,288896.82
viirs_nas_201211,20046,548446.1,27.35938,310985.84
viirs_nas_201212,19583,644819.8,32.92753,365632.7
viirs_nas_201301,19381,939808.6,48.49123,532900.44
viirs_nas_201302,19520,553005.5,28.3302,313571.16
viirs_nas_201303,19512,1017073.6,52.12554,576712.08
viirs_nas_201304,20362,702513.1,34.50118,398346.58
viirs_nas_201305,,,
viirs_nas_201306,,,
viirs_nas_201307,,,
viirs_nas_201308,20419,650252.4,31.84546,368713.15
viirs_nas_201309,20365,614307.4,30.16486,348331.23
viirs_nas_201310,20419,610324.6,29.89003,346072.86
viirs_nas_201311,20245,655690.8,32.38779,371796.89
viirs_nas_201312,20335,606251.7,29.81321,343763.4
viirs_nas_201401,20371,831943.2,40.83959,471737.44
viirs_nas_201402,20366,708431.5,34.78501,401702.5
viirs_nas_201403,20419,652954.1,31.97777,370245.1
viirs_nas_201404,20419,715336.4,35.03288,405617.79
viirs_nas_201405,,,
viirs_nas_201406,,,
viirs_nas_201407,,,
viirs_nas_201408,20419,632499.9,30.97605,358646.94
viirs_nas_201409,20418,622546.5,30.49008,353003.06
viirs_nas_201410,20419,643539.6,31.51671,364906.79
viirs_nas_201411,20419,644591.9,31.56824,365503.48
viirs_nas_201412,20321,674077.4,33.17147,382222.66
viirs_nas_201501,19926,1004253.4,50.39915,569442.63
viirs_nas_201502,20276,743062,36.64737,421339.06
viirs_nas_201503,20419,684014.9,33.49894,387857.53
