rasterColumn,count,sum,mean,sum_area_weighted
viirs_nas_201201,3684,129195.5,35.06935,74237.5
viirs_nas_201202,3890,106103.2,27.27589,60968.35
viirs_nas_201203,3886,66382.7,17.08253,38144.41
viirs_nas_201204,3890,68174.7,17.52563,39174.11
viirs_nas_201205,80,1590,19.875,913.64
viirs_nas_201206,,,
viirs_nas_201207,,,
viirs_nas_201208,3887,65424.4,16.83159,37593.75
viirs_nas_201209,3836,51262.2,13.36345,29455.96
viirs_nas_201210,3877,65083.3,16.78703,37397.75
viirs_nas_201211,2350,51711.7,22.00498,29714.25
viirs_nas_201212,3725,134303.6,36.05466,77172.69
viirs_nas_201301,3567,95043.5,26.64522,54613.29
viirs_nas_201302,3623,98845.1,27.28267,56797.75
viirs_nas_201303,3856,92794.6,24.06499,53321.05
viirs_nas_201304,3887,66411,17.08541,38160.67
viirs_nas_201305,,,
viirs_nas_201306,,,
viirs_nas_201307,,,
viirs_nas_201308,3883,61874,15.93459,35553.65
viirs_nas_201309,3890,61419.4,15.78905,35292.43
viirs_nas_201310,3890,65727.9,16.89663,37768.15
viirs_nas_201311,3887,72742.1,18.7142,41798.61
viirs_nas_201312,3782,62997.7,16.65724,36199.34
viirs_nas_201401,3713,101558,27.35201,58356.62
viirs_nas_201402,3771,119632.7,31.7244,68742.59
viirs_nas_201403,3858,89276.2,23.14054,51299.33
viirs_nas_201404,3890,72897.8,18.73979,41888.07
viirs_nas_201405,1203,21077.1,17.52045,12111.19
viirs_nas_201406,,,
viirs_nas_201407,,,
viirs_nas_201408,3890,73738.1,18.95581,42370.92
viirs_nas_201409,3890,62398.8,16.04082,35855.2
viirs_nas_201410,3890,70365.1,18.08871,40432.75
viirs_nas_201411,3890,89220.8,22.93594,51267.49
viirs_nas_201412,3736,78700.2,21.06536,45222.21
viirs_nas_201501,3719,93088.8,25.0306,53490.1
viirs_nas_201502,3819,74515.2,19.5117,42817.45
viirs_nas_201503,3840,93514.7,24.35279,53734.83
viirs_nas_201504,3890,75271.5,19.35,43252.03
viirs_nas_201505,,,
viirs_nas_201506,,,
viirs_nas_201507,,,
viirs_nas_201508,3890,70944.1,18.23756,40765.45
viirs_nas_201509,3890,61629.4,15.84303,35413.1
viirs_nas_201510,3888,74172.3,19.07724,42620.42
viirs_nas_201511,3855,121795.9,31.59427,69985.59
viirs_nas_201512,3619,122800.2,33.93208,70562.67
viirs_nas_201601,3871,150530.8,38.8868,86497.06
viirs_nas_201602,3817,125416.4,32.85732,72065.98
viirs_nas_201603,3890,75437.1,19.39257,43347.19
viirs_nas_201604,3890,63645.1,16.36121,36571.34
viirs_nas_201605,,,
