rasterColumn,count,sum,mean,sum_area_weighted
viirs_nas_201201,37,698.9,18.88919,352.25
viirs_nas_201202,142,4598.8,32.38592,2317.84
viirs_nas_201203,144,3051.8,21.19306,1538.14
viirs_nas_201204,144,3954.7,27.46319,1993.21
viirs_nas_201205,,,
viirs_nas_201206,,,
viirs_nas_201207,,,
viirs_nas_201208,17,522.3,30.72353,263.24
viirs_nas_201209,144,3421.2,23.75833,1724.32
viirs_nas_201210,143,2204.8,15.41818,1111.24
viirs_nas_201211,82,531,6.47561,267.63
viirs_nas_201212,98,8839,90.19388,4454.94
viirs_nas_201301,79,4233.1,53.58354,2133.52
viirs_nas_201302,53,588.2,11.09811,296.46
viirs_nas_201303,113,5272.2,46.65664,2657.24
viirs_nas_201304,139,1918.4,13.80144,966.89
viirs_nas_201305,,,
viirs_nas_201306,,,
viirs_nas_201307,,,
viirs_nas_201308,,,
viirs_nas_201309,144,3555.1,24.68819,1791.8
viirs_nas_201310,144,3565.6,24.76111,1797.1
viirs_nas_201311,144,2857.1,19.84097,1440.01
viirs_nas_201312,140,4082.8,29.16286,2057.77
viirs_nas_201401,104,1272.6,12.23654,641.4
viirs_nas_201402,100,1941.5,19.415,978.53
viirs_nas_201403,144,3758.3,26.09931,1894.22
viirs_nas_201404,143,4385.1,30.66503,2210.13
viirs_nas_201405,,,
viirs_nas_201406,,,
viirs_nas_201407,,,
viirs_nas_201408,84,458.1,5.45357,230.89
viirs_nas_201409,144,3100.8,21.53333,1562.83
viirs_nas_201410,144,3165.6,21.98333,1595.49
viirs_nas_201411,144,2420.8,16.81111,1220.11
viirs_nas_201412,138,2231.4,16.16957,1124.65
viirs_nas_201501,140,4670.1,33.35786,2353.77
viirs_nas_201502,137,2480.5,18.10584,1250.2
viirs_nas_201503,143,3009.1,21.04266,1516.61
viirs_nas_201504,137,3417.7,24.94672,1722.55
viirs_nas_201505,,,
viirs_nas_201506,,,
viirs_nas_201507,,,
viirs_nas_201508,131,3624.6,27.6687,1826.83
viirs_nas_201509,144,2954.1,20.51458,1488.89
viirs_nas_201510,144,3017.8,20.95694,1521
viirs_nas_201511,136,2298.8,16.90294,1158.62
viirs_nas_201512,139,2602.5,18.72302,1311.68
viirs_nas_201601,140,8121.8,58.01286,4093.46
viirs_nas_201602,119,3249.2,27.3042,1637.63
viirs_nas_201603,143,3317.7,23.2007,1672.15
viirs_nas_201604,144,3482.5,24.18403,1755.21
viirs_nas_201605,,,
viirs_nas_201606,,,
viirs_nas_201607,,,
viirs_nas_201608,143,3062.5,21.41608,1543.53
viirs_nas_201609,144,3399.5,23.60764,1713.38
viirs_nas_201610,144,2720.6,18.89306,1371.21
viirs_nas_201611,138,4153,30.0942,2093.15
viirs_nas_201612,141,3305.6,23.44397,1666.05
viirs_nas_201701,141,3976,28.19858,2003.94
viirs_nas_201702,137,4740.2,34.6,2389.11
viirs_nas_201703,144,3545.7,24.62292,1787.07
viirs_nas_201704,139,2791.1,20.07986,1406.74
viirs_nas_201705,,,
viirs_nas_201706,,,
viirs_nas_201707,,,
viirs_nas_201708,52,228.5,4.39423,115.17
viirs_nas_201709,144,2883.9,20.02708,1453.51
viirs_nas_201710,144,3074.1,21.34792,1549.38
viirs_nas_201711,144,2285.1,15.86875,1151.71
viirs_nas_201712,134,2251.3,16.80075,1134.68
viirs_nas_201801,129,7368.5,57.12016,3713.79
viirs_nas_201802,130,4878.3,37.52538,2458.71
viirs_nas_201803,137,3768,27.50365,1899.11
viirs_nas_201804,140,4436.2,31.68714,2235.89
viirs_nas_201805,,,
viirs_nas_201806,,,
viirs_nas_201807,,,
viirs_nas_201808,122,2520.9,20.66311,1270.56
viirs_nas_201809,144,2990.8,20.76944,1507.39
viirs_nas_201810,144,3019.9,20.97153,1522.06
viirs_nas_201811,144,2662.1,18.48681,1341.72
viirs_nas_201812,142,4198.8,29.56901,2116.23
viirs_nas_201901,126,10197.5,80.93254,5139.64
viirs_nas_201902,133,4747.9,35.6985,2392.99
viirs_nas_201903,142,3502.9,24.66831,1765.49
viirs_nas_201904,140,4056.9,28.97786,2044.72
viirs_nas_201905,,,
viirs_nas_201906,,,
viirs_nas_201907,,,
viirs_nas_201908,142,3773.6,26.57465,1901.93
viirs_nas_201909,144,2869,19.92361,1446
viirs_nas_201910,144,2181.7,15.15069,1099.6
viirs_nas_201911,139,2316.2,16.66331,1167.39
viirs_nas_201912,142,2441.6,17.19437,1230.59
viirs_nas_202001,144,2595.7,18.02569,1308.26
viirs_nas_202002,144,2445.6,16.98333,1232.61
viirs_nas_202003,144,4020.4,27.91944,2026.32
viirs_nas_202004,144,3774,26.20833,1902.13
viirs_nas_202005,,,
viirs_nas_202006,,,
viirs_nas_202007,,,
viirs_nas_202008,78,965.1,12.37308,486.42
viirs_nas_202009,144,3229.3,22.42569,1627.6
viirs_nas_202010,144,3152.2,21.89028,1588.74
viirs_nas_202011,142,2863.4,20.16479,1443.18
viirs_nas_202012,142,4909.8,34.57606,2474.59
viirs_nas_202101,141,5685,40.31915,2865.29
viirs_nas_202102,139,5129.9,36.90576,2585.52
viirs_nas_202103,142,4696.9,33.07676,2367.28
viirs_nas_202104,139,4701.6,33.82446,2369.65
viirs_nas_202105,,,
viirs_nas_202106,,,
viirs_nas_202107,,,
viirs_nas_202108,127,3182,25.05512,1603.76
viirs_nas_202109,144,3611.4,25.07917,1820.18
viirs_nas_202110,144,2907.6,20.19167,1465.46
viirs_nas_202111,143,2452.7,17.15175,1236.18
viirs_nas_202112,138,8053.9,58.36159,4059.24
