rasterColumn,count,sum,mean,sum_area_weighted
viirs_nas_201201,9668,173821.1,17.97901,96470.95
viirs_nas_201202,9724,112668.9,11.58668,62531.39
viirs_nas_201203,9504,107867.8,11.34973,59866.77
viirs_nas_201204,9722,79824.7,8.21073,44302.82
viirs_nas_201205,,,
viirs_nas_201206,,,
viirs_nas_201207,,,
viirs_nas_201208,9663,78626.5,8.13686,43637.81
viirs_nas_201209,9712,66374.2,6.83425,36837.77
viirs_nas_201210,9715,70519.8,7.25886,39138.58
viirs_nas_201211,8796,68944.4,7.83815,38264.24
viirs_nas_201212,9570,118022.6,12.33256,65502.7
viirs_nas_201301,9474,94528.5,9.97768,52463.45
viirs_nas_201302,9483,87787.6,9.25737,48722.24
viirs_nas_201303,9520,150017.3,15.75812,83259.8
viirs_nas_201304,9619,80654.5,8.38492,44763.36
viirs_nas_201305,,,
viirs_nas_201306,,,
viirs_nas_201307,,,
viirs_nas_201308,8952,75387.2,8.42127,41840
viirs_nas_201309,9724,70021.7,7.20092,38862.14
viirs_nas_201310,9630,76346.5,7.92799,42372.41
viirs_nas_201311,9717,77514.9,7.97725,43020.87
viirs_nas_201312,9408,187224.2,19.90053,103909.68
viirs_nas_201401,9642,200535,20.79807,111297.2
viirs_nas_201402,9328,125485.6,13.45257,69644.68
viirs_nas_201403,9633,129688.3,13.46292,71977.18
viirs_nas_201404,9718,118284.2,12.17166,65647.89
viirs_nas_201405,,,
viirs_nas_201406,,,
viirs_nas_201407,,,
viirs_nas_201408,9679,81324.6,8.40217,45135.26
viirs_nas_201409,9724,81924.5,8.42498,45468.21
viirs_nas_201410,9681,74809.1,7.72741,41519.15
viirs_nas_201411,9700,118454.5,12.2118,65742.41
viirs_nas_201412,9642,141575.3,14.68319,78574.48
viirs_nas_201501,9678,139559.9,14.42032,77455.93
viirs_nas_201502,9694,127483.9,13.1508,70753.74
viirs_nas_201503,9724,109148.9,11.22469,60577.79
viirs_nas_201504,9724,94008,9.66763,52174.57
viirs_nas_201505,,,
viirs_nas_201506,,,
viirs_nas_201507,,,
viirs_nas_201508,9693,90748.4,9.36226,50365.48
viirs_nas_201509,9724,74474.9,7.65887,41333.67
viirs_nas_201510,9705,99469.7,10.24933,55205.82
viirs_nas_201511,9709,126242.1,13.00259,70064.54
viirs_nas_201512,9587,124274.7,12.96284,68972.63
viirs_nas_201601,9550,120312,12.59812,66773.32
viirs_nas_201602,9701,117981.6,12.1618,65479.95
viirs_nas_201603,9717,97766,10.06134,54260.26
